ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
218.7304849,57.3959448,b'14h34m55.32s',b'57d23m45.40s',0.0769,0.0828,0.0265,13.280,0.034,32.1,2.488,12.454,0.048,22.6,0.377,1,0,b'0000',b'AA',5,56822.95438547,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.019919,330.208548
218.7304886,57.3959331,b'14h34m55.32s',b'57d23m45.36s',0.0808,0.0905,0.0305,13.485,0.040,26.9,1.526,12.566,0.044,24.8,0.767,1,0,b'0000',b'AA',10,57012.63012461,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.02497,186.23925
218.7305039,57.3959367,b'14h34m55.32s',b'57d23m45.37s',0.0990,0.1116,0.0172,13.744,0.041,26.3,1.417,12.959,0.061,17.7,0.439,1,0,b'0000',b'AA',10,58265.74945434,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.029481,113.778404
218.7304770,57.3959481,b'14h34m55.31s',b'57d23m45.41s',0.1121,0.1260,-0.0317,13.740,0.043,25.4,1.393,13.006,0.089,12.3,0.807,1,0,b'0000',b'AA',10,58630.19971681,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.038512,319.147097
218.7304962,57.3959293,b'14h34m55.32s',b'57d23m45.35s',0.0793,0.0932,0.0129,13.420,0.035,30.6,1.461,12.588,0.055,19.7,0.484,1,0,b'0000',b'AA',10,57013.81309676,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.04031,162.660612
218.7304684,57.3959433,b'14h34m55.31s',b'57d23m45.40s',0.1177,0.1271,0.0217,13.798,0.049,22.0,1.500,13.044,0.067,16.1,0.725,1,0,b'0000',b'AA',10,58106.26103174,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.043576,285.829946
218.7305045,57.3959304,b'14h34m55.32s',b'57d23m45.35s',0.0994,0.1011,0.0161,13.368,0.040,27.0,1.192,12.430,0.056,19.3,1.076,1,0,b'0000',b'AA',10,56823.34913205,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.04454,140.859276
218.7304829,57.3959277,b'14h34m55.32s',b'57d23m45.34s',0.1182,0.1406,0.0536,13.700,0.062,17.6,1.473,12.799,0.070,15.4,0.584,1,0,b'0000',b'AA',10,58107.04645284,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.04641,197.277383
218.7304916,57.3959537,b'14h34m55.32s',b'57d23m45.43s',0.1132,0.1341,0.0333,13.668,0.051,21.4,2.567,12.860,0.078,13.9,1.020,1,0,b'0000',b'AA',5,57541.42565645,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.049465,3.600823
218.7304657,57.3959340,b'14h34m55.31s',b'57d23m45.36s',0.0994,0.1057,0.0299,13.458,0.045,24.0,0.894,12.569,0.049,22.1,0.659,1,0,b'0000',b'AA',10,57013.55014325,2187157501351032221,13.353,0.023,12.457,0.022,9.723,0.033,7.799,0.125,1027488626,15.554,0.0695,14.805,0.0782,14.176,0.0671,0.051888,245.380875
