source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04413b125',55325.55158350,14.610,0.077,1.429,13.738,0.107,1.122,10.493,0.235,0.974,7.539,0.393,1.001,1.0,39,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04421b125',55325.81619180,14.720,0.085,1.209,13.522,0.091,1.584,10.565,0.290,0.989,7.562,0.536,0.995,1.0,120,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04417b125',55325.68388770,14.626,0.073,1.383,13.583,0.111,1.393,10.425,0.236,0.966,7.499,0.501,1.004,1.0,81,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04420a100',55325.74997600,14.666,0.085,1.289,13.680,0.118,1.192,10.276,0.241,0.975,7.261,,0.981,1.0,102,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04405b125',55325.28697520,14.584,0.078,1.517,13.726,0.101,1.133,10.367,0.208,0.964,7.246,,0.989,1.0,8,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04409b125',55325.41927940,14.697,0.082,1.236,13.825,0.108,1.076,10.412,0.224,0.965,7.326,,1.002,1.0,9,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09857a152',55505.56680760,14.938,0.103,1.305,13.993,0.133,1.137,,,,,,,1.0,42,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09861a151',55505.69898430,14.843,0.099,1.193,13.955,0.132,1.110,,,,,,,1.0,20,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09849a151',55505.30219940,14.949,0.107,1.324,14.207,0.160,1.399,,,,,,,1.0,117,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09853a152',55505.43450350,14.956,0.110,1.336,13.884,0.123,1.077,,,,,,,1.0,83,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09845a152',55505.17002270,14.835,0.099,1.189,13.726,0.119,1.134,,,,,,,1.0,76,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09846a176',55505.23611100,14.989,0.103,1.398,14.207,0.167,1.399,,,,,,,1.0,97,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09841a152',55505.03771870,14.941,0.110,1.308,14.041,0.141,1.182,,,,,,,0.5,35,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09842a176',55505.10380700,14.888,0.105,1.236,14.081,0.151,1.226,,,,,,,1.0,54,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09838a175',55504.97150290,14.849,0.096,1.196,13.969,0.130,1.119,,,,,,,1.0,19,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09838a176',55504.97163030,14.750,0.091,1.185,14.060,0.141,1.202,,,,,,,1.0,19,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09830a176',55504.70702210,14.836,0.093,1.189,13.826,0.112,1.076,,,,,,,1.0,19,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'09834a176',55504.83932620,14.837,0.113,1.190,13.798,0.110,1.084,,,,,,,1.0,4,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04436a100',55326.27919280,14.694,0.082,1.241,14.148,0.172,1.312,10.313,0.198,0.970,7.084,,0.978,1.0,9,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04440a100',55326.41149690,14.809,0.085,1.177,13.786,0.111,1.089,10.236,0.192,0.986,7.121,0.266,1.167,1.0,9,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04428a100',55326.01458440,14.683,0.086,1.257,13.782,0.148,1.091,10.263,0.193,0.979,7.610,0.403,0.989,1.0,58,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04432a100',55326.14688860,14.798,0.097,1.173,13.777,0.116,1.093,10.289,0.208,0.973,7.886,0.540,0.977,1.0,26,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04424a100',55325.88228030,14.883,0.097,1.228,13.643,0.099,1.255,10.625,0.276,1.006,7.379,,1.029,1.0,100,b'0000',0.175033,295.458303
b'3161p000_ac51-036660',315.5017361,0.0838809,b'21h02m00.42s',b'00d05m01.97s',2,0,b'0000',b'04425b125',55325.94849600,14.724,0.082,1.205,13.733,0.108,1.127,10.304,0.226,0.970,7.724,,1.263,1.0,78,b'0000',0.175033,295.458303
