source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'04421a117',55325.78499380,11.766,0.032,10.800,11.759,0.041,3.611,9.845,0.138,1.221,6.892,,1.044,1.0,20,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'04422a141',55325.85108220,11.766,0.023,10.800,11.738,0.034,3.545,9.924,0.145,1.188,7.244,0.340,1.159,1.0,18,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'04414a141',55325.58647380,11.753,0.026,10.810,11.736,0.034,3.540,9.926,0.157,1.187,7.445,0.382,1.091,1.0,46,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'04418a141',55325.71877800,11.808,0.026,10.910,11.684,0.033,3.544,10.017,0.166,1.181,7.658,0.467,1.053,1.0,30,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'10181b163',55516.31171450,11.845,0.033,11.170,11.671,0.036,3.581,,,,,,,1.0,14,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'10208a083',55517.17137300,11.735,0.024,10.860,11.679,0.030,3.557,,,,,,,1.0,33,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'10200a138',55516.90689210,11.751,0.027,10.810,11.760,0.034,3.617,,,,,,,1.0,97,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'10181b162',55516.31158720,11.707,0.032,11.020,11.665,0.034,3.606,,,,,,,1.0,15,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'10204a137',55517.03906880,11.814,0.031,10.940,11.747,0.034,3.571,,,,,,,1.0,57,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'04441a051',55326.44651460,11.825,0.026,11.010,11.777,0.039,3.696,9.899,0.144,1.195,7.350,,1.049,1.0,84,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'10178a084',55516.17941040,11.748,0.027,10.820,11.645,0.032,3.707,,,,,,,1.0,32,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'04411a069',55325.45416970,11.757,0.026,10.810,11.749,0.036,3.576,9.952,0.156,1.182,7.521,,1.103,1.0,82,b'0000',0.869645,75.960988
b'1449p075_ac51-034092',144.5511065,7.7277786,b'09h38m12.27s',b'07d43m40.00s',1,0,b'0000',b'04441a050',55326.44638730,11.704,0.036,11.040,11.624,0.032,3.866,9.892,0.138,1.198,7.700,0.531,1.049,1.0,84,b'0000',0.869645,75.960988
