ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
163.0147737,15.3248251,b'10h52m03.55s',b'15d19m29.37s',0.4603,0.5081,-0.1998,15.449,0.151,7.2,1.172,14.878,0.367,3.0,0.374,1,0,b'0000',b'BC',10,58087.28804485,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.059281,252.687929
163.0147797,15.3248149,b'10h52m03.55s',b'15d19m29.33s',0.3515,0.3847,-0.1572,15.129,0.115,9.5,0.958,14.453,0.314,3.5,0.584,1,0,b'0000',b'BB',10,56993.77807578,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.065056,213.339524
163.0147675,15.3248370,b'10h52m03.54s',b'15d19m29.41s',0.3119,0.3344,-0.1158,15.079,0.103,10.5,0.779,14.718,0.254,4.3,0.476,1,0,b'0000',b'AB',10,58609.84577225,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.082071,287.878725
163.0147742,15.3248117,b'10h52m03.55s',b'15d19m29.32s',0.3594,0.4178,-0.1456,15.368,0.137,7.9,1.135,14.196,0.187,5.8,0.806,1,0,b'0000',b'BB',10,58453.83447338,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.08573,219.783762
163.0147648,15.3248256,b'10h52m03.54s',b'15d19m29.37s',0.3132,0.4282,0.0955,15.209,0.160,6.8,1.248,14.300,0.166,6.6,0.840,1,0,b'0000',b'BB',5,58245.84563686,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.088922,259.738299
163.0147672,15.3248159,b'10h52m03.54s',b'15d19m29.34s',0.3345,0.4313,-0.1282,14.977,0.142,7.7,1.291,14.433,,1.1,0.477,1,0,b'0000',b'BU',10,58450.95472156,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.094034,237.33116
163.0148042,15.3248622,b'10h52m03.55s',b'15d19m29.50s',0.4552,0.5478,-0.1562,15.435,0.152,7.1,0.441,14.516,,1.5,0.259,1,0,b'0000',b'BU',10,58610.04199993,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.12598,23.040694
163.0147724,15.3248614,b'10h52m03.55s',b'15d19m29.50s',0.3073,0.3869,-0.0438,15.289,0.122,8.9,0.503,14.321,0.207,5.2,1.154,1,0,b'0000',b'BB',10,56803.79669006,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.128504,331.605257
163.0148352,15.3248367,b'10h52m03.56s',b'15d19m29.41s',0.3815,0.4143,-0.0093,15.199,0.127,8.6,1.305,14.540,0.299,3.6,0.515,1,0,b'0000',b'BB',5,58818.61359255,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.158789,81.262291
163.0147926,15.3248749,b'10h52m03.55s',b'15d19m29.55s',0.4391,0.4992,-0.0822,15.424,0.149,7.3,0.430,14.714,0.380,2.9,0.813,1,0,b'0000',b'BC',10,57356.14817101,1627115101351042950,14.752,0.033,13.760,0.038,11.340,0.172,8.229,0.267,141298954,16.823,0.1166,16.081,0.1515,15.529,0.1659,0.161882,3.196504
