source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'09382a167',55489.89177310,10.883,0.021,29.550,10.775,0.031,8.000,,,,,,,1.0,-5,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03869b137',55307.55896510,11.097,0.022,23.800,10.504,0.025,9.634,,,,,,,1.0,37,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03889b139',55308.22048620,11.021,0.022,24.760,10.504,0.023,9.629,6.946,0.023,6.279,4.457,0.057,0.956,1.0,7,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03877b137',55307.82357360,11.049,0.024,24.280,10.570,0.022,8.126,6.947,0.026,6.259,4.475,0.043,0.886,1.0,110,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03873b137',55307.69126940,11.022,0.028,24.750,10.545,0.024,8.580,7.009,0.023,5.973,4.529,0.047,0.779,1.0,79,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03884a110',55308.02196630,11.025,0.021,24.680,10.535,0.027,8.819,7.010,0.024,5.974,4.564,0.044,0.786,1.0,49,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03881b136',55307.95587780,11.017,0.023,24.840,10.580,0.022,7.972,6.977,0.022,6.039,4.581,0.042,0.807,1.0,70,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03888a114',55308.15427050,11.046,0.023,24.330,10.545,0.022,8.580,7.045,0.021,6.099,4.546,0.047,0.775,1.0,14,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03885b141',55308.08818200,11.050,0.022,24.280,10.484,0.029,10.260,7.036,0.021,6.048,4.532,0.039,0.777,1.0,28,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'09378a167',55489.75946910,11.254,0.031,24.530,10.836,0.041,8.952,,,,,,,1.0,3,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'09386a166',55490.02394980,11.302,0.027,25.320,10.803,0.025,8.395,,,,,,,1.0,23,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03896a114',55308.41887890,11.052,0.026,24.250,10.570,0.023,8.126,6.977,0.028,6.035,4.547,0.046,0.775,1.0,0,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03900a114',55308.55118710,11.022,0.024,24.740,10.501,0.026,9.728,7.039,0.025,6.067,4.569,0.039,0.791,1.0,35,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'09409a142',55490.75142940,11.269,0.028,24.750,10.767,0.025,7.902,,,,,,,1.0,4,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'03892a116',55308.28657460,11.002,0.024,25.180,10.556,0.021,8.375,7.017,0.021,5.984,4.569,0.048,0.791,1.0,-2,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'09405a142',55490.61912540,11.207,0.035,24.000,10.838,0.029,8.976,,,,,,,1.0,22,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'09405a143',55490.61925270,11.274,0.034,24.830,10.781,0.031,8.081,,,,,,,1.0,23,b'0000',0.269811,23.369394
b'3015m107_ac51-003020',301.9637403,-11.1428712,b'20h07m51.30s',b'-11d08m34.34s',1,0,b'0000',b'09397a143',55490.35464600,11.357,0.026,26.460,10.786,0.028,8.143,,,,,,,1.0,104,b'0000',0.269811,23.369394
