ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
301.9637194,-11.1429235,b'20h07m51.29s',b'-11d08m34.52s',0.0561,0.0503,-0.0211,11.238,0.020,53.5,15.990,10.678,0.041,26.8,1.501,1,0,b'0000',b'AA',10,57670.86818208,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.068037,29.203319
301.9637188,-11.1429214,b'20h07m51.29s',b'-11d08m34.52s',0.0391,0.0364,-0.0142,11.239,0.017,63.1,40.350,10.762,0.020,55.4,10.100,1,0,b'0000',b'AA',5,58758.46757404,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.07383,24.900688
301.9636968,-11.1429233,b'20h07m51.29s',b'-11d08m34.52s',0.0410,0.0343,-0.0085,11.192,0.018,61.9,31.990,10.888,0.022,50.4,13.090,1,0,b'0000',b'AA',10,57498.92036963,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.076098,322.205767
301.9637319,-11.1429309,b'20h07m51.30s',b'-11d08m34.55s',0.0431,0.0395,-0.0151,11.226,0.020,53.0,29.500,10.846,0.025,43.1,10.060,1,0,b'0000',b'AA',10,56951.73829418,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.084005,67.046905
301.9637207,-11.1429111,b'20h07m51.29s',b'-11d08m34.48s',0.0421,0.0373,0.0085,11.236,0.021,51.4,38.370,10.762,0.021,52.6,11.440,1,0,b'0000',b'AA',10,58758.59847730,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.110692,19.964184
301.9637109,-11.1429061,b'20h07m51.29s',b'-11d08m34.46s',0.0454,0.0422,-0.0101,11.245,0.020,53.0,39.880,10.834,0.024,45.3,10.860,1,0,b'0000',b'AA',10,56952.19849339,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.122095,1.492114
301.9636934,-11.1429102,b'20h07m51.29s',b'-11d08m34.48s',0.0437,0.0397,-0.0157,11.158,0.023,47.3,24.400,10.689,0.021,52.1,9.134,1,0,b'0000',b'AA',10,57311.85037528,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.12225,331.341381
301.9637156,-11.1429057,b'20h07m51.29s',b'-11d08m34.46s',0.0399,0.0361,-0.0114,11.240,0.017,64.1,40.600,10.854,0.022,49.5,8.334,1,0,b'0000',b'AA',10,56952.46157344,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.125039,9.100749
301.9637222,-11.1429057,b'20h07m51.29s',b'-11d08m34.46s',0.0392,0.0349,-0.0110,11.206,0.017,62.6,29.550,10.695,0.019,56.2,7.925,1,0,b'0000',b'AA',10,58394.45372821,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.130799,19.237957
301.9637330,-11.1429093,b'20h07m51.30s',b'-11d08m34.47s',0.0420,0.0385,-0.0130,11.374,0.018,60.0,41.930,10.940,0.025,43.2,9.931,1,0,b'0000',b'AA',10,58961.58960225,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.13718,36.3182
301.9637218,-11.1429030,b'20h07m51.29s',b'-11d08m34.45s',0.0471,0.0437,-0.0138,11.264,0.019,57.2,25.600,10.793,0.026,42.6,6.423,1,0,b'0000',b'AA',10,58599.99772089,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.139569,17.375253
301.9637428,-11.1429160,b'20h07m51.30s',b'-11d08m34.50s',0.0427,0.0398,-0.0109,11.344,0.021,51.6,33.830,10.965,0.024,44.4,7.915,1,0,b'0000',b'AA',10,59125.56602091,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.144524,53.285664
301.9637303,-11.1429018,b'20h07m51.30s',b'-11d08m34.45s',0.0492,0.0476,0.0158,11.171,0.026,42.1,23.330,10.655,0.023,47.1,8.480,1,0,b'0000',b'AA',10,57670.47508826,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.155087,27.537335
301.9637300,-11.1429000,b'20h07m51.30s',b'-11d08m34.44s',0.0374,0.0347,-0.0072,11.229,0.018,61.5,34.130,10.715,0.019,57.0,9.217,1,0,b'0000',b'AA',10,58394.51917986,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.160387,26.131374
301.9637274,-11.1428981,b'20h07m51.29s',b'-11d08m34.43s',0.0356,0.0359,-0.0105,11.115,0.020,55.6,27.490,10.583,0.019,58.3,8.918,1,0,b'0000',b'AA',10,58033.64346676,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.162871,22.168233
301.9637513,-11.1429162,b'20h07m51.30s',b'-11d08m34.50s',0.0369,0.0360,-0.0047,11.127,0.020,54.5,29.050,10.683,0.020,53.7,10.760,1,0,b'0000',b'AA',10,57311.32561480,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.169187,59.572426
301.9636760,-11.1429067,b'20h07m51.28s',b'-11d08m34.46s',0.0424,0.0394,-0.0099,11.273,0.018,61.0,35.340,10.765,0.023,46.3,9.771,1,0,b'0000',b'AA',10,58594.43674351,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.169689,314.949252
301.9637220,-11.1428934,b'20h07m51.29s',b'-11d08m34.42s',0.0505,0.0435,-0.0098,11.140,0.028,39.0,19.470,10.843,0.021,50.6,8.294,1,0,b'0000',b'AA',10,57134.73962741,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.173024,14.179391
301.9637422,-11.1429036,b'20h07m51.30s',b'-11d08m34.45s',0.0388,0.0380,-0.0136,11.212,0.017,62.8,30.900,10.766,0.023,47.1,10.820,1,0,b'0000',b'AA',10,57311.71908962,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.173515,40.955983
301.9637016,-11.1428898,b'20h07m51.29s',b'-11d08m34.40s',0.0394,0.0408,-0.0169,11.155,0.020,54.5,31.720,10.603,0.021,50.9,7.172,1,0,b'0000',b'AA',10,57498.98582147,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.18313,350.67657
301.9637571,-11.1429165,b'20h07m51.30s',b'-11d08m34.50s',0.0392,0.0334,-0.0053,11.286,0.017,63.3,38.040,10.835,0.020,53.8,8.323,1,0,b'0000',b'AA',10,56952.72465353,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.18663,63.045527
301.9637381,-11.1428940,b'20h07m51.30s',b'-11d08m34.42s',0.0395,0.0368,-0.0141,11.144,0.018,61.0,29.870,10.680,0.021,52.5,6.147,1,0,b'0000',b'AA',10,57673.75048837,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.193074,30.936518
301.9637036,-11.1428857,b'20h07m51.29s',b'-11d08m34.39s',0.0409,0.0392,-0.0108,11.153,0.020,55.3,30.530,10.731,0.024,46.1,5.423,1,0,b'0000',b'AA',10,57672.89897616,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.196781,353.403514
301.9637352,-11.1428910,b'20h07m51.30s',b'-11d08m34.41s',0.0409,0.0381,-0.0141,11.126,0.021,52.1,27.750,10.721,0.023,47.8,10.590,1,0,b'0000',b'AA',10,57311.19445650,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.197596,26.77508
301.9637609,-11.1429152,b'20h07m51.30s',b'-11d08m34.49s',0.0428,0.0385,-0.0116,11.415,0.018,60.4,34.540,10.989,0.022,49.5,9.162,1,0,b'0000',b'AA',5,59125.63134515,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.200727,63.591399
301.9637219,-11.1428847,b'20h07m51.29s',b'-11d08m34.38s',0.0419,0.0440,-0.0029,11.133,0.022,48.6,27.820,10.678,0.027,40.5,7.462,1,0,b'0000',b'AA',10,57670.47521558,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.203461,11.921949
301.9637316,-11.1428872,b'20h07m51.30s',b'-11d08m34.39s',0.0372,0.0346,-0.0088,11.152,0.018,59.5,35.730,10.740,0.018,59.8,12.820,1,0,b'0000',b'AA',10,57499.31346263,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.204826,21.869482
301.9637315,-11.1428840,b'20h07m51.30s',b'-11d08m34.38s',0.0385,0.0369,-0.0119,11.157,0.019,58.0,20.430,10.643,0.023,47.0,4.852,1,0,b'0000',b'AA',10,57673.48855319,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.215436,20.640933
301.9637617,-11.1429080,b'20h07m51.30s',b'-11d08m34.47s',0.0414,0.0400,-0.0057,11.087,0.023,47.8,27.800,10.690,0.023,47.3,5.699,1,0,b'0000',b'AA',10,57669.88563840,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.215918,57.754302
301.9637345,-11.1428839,b'20h07m51.30s',b'-11d08m34.38s',0.0436,0.0434,0.0091,11.186,0.021,52.0,25.530,10.680,0.024,45.5,7.540,1,0,b'0000',b'AA',10,57673.02988008,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.219713,23.194515
301.9637220,-11.1428801,b'20h07m51.29s',b'-11d08m34.37s',0.0376,0.0337,-0.0103,11.103,0.017,65.2,25.010,10.549,0.019,57.9,8.113,1,0,b'0000',b'AA',10,58033.83982186,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.219756,11.12014
301.9637667,-11.1429140,b'20h07m51.30s',b'-11d08m34.49s',0.0449,0.0401,-0.0126,11.223,0.019,58.5,21.870,10.668,0.023,47.5,3.684,1,0,b'0000',b'AA',10,57670.40963625,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.221063,64.950289
301.9637174,-11.1428790,b'20h07m51.29s',b'-11d08m34.36s',0.0389,0.0415,-0.0111,11.214,0.020,53.1,34.220,10.696,0.024,45.7,6.039,1,0,b'0000',b'AA',10,57673.03000745,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.221149,6.787671
301.9637018,-11.1428785,b'20h07m51.29s',b'-11d08m34.36s',0.0410,0.0362,-0.0117,11.289,0.017,64.8,30.120,10.800,0.024,45.6,8.253,1,0,b'0000',b'AA',10,56952.26432705,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.223295,352.546904
301.9637319,-11.1428815,b'20h07m51.30s',b'-11d08m34.37s',0.0407,0.0437,-0.0131,11.203,0.021,52.4,37.950,10.699,0.024,44.9,5.521,1,0,b'0000',b'AA',10,57672.76794481,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.224351,20.168368
301.9637112,-11.1428775,b'20h07m51.29s',b'-11d08m34.36s',0.0494,0.0410,-0.0148,11.422,0.019,56.2,28.750,10.919,0.027,40.6,8.378,1,0,b'0000',b'AA',5,58961.52427796,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.225044,1.079213
301.9637304,-11.1428806,b'20h07m51.30s',b'-11d08m34.37s',0.0416,0.0386,-0.0146,11.346,0.020,54.4,42.480,11.044,0.027,40.4,13.390,1,0,b'0000',b'AA',10,59125.69679676,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.225652,18.62176
301.9637642,-11.1429067,b'20h07m51.30s',b'-11d08m34.46s',0.0433,0.0378,-0.0140,11.208,0.020,53.8,35.980,10.836,0.022,49.8,9.174,1,0,b'0000',b'AA',10,58594.37129177,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.225882,57.945368
301.9637556,-11.1428953,b'20h07m51.30s',b'-11d08m34.42s',0.0394,0.0348,-0.0137,11.249,0.017,64.7,30.210,10.782,0.020,55.1,6.690,1,0,b'0000',b'AA',10,58758.92548078,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.227674,45.025857
301.9637340,-11.1428811,b'20h07m51.30s',b'-11d08m34.37s',0.0433,0.0374,-0.0140,11.188,0.022,50.1,27.640,10.686,0.022,49.5,7.602,1,0,b'0000',b'AA',5,58394.25750065,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.228357,21.790976
301.9637449,-11.1428864,b'20h07m51.30s',b'-11d08m34.39s',0.0401,0.0363,-0.0087,11.171,0.017,62.6,26.060,10.658,0.022,50.4,5.840,1,0,b'0000',b'AA',10,57673.29194257,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.228977,32.57226
301.9637504,-11.1428900,b'20h07m51.30s',b'-11d08m34.40s',0.0418,0.0375,-0.0133,11.168,0.018,59.1,32.740,10.662,0.023,47.0,6.409,1,0,b'0000',b'AA',5,57865.67705968,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.229698,38.40625
301.9637532,-11.1428919,b'20h07m51.30s',b'-11d08m34.41s',0.0367,0.0380,-0.0099,11.084,0.019,55.8,30.890,10.567,0.019,56.7,6.671,1,0,b'0000',b'AA',10,58033.90527358,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.230806,41.386427
301.9637074,-11.1428755,b'20h07m51.29s',b'-11d08m34.35s',0.0404,0.0389,-0.0157,11.124,0.020,53.4,30.120,10.709,0.019,56.2,9.126,1,0,b'0000',b'AA',10,57311.85024792,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.232376,357.735123
301.9637517,-11.1428896,b'20h07m51.30s',b'-11d08m34.40s',0.0415,0.0372,-0.0191,11.228,0.020,54.8,30.590,10.755,0.020,54.8,10.130,1,0,b'0000',b'AA',10,58757.94421560,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.233694,39.06912
301.9637014,-11.1428747,b'20h07m51.29s',b'-11d08m34.35s',0.0410,0.0381,-0.0092,11.280,0.017,63.1,35.240,10.856,0.022,48.4,7.269,1,0,b'0000',b'AA',10,57134.80533398,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.237025,352.637205
301.9637196,-11.1428737,b'20h07m51.29s',b'-11d08m34.35s',0.0391,0.0389,-0.0037,11.147,0.020,53.3,28.470,10.688,0.022,49.0,8.663,1,0,b'0000',b'AA',10,57670.21315300,3015010701351003020,11.138,0.023,10.672,0.021,7.005,0.018,4.542,0.032,424523672,14.039,0.0949,13.107,0.0999,12.499,0.0631,0.241076,8.085716
