source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10409a079',55523.81091160,10.889,0.023,10.980,10.475,0.025,4.241,,,,,,,1.0,-4,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10413a079',55523.94321590,10.920,0.025,10.880,10.534,0.022,4.225,,,,,,,1.0,-2,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10402a103',55523.61251900,10.932,0.027,10.880,10.488,0.024,4.188,,,,,,,1.0,27,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10405a079',55523.67860740,10.977,0.025,11.050,10.556,0.024,4.357,,,,,,,1.0,14,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10398b103',55523.48021480,10.920,0.020,10.880,10.528,0.024,4.200,,,,,,,1.0,60,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10401a079',55523.54643050,10.895,0.023,10.950,10.519,0.023,4.176,,,,,,,1.0,43,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10394a103',55523.34803780,10.856,0.027,11.250,10.489,0.025,4.185,,,,,,,0.5,84,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10397a079',55523.41412630,10.931,0.029,10.880,10.447,0.030,4.451,,,,,,,1.0,77,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10393a079',55523.28182200,10.923,0.021,10.880,10.507,0.020,4.162,,,,,,,1.0,76,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10394a102',55523.34791050,10.893,0.024,10.960,10.542,0.024,4.261,,,,,,,1.0,83,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10386a103',55523.08342940,10.962,0.022,10.970,10.499,0.024,4.166,,,,,,,1.0,32,b'0000',0.079736,6.498985
b'3505m379_ac51-000009',351.3508332,-38.4469780,b'23h25m24.20s',b'-38d26m49.12s',1,0,b'0000',b'10390b103',55523.21573360,10.881,0.023,11.030,10.553,0.023,4.336,,,,,,,1.0,64,b'0000',0.079736,6.498985
