ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
33.6398402,-0.7666911,b'02h14m33.56s',b'-00d46m00.09s',0.0294,0.0267,-0.0029,10.149,0.015,72.3,47.200,9.614,0.016,68.2,11.170,1,0,b'0000',b'AA',10,59054.51716758,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.004347,169.696056
33.6398386,-0.7666870,b'02h14m33.56s',b'-00d46m00.07s',0.0313,0.0300,-0.0079,10.325,0.015,71.1,44.160,9.948,0.017,65.3,12.180,1,0,b'0000',b'AA',10,57762.17368191,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.011904,334.985072
33.6398445,-0.7666926,b'02h14m33.56s',b'-00d46m00.09s',0.0312,0.0297,-0.0058,10.373,0.015,70.5,58.700,10.129,0.017,64.4,14.120,1,0,b'0000',b'AA',10,56676.39049558,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.018696,120.02059
33.6398367,-0.7666950,b'02h14m33.56s',b'-00d46m00.10s',0.0332,0.0322,-0.0120,10.333,0.016,66.4,55.100,9.962,0.019,57.1,12.070,1,0,b'0000',b'AA',10,56865.54334006,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.021515,213.422453
33.6398338,-0.7666898,b'02h14m33.56s',b'-00d46m00.08s',0.0316,0.0284,-0.0088,10.121,0.016,68.4,56.840,9.556,0.015,72.4,19.030,1,0,b'0000',b'AA',5,58690.46931940,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.022376,271.847776
33.6398395,-0.7666965,b'02h14m33.56s',b'-00d46m00.11s',0.0310,0.0287,-0.0089,10.169,0.016,66.4,57.230,9.592,0.015,70.5,10.980,1,0,b'0000',b'AA',10,59054.32094016,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.023408,184.398313
33.6398420,-0.7666973,b'02h14m33.56s',b'-00d46m00.11s',0.0361,0.0358,0.0030,10.232,0.019,57.5,31.840,9.905,0.019,58.1,13.010,1,0,b'0000',b'AA',10,57591.63355028,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.027319,164.679797
33.6398428,-0.7666977,b'02h14m33.56s',b'-00d46m00.11s',0.0326,0.0350,-0.0097,10.348,0.017,62.6,37.840,9.901,0.019,56.9,10.870,1,0,b'0000',b'AA',10,57758.96437027,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.029481,160.018541
33.6398424,-0.7666979,b'02h14m33.56s',b'-00d46m00.11s',0.0354,0.0309,-0.0077,10.351,0.017,63.8,54.270,9.967,0.020,55.6,12.240,1,0,b'0000',b'AA',10,57038.62711701,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.0298,163.102778
33.6398315,-0.7666908,b'02h14m33.56s',b'-00d46m00.09s',0.0336,0.0311,-0.0117,10.079,0.017,62.1,32.340,9.530,0.017,63.4,9.664,1,0,b'0000',b'AA',10,58687.13268927,332001601351052076,10.276,0.023,9.859,0.020,6.635,0.016,3.912,0.022,1330988439,12.418,0.0646,11.649,0.0830,10.579,0.0379,0.030736,264.622816
