source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05597b133',55364.71339280,9.245,0.020,6.758,8.165,0.022,2.292,4.624,0.013,4.482,1.900,0.034,0.582,1.0,94,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05600a108',55364.77948110,9.263,0.018,6.698,8.101,0.020,2.012,4.652,0.013,4.584,1.902,0.019,0.584,1.0,115,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05593b133',55364.58108900,9.230,0.024,6.865,8.092,0.021,2.042,,,,,,,1.0,52,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05596a108',55364.64717720,9.306,0.031,6.796,8.106,0.022,2.002,4.673,0.021,4.866,1.923,0.021,0.643,1.0,72,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10969a144',55542.33607140,9.255,0.023,6.719,,,,,,,,,,1.0,117,b'0111',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05589b133',55364.44878680,9.303,0.024,6.780,8.131,0.025,2.037,4.644,0.013,4.520,1.882,0.022,0.594,1.0,22,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05581b133',55364.18417920,9.292,0.019,6.731,8.122,0.018,2.009,4.625,0.014,4.480,1.956,0.046,0.865,1.0,31,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05585b133',55364.31648300,9.282,0.024,6.702,8.117,0.021,2.001,4.660,0.020,4.664,1.909,0.036,0.597,1.0,14,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10966a168',55542.26985550,9.277,0.022,6.694,,,,,,,,,,1.0,113,b'0111',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10969a143',55542.33594410,9.269,0.024,6.692,,,,,,,,,,1.0,117,b'0111',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10962b167',55542.13755110,9.360,0.029,7.364,,,,,,,,,,1.0,70,b'0111',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10965a144',55542.20376690,9.219,0.020,6.963,,,,,,,,,,1.0,91,b'0111',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10954a168',55541.87306910,9.237,0.023,6.807,8.142,0.020,2.093,,,,,,,1.0,12,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10958a168',55542.00537350,9.271,0.022,6.691,8.165,0.024,2.286,,,,,,,1.0,33,b'0011',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05616a108',55365.30869670,9.315,0.021,6.859,8.128,0.015,2.025,4.626,0.016,4.478,1.893,0.031,0.580,1.0,15,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'10950a167',55541.74076470,9.218,0.020,6.977,8.064,0.017,2.261,,,,,,,1.0,21,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05608a108',55365.04408870,9.257,0.023,6.713,8.081,0.022,2.103,4.652,0.014,4.582,1.883,0.016,0.592,1.0,56,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05612a108',55365.17639300,9.298,0.020,6.756,8.085,0.019,2.080,4.628,0.020,4.475,1.884,0.031,0.589,1.0,33,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05601b133',55364.84569660,9.287,0.021,6.712,8.058,0.026,2.337,4.595,0.013,4.746,1.884,0.017,0.590,1.0,117,b'0000',0.407989,229.501277
b'3523p090_ac51-015197',351.9862628,8.7789664,b'23h27m56.70s',b'08d46m44.28s',1,0,b'0000',b'05604a108',55364.91178480,9.281,0.025,6.699,8.106,0.021,2.001,4.602,0.010,4.647,1.892,0.021,0.581,1.0,96,b'0000',0.407989,229.501277
