ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
351.9863142,8.7790231,b'23h27m56.72s',b'08d46m44.48s',0.0333,0.0282,0.0079,9.347,0.019,57.6,27.290,8.131,0.014,76.2,24.230,1,0,b'0000',b'AA',10,56827.18403211,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.141151,244.467914
351.9862986,8.7790196,b'23h27m56.71s',b'08d46m44.47s',0.0287,0.0259,0.0090,9.243,0.017,63.0,10.360,8.138,0.013,81.7,3.663,1,0,b'0000',b'AA',10,58650.62738188,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.197069,248.12
351.9862961,8.7790124,b'23h27m56.71s',b'08d46m44.44s',0.0278,0.0275,0.0047,9.277,0.017,63.1,19.730,8.122,0.013,81.3,7.621,1,0,b'0000',b'AA',10,58287.16640935,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.215984,242.609993
351.9862946,8.7790154,b'23h27m56.71s',b'08d46m44.46s',0.0265,0.0240,-0.0048,9.327,0.017,64.9,29.220,8.166,0.012,91.8,15.110,1,0,b'0000',b'AA',5,57555.59606818,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.216093,245.805274
351.9863204,8.7789870,b'23h27m56.72s',b'08d46m44.35s',0.0337,0.0285,-0.0119,9.279,0.019,56.5,16.720,8.147,0.014,77.0,12.630,1,0,b'0000',b'AA',10,57923.03044194,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.217943,208.896394
351.9862868,8.7790249,b'23h27m56.71s',b'08d46m44.49s',0.0263,0.0237,0.0047,9.269,0.015,71.2,12.330,8.127,0.013,83.9,2.127,1,0,b'0000',b'AA',10,56829.94738345,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.231337,256.409156
351.9863171,8.7789817,b'23h27m56.72s',b'08d46m44.33s',0.0299,0.0265,0.0039,9.327,0.017,62.3,14.570,8.168,0.014,77.5,5.015,1,0,b'0000',b'AA',10,57365.43025030,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.24031,209.148894
351.9862830,8.7790288,b'23h27m56.71s',b'08d46m44.50s',0.0264,0.0275,0.0038,9.246,0.020,53.4,22.760,8.136,0.013,84.5,11.570,1,0,b'0000',b'AA',5,57922.63760478,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.24176,260.399532
351.9862930,8.7790766,b'23h27m56.71s',b'08d46m44.68s',0.0255,0.0265,0.0123,9.316,0.018,59.7,63.450,8.162,0.012,90.7,46.000,1,0,b'0000',b'AA',0,56829.61834304,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.241839,303.01248
351.9862907,8.7790064,b'23h27m56.71s',b'08d46m44.42s',0.0270,0.0222,-0.0067,9.239,0.015,72.7,18.900,8.142,0.012,87.6,7.429,1,0,b'0000',b'AA',5,58286.83927838,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.243202,240.173177
351.9862913,8.7790039,b'23h27m56.71s',b'08d46m44.41s',0.0289,0.0227,-0.0061,9.243,0.014,75.8,13.650,8.134,0.013,86.1,5.374,1,0,b'0000',b'AA',10,58650.95451271,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.245983,238.106746
351.9862862,8.7790119,b'23h27m56.71s',b'08d46m44.44s',0.0301,0.0267,0.0060,9.289,0.017,64.2,24.360,8.094,0.014,76.9,18.050,1,0,b'0000',b'AA',10,56830.21046296,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.248505,245.97938
351.9863056,8.7789859,b'23h27m56.71s',b'08d46m44.35s',0.0261,0.0260,-0.0071,9.257,0.019,57.6,18.430,8.135,0.013,80.9,8.000,1,0,b'g000',b'AA',10,58448.89706756,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.250775,219.045075
351.9863194,8.7789762,b'23h27m56.72s',b'08d46m44.31s',0.0239,0.0232,0.0049,9.271,0.014,75.8,15.020,8.120,0.012,91.7,5.823,1,0,b'0000',b'AA',10,58088.56791907,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.25418,205.361175
351.9862850,8.7790061,b'23h27m56.71s',b'08d46m44.42s',0.0261,0.0215,-0.0010,9.306,0.013,82.6,14.970,8.150,0.012,90.4,4.769,1,0,b'0000',b'AA',5,57191.50442922,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.26149,242.17845
351.9863164,8.7789739,b'23h27m56.72s',b'08d46m44.31s',0.0273,0.0258,0.0034,9.307,0.017,65.3,17.580,8.153,0.013,84.9,6.956,1,0,b'0000',b'AA',5,56829.22359664,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.266304,206.673374
351.9862856,8.7790019,b'23h27m56.71s',b'08d46m44.41s',0.0239,0.0230,0.0064,9.261,0.016,69.6,16.440,8.139,0.012,89.5,3.903,1,0,b'0000',b'AA',10,59018.21980164,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.267048,239.094075
351.9862806,8.7790114,b'23h27m56.71s',b'08d46m44.44s',0.0272,0.0260,0.0027,9.324,0.017,65.3,12.850,8.160,0.014,78.3,5.017,1,0,b'0000',b'AA',10,57923.09602094,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.267526,247.364403
351.9862826,8.7790042,b'23h27m56.71s',b'08d46m44.42s',0.0263,0.0239,-0.0049,9.263,0.015,73.2,9.944,8.137,0.013,85.5,4.848,1,0,b'0000',b'AA',5,59017.82734669,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.272234,241.744025
351.9862801,8.7790083,b'23h27m56.71s',b'08d46m44.43s',0.0246,0.0253,0.0041,9.293,0.017,65.3,16.720,8.159,0.012,91.5,3.995,1,0,b'0000',b'AA',10,56829.81571637,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.273618,245.350509
351.9863159,8.7789706,b'23h27m56.72s',b'08d46m44.29s',0.0280,0.0271,0.0057,9.229,0.015,71.2,9.957,8.094,0.014,78.0,4.173,1,0,b'0000',b'AA',10,58813.74380257,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.277747,205.901117
351.9862924,8.7789857,b'23h27m56.71s',b'08d46m44.35s',0.0258,0.0251,0.0018,9.327,0.017,63.2,12.600,8.116,0.012,87.8,2.904,1,0,b'0000',b'AA',5,57191.04512218,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.283204,226.35207
351.9862807,8.7790004,b'23h27m56.71s',b'08d46m44.40s',0.0273,0.0219,-0.0041,9.327,0.013,81.8,13.210,8.152,0.012,88.7,2.443,1,0,b'0000',b'AA',10,56829.68417661,3523109001351015197,9.272,0.021,8.112,0.019,4.630,0.013,1.895,0.021,1049307875,13.192,0.0766,12.252,0.0853,11.059,0.0365,0.2848,239.963393
