source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01853b052',55240.85874280,12.892,0.039,3.754,12.768,0.054,1.419,10.851,,1.013,7.485,,0.799,1.0,128,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01892a028',55242.11595080,12.994,0.037,3.893,12.802,0.058,1.319,11.050,0.355,0.904,7.694,,0.776,1.0,73,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07301a224',55421.05125310,12.866,0.035,3.865,12.891,0.056,1.262,,,,,,,1.0,73,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07427a175',55425.21838630,12.917,0.038,3.708,12.821,0.056,1.283,,,,,,,1.0,112,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07293a224',55420.78664490,12.930,0.032,3.705,12.948,0.058,1.358,,,,,,,1.0,48,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07297a224',55420.91894900,12.920,0.035,3.706,12.967,0.058,1.410,,,,,,,1.0,52,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01893b052',55242.18203920,12.890,0.043,3.759,12.932,0.056,1.322,11.003,0.339,0.901,7.401,,0.815,1.0,67,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07290a248',55420.72042930,12.898,0.043,3.738,12.881,0.054,1.256,,,,,,,1.0,54,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07290a249',55420.72055660,13.065,0.038,4.435,12.904,0.058,1.276,,,,,,,1.0,54,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07273a177',55420.12524640,12.910,0.037,3.715,12.812,0.052,1.299,,,,,,,1.0,90,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01888a028',55241.98364660,12.968,0.036,3.777,12.903,0.062,1.275,11.328,0.532,0.945,7.638,,0.780,1.0,96,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07286a249',55420.58825250,12.902,0.037,3.727,12.940,0.055,1.338,,,,,,,1.0,72,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07289a224',55420.65434090,12.855,0.029,3.931,12.843,0.052,1.259,,,,,,,1.0,64,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07269a225',55419.99294240,12.974,0.039,3.800,13.027,0.062,1.628,,,,,,,1.0,63,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07270a248',55420.05903080,12.951,0.033,3.732,12.874,0.053,1.252,,,,,,,1.0,75,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07283a178',55420.45594260,12.878,0.044,3.804,12.912,0.057,1.287,,,,,,,1.0,93,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07285a200',55420.52203680,12.878,0.036,3.806,12.786,0.050,1.358,,,,,,,1.0,80,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01885b053',55241.91743090,12.918,0.033,3.706,12.889,0.059,1.261,10.643,0.268,0.944,7.891,,0.833,1.0,112,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07266a248',55419.92672680,12.957,0.034,3.745,12.795,0.050,1.335,,,,,,,1.0,53,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07278a248',55420.32363860,12.915,0.032,3.709,12.847,0.055,1.256,,,,,,,1.0,126,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07281a224',55420.38972690,12.959,0.041,3.751,12.854,0.051,1.253,,,,,,,1.0,109,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01884a027',55241.85121510,12.872,0.036,3.835,12.830,0.053,1.271,10.726,0.280,0.920,7.672,,0.781,1.0,130,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01884a029',55241.85134240,12.883,0.035,3.783,12.825,0.058,1.278,11.021,0.378,0.902,7.610,,0.777,1.0,129,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07277a224',55420.25742300,12.903,0.034,3.727,12.853,0.052,1.253,,,,,,,1.0,123,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07277a225',55420.25755030,12.955,0.036,3.740,12.770,0.048,1.411,,,,,,,1.0,123,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01880a028',55241.71891090,12.910,0.034,3.714,12.796,0.054,1.333,11.287,0.441,0.937,7.544,,0.782,1.0,103,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01881b053',55241.78512670,12.933,0.033,3.706,12.752,0.054,1.482,10.449,0.208,1.051,7.534,,0.779,1.0,120,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01868a028',55241.32199840,12.887,0.034,3.771,12.903,0.055,1.274,10.997,0.332,0.901,7.874,,0.832,1.0,49,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'07275a192',55420.19133470,12.952,0.032,3.734,12.900,0.056,1.272,,,,,,,1.0,106,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01876a028',55241.58660670,12.952,0.034,3.733,12.888,0.057,1.260,11.227,0.462,0.927,7.522,,0.776,1.0,73,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01877b053',55241.65282250,12.897,0.033,3.740,12.821,0.055,1.283,11.045,0.353,0.904,7.136,,0.814,1.0,87,b'0000',0.148043,170.818886
b'2492p408_ac51-030097',249.1235887,41.0395494,b'16h36m29.66s',b'41d02m22.38s',1,0,b'0000',b'01857b053',55240.99117430,12.874,0.042,3.822,12.837,0.054,1.263,11.121,0.350,0.912,7.795,,0.962,1.0,95,b'0000',0.148043,170.818886
