ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
260.8429316,55.0705278,b'17h23m22.30s',b'55d04m13.90s',0.1042,0.1148,-0.0445,13.558,0.044,24.8,1.667,12.683,0.059,18.4,0.709,1,0,b'0000',b'AA',10,57809.08736464,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.008693,157.392528
260.8429458,55.0705109,b'17h23m22.31s',b'55d04m13.84s',0.0952,0.1066,-0.0258,13.645,0.039,27.5,1.517,12.756,0.057,19.0,0.941,1,0,b'0000',b'AA',10,58336.22673241,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.076098,154.655772
260.8429282,55.0705038,b'17h23m22.30s',b'55d04m13.81s',0.0935,0.1137,-0.0313,13.507,0.040,27.2,2.436,12.645,0.063,17.3,0.987,1,0,b'0000',b'AA',10,58700.26057135,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.094385,182.252667
260.8429513,55.0705020,b'17h23m22.31s',b'55d04m13.81s',0.0900,0.0942,-0.0076,13.512,0.037,29.1,1.365,12.763,0.060,18.0,0.780,1,0,b'0000',b'AA',5,58536.39502922,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.109964,156.46395
260.8429541,55.0705014,b'17h23m22.31s',b'55d04m13.81s',0.0816,0.1030,0.0247,13.482,0.041,26.6,0.947,12.592,0.052,20.7,0.710,1,0,b'0000',b'AA',10,57808.69452551,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.114303,154.24368
260.8428737,55.0705283,b'17h23m22.29s',b'55d04m13.90s',0.0841,0.0865,-0.0316,13.393,0.039,27.7,2.437,12.384,0.045,24.3,0.713,1,0,b'0000',b'AA',10,57442.34889792,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.116229,266.981224
260.8429643,55.0705028,b'17h23m22.31s',b'55d04m13.81s',0.0858,0.1083,-0.0316,13.334,0.040,27.5,1.612,12.537,0.049,22.1,1.061,1,0,b'0000',b'AA',10,56893.41366100,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.120773,144.169765
260.8429744,55.0705076,b'17h23m22.31s',b'55d04m13.83s',0.0837,0.1034,-0.0166,13.432,0.037,29.0,1.875,12.535,0.068,16.0,0.660,1,0,b'0000',b'AA',10,56716.00074395,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.121979,131.384105
260.8429035,55.0704977,b'17h23m22.30s',b'55d04m13.79s',0.1324,0.1552,-0.0749,13.700,0.052,20.7,0.567,12.728,0.059,18.4,0.557,1,0,b'0000',b'AA',10,59065.93948917,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.128467,205.161982
260.8429478,55.0704938,b'17h23m22.31s',b'55d04m13.78s',0.1015,0.1169,-0.0256,13.626,0.040,27.4,2.121,12.830,0.060,18.2,1.138,1,0,b'0000',b'AA',5,58170.99415502,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.135377,164.276016
260.8428843,55.0705027,b'17h23m22.29s',b'55d04m13.81s',0.0836,0.0906,-0.0267,13.359,0.035,30.9,1.615,12.521,0.049,22.3,0.813,1,0,b'0000',b'AA',5,57251.18814453,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.136143,223.785355
260.8429489,55.0704933,b'17h23m22.31s',b'55d04m13.78s',0.0754,0.0852,0.0288,13.386,0.035,30.8,3.215,12.530,0.048,22.5,1.186,1,0,b'0000',b'AA',5,57076.94570664,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.13773,163.571066
260.8429688,55.0704976,b'17h23m22.31s',b'55d04m13.79s',0.0949,0.1130,-0.0241,13.605,0.041,26.4,2.360,12.713,0.074,14.7,0.501,1,0,b'0000',b'AA',10,59065.35106168,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.141418,145.56281
260.8429954,55.0705466,b'17h23m22.32s',b'55d04m13.97s',0.0936,0.1216,-0.0299,13.651,0.045,24.4,3.187,12.771,0.053,20.3,1.367,1,0,b'0000',b'AA',5,58904.28674977,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.147468,66.091975
260.8429990,55.0705445,b'17h23m22.32s',b'55d04m13.96s',0.1011,0.1415,0.0198,13.587,0.047,23.3,1.346,12.759,0.075,14.5,0.587,1,0,b'0000',b'AA',10,58173.08862561,2604154501351051625,13.395,0.023,12.532,0.022,9.947,0.037,7.278,0.083,637385673,15.872,,15.754,0.2104,14.817,0.1728,0.151512,69.84572
