ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
331.4071674,-7.1873707,b'22h05m37.72s',b'-07d11m14.53s',0.1217,0.1167,-0.0485,13.834,0.045,23.9,1.207,12.925,0.079,13.7,0.783,1,0,b'0000',b'AA',10,58063.49454847,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.00972,254.817659
331.4071751,-7.1873688,b'22h05m37.72s',b'-07d11m14.53s',0.1607,0.1592,-0.0095,13.748,0.058,18.9,0.838,12.879,0.124,8.7,1.078,1,0,b'0000',b'AB',10,57699.95177066,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.018696,76.658352
331.4071735,-7.1873648,b'22h05m37.72s',b'-07d11m14.51s',0.1062,0.0943,-0.0400,13.488,0.038,28.7,1.217,12.615,0.056,19.3,0.749,1,0,b'0000',b'AA',5,58991.47554876,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.022586,33.734528
331.4071625,-7.1873730,b'22h05m37.72s',b'-07d11m14.54s',0.1060,0.1084,0.0311,13.478,0.045,23.9,0.713,12.513,0.054,20.2,0.537,1,0,b'0000',b'AA',10,59155.25369506,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.028833,248.042286
331.4071709,-7.1873791,b'22h05m37.72s',b'-07d11m14.56s',0.1151,0.0990,-0.0350,13.510,0.039,27.9,1.215,12.702,0.060,18.1,1.234,1,0,b'0000',b'AA',10,58623.94004602,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.032961,174.395851
331.4071700,-7.1873800,b'22h05m37.72s',b'-07d11m14.57s',0.1052,0.0981,-0.0339,13.542,0.040,27.0,1.440,12.656,0.054,20.3,0.672,1,0,b'0000',b'AA',5,58991.14854531,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.035975,180.0
331.4071597,-7.1873689,b'22h05m37.72s',b'-07d11m14.53s',0.1068,0.0905,-0.0346,13.434,0.036,29.9,1.216,12.601,0.065,16.8,0.883,1,0,b'0000',b'AA',10,59154.92669142,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.037011,276.143772
331.4071804,-7.1873707,b'22h05m37.72s',b'-07d11m14.53s',0.0881,0.0819,-0.0226,13.347,0.036,30.0,0.656,12.534,0.048,22.7,0.641,1,0,b'0000',b'AA',10,59155.12291909,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.037265,93.881043
331.4071749,-7.1873606,b'22h05m37.72s',b'-07d11m14.50s',0.1099,0.1129,-0.0532,13.833,0.044,24.6,1.295,12.954,0.064,16.9,0.523,1,0,b'0000',b'AA',10,57164.93069714,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.038142,27.347127
331.4071687,-7.1873586,b'22h05m37.72s',b'-07d11m14.49s',0.1231,0.1074,-0.0400,13.710,0.042,25.9,0.933,12.985,0.065,16.8,0.907,1,0,b'0000',b'AA',10,57340.96905568,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.041351,353.545059
331.4071603,-7.1873637,b'22h05m37.72s',b'-07d11m14.51s',0.1031,0.0924,-0.0362,13.463,0.039,28.0,1.565,12.604,0.054,20.2,0.608,1,0,b'0000',b'AA',10,58787.90375571,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.041465,303.209897
331.4071626,-7.1873611,b'22h05m37.72s',b'-07d11m14.50s',0.1307,0.1236,-0.0587,13.803,0.045,23.9,0.964,12.766,0.068,15.9,0.625,1,0,b'0000',b'AA',10,58063.36364507,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.041579,320.479846
331.4071784,-7.1873618,b'22h05m37.72s',b'-07d11m14.50s',0.1225,0.1104,-0.0450,13.769,0.047,23.3,0.936,12.863,0.064,17.0,0.485,1,0,b'0000',b'AA',10,58063.16728997,3310007601351046904,13.775,0.026,12.886,0.029,9.642,0.049,7.275,0.121,133676251,16.263,0.0901,15.611,0.1360,14.623,0.1029,0.042143,45.464329
