source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10905a130',55540.21818170,14.482,0.075,1.166,13.481,0.097,0.988,,,,,,,1.0,91,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10909a130',55540.35035880,14.394,0.073,1.121,13.499,0.117,0.983,,,,,,,0.5,109,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10902b154',55540.15196590,14.401,0.070,1.119,13.443,0.090,1.011,,,,,,,1.0,69,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10905a129',55540.21805440,14.390,0.069,1.123,13.677,0.114,1.105,,,,,,,1.0,90,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10898a154',55540.01978880,14.443,0.077,1.126,13.485,0.093,0.986,,,,,,,1.0,28,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10901a130',55540.08587740,14.517,0.083,1.227,13.612,0.116,1.029,,,,,,,0.5,48,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10897a130',55539.95357290,14.450,0.072,1.131,13.772,0.110,1.267,,,,,,,1.0,13,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10898a153',55540.01966150,14.501,0.085,1.197,13.543,0.099,0.986,,,,,,,1.0,28,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10890a154',55539.75518010,14.405,0.070,1.118,13.452,0.089,1.004,,,,,,,1.0,11,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10894a154',55539.88748440,14.479,0.076,1.163,13.555,0.097,0.990,,,,,,,1.0,3,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10882b154',55539.49069380,14.347,0.068,1.171,13.696,0.112,1.133,,,,,,,1.0,64,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10886a153',55539.62287560,14.396,0.074,1.121,13.351,0.084,1.149,,,,,,,0.5,27,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05540a122',55362.79670820,14.366,0.076,1.145,13.327,0.088,1.207,10.568,,0.858,7.500,,0.850,1.0,116,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05544a122',55362.92901210,14.380,0.065,1.130,13.490,0.103,0.985,11.126,0.477,0.879,7.178,,0.902,1.0,84,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05532a122',55362.53210070,14.324,0.063,1.216,13.485,0.093,0.986,11.197,0.489,0.871,7.649,,0.856,1.0,33,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05536a122',55362.66440450,14.307,0.059,1.261,13.455,0.093,1.001,11.264,0.521,0.864,7.786,,0.914,1.0,75,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05528a122',55362.39979690,14.313,0.062,1.244,13.521,0.097,0.982,10.792,,0.860,7.516,,0.855,1.0,7,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05529b147',55362.46601240,14.546,0.080,1.292,13.630,0.107,1.047,10.458,,0.858,7.813,,0.899,1.0,18,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05524a122',55362.26749310,14.364,0.066,1.147,13.562,0.094,0.993,,,,7.491,,0.855,1.0,11,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05525b147',55362.33370870,14.330,0.063,1.203,13.522,0.099,0.982,10.913,,0.899,7.633,,0.924,1.0,4,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'10913a130',55540.48266320,14.522,0.079,1.238,13.525,0.111,0.982,,,,,,,1.0,67,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05521b147',55362.20140490,14.507,0.076,1.208,13.388,0.094,1.078,10.840,,0.865,7.082,,0.974,1.0,20,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05513b147',55361.93679720,14.379,0.070,1.131,13.470,0.099,0.993,10.949,,0.877,7.621,,0.870,1.0,82,b'0000',0.180061,244.920326
b'3539p000_ac51-011979',353.3224147,-0.3843212,b'23h33m17.38s',b'-00d23m03.56s',1,0,b'0000',b'05517b147',55362.06910110,14.486,0.075,1.172,13.483,0.093,0.987,10.638,,0.855,7.257,,0.883,1.0,41,b'0000',0.180061,244.920326
