ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0.6510036,-0.4568326,b'00h02m36.24s',b'-00d27m24.60s',0.1477,0.1388,-0.0332,13.958,0.051,21.2,0.660,13.279,0.120,9.1,0.886,1,0,b'0000',b'AB',10,56645.82106615,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.015971,125.838517
0.6510018,-0.4568345,b'00h02m36.24s',b'-00d27m24.60s',0.1481,0.1292,-0.0423,13.883,0.049,22.3,1.295,13.173,0.087,12.5,0.595,1,0,b'0000',b'AA',10,58290.50584556,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.017387,158.199219
0.6510003,-0.4568388,b'00h02m36.24s',b'-00d27m24.62s',0.1555,0.1630,-0.0656,14.163,0.060,18.0,0.673,13.268,0.089,12.2,0.507,1,0,b'0000',b'AA',10,59184.67869201,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.031644,178.047553
0.6510113,-0.4568248,b'00h02m36.24s',b'-00d27m24.57s',0.1486,0.1742,-0.0583,14.073,0.069,15.6,0.759,13.028,0.117,9.3,0.507,1,0,b'0000',b'AB',10,57728.83742039,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.044752,65.288509
0.6509893,-0.4568213,b'00h02m36.24s',b'-00d27m24.56s',0.1265,0.1219,-0.0515,13.917,0.051,21.3,1.102,12.966,0.065,16.7,0.554,1,0,b'0000',b'AA',10,58452.88695118,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.049655,309.114904
0.6509925,-0.4568153,b'00h02m36.24s',b'-00d27m24.54s',0.1721,0.1503,-0.0687,14.276,0.060,18.0,0.985,13.054,0.079,13.8,0.653,1,0,b'0000',b'AA',10,59184.48259152,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.05944,332.969877
0.6509981,-0.4568479,b'00h02m36.24s',b'-00d27m24.65s',0.1464,0.1438,-0.0467,14.089,0.053,20.6,1.742,13.205,0.093,11.7,0.682,1,0,b'0000',b'AA',5,56646.01882233,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.064837,186.058797
0.6510184,-0.4568177,b'00h02m36.24s',b'-00d27m24.54s',0.1286,0.1352,-0.0502,13.903,0.050,21.7,1.171,13.206,0.102,10.6,0.459,1,0,b'0000',b'AA',10,58290.89855549,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.079676,56.237292
0.6510128,-0.4568513,b'00h02m36.24s',b'-00d27m24.66s',0.1372,0.1426,0.0197,14.058,0.054,20.2,1.243,13.157,0.087,12.5,0.790,1,0,b'0000',b'AA',10,56833.89714140,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.089451,148.997506
0.6510265,-0.4568211,b'00h02m36.25s',b'-00d27m24.56s',0.1471,0.1435,-0.0694,13.915,0.062,17.6,1.059,12.992,0.079,13.8,0.666,1,0,b'0000',b'AA',10,58290.37506903,100001351023960,14.095,0.028,13.204,0.031,10.699,0.105,8.083,0.271,1319893026,16.718,0.1497,16.237,0.2314,14.982,0.1436,0.100634,71.434873
