source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'05209a115',55351.84859840,14.778,0.089,1.209,14.225,0.176,0.874,10.714,0.311,1.068,7.413,,1.080,1.0,10,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'05205a114',55351.71629460,14.565,0.088,1.209,14.025,0.163,0.826,10.578,,0.909,7.390,,1.080,1.0,23,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10921b159',55540.78076220,14.646,0.084,1.122,13.995,0.142,0.833,,,,,,,1.0,113,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'05213a116',55351.98090230,14.727,0.086,1.146,13.940,0.132,0.857,11.074,,0.955,7.633,,1.099,1.0,26,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10917b158',55540.64845780,14.711,0.085,1.134,14.056,0.150,0.824,,,,,,,1.0,70,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10948a133',55541.64042250,14.709,0.087,1.132,14.165,0.167,0.845,,,,,,,1.0,68,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10944a111',55541.50824540,14.582,0.079,1.180,13.921,0.130,0.870,,,,,,,1.0,29,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10929b158',55541.04524370,14.636,0.082,1.126,14.049,0.147,0.824,,,,,,,1.0,50,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10936a133',55541.24363660,14.747,0.091,1.167,13.852,0.147,0.936,,,,,,,1.0,17,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10940a134',55541.37594100,14.722,0.096,1.142,14.010,0.144,0.829,,,,,,,1.0,7,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10932a079',55541.11145960,14.691,0.091,1.123,14.217,0.175,0.869,,,,,,,1.0,33,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'10934a072',55541.17754810,14.645,0.095,1.122,14.256,0.187,0.892,,,,,,,1.0,25,b'0000',0.130111,103.113445
b'1678p000_ac51-033527',167.6060352,-0.0594782,b'11h10m25.45s',b'-00d03m34.12s',1,0,b'0000',b'05217a057',55352.11320660,14.608,0.079,1.148,13.929,0.130,0.865,11.278,0.517,0.914,7.413,,1.080,1.0,61,b'0000',0.130111,103.113445
