source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05070a198',55347.29042240,13.936,0.051,1.610,12.792,0.054,1.309,9.907,0.138,0.906,7.221,0.337,0.984,1.0,131,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05069a132',55347.22420680,13.954,0.062,1.584,12.867,0.056,1.192,10.326,0.203,0.936,7.330,,1.011,1.0,113,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10810a059',55537.07114200,14.045,0.058,1.684,13.233,0.086,1.408,,,,,,,1.0,72,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10812a014',55537.13735790,13.916,0.053,1.608,13.026,0.062,1.162,,,,,,,1.0,63,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10805b105',55536.93883770,14.037,0.056,1.616,13.000,0.062,1.149,,,,,,,1.0,103,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10805b106',55536.93896510,14.069,0.065,1.642,12.961,0.063,1.142,,,,,,,1.0,102,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10797b105',55536.67435640,13.999,0.064,1.588,12.990,0.064,1.214,,,,,,,1.0,90,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10801b106',55536.80666070,13.875,0.049,1.743,13.114,0.069,1.288,,,,,,,1.0,127,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05085a173',55347.75342210,13.916,0.050,1.680,12.783,0.057,1.316,10.129,0.170,0.903,7.047,0.347,0.985,1.0,47,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05089a173',55347.88572590,13.859,0.047,1.715,12.807,0.060,1.323,10.045,0.168,0.897,6.716,0.253,1.045,1.0,45,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05078a198',55347.55503000,13.907,0.050,1.663,12.868,0.063,1.195,10.157,0.165,0.909,7.303,0.365,0.969,1.0,73,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05081a173',55347.62111820,13.915,0.049,1.622,12.861,0.061,1.195,10.161,0.185,0.918,7.540,0.454,0.952,1.0,64,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05074a198',55347.42272610,13.942,0.054,1.587,12.866,0.065,1.193,9.865,0.132,0.918,7.387,0.428,0.953,1.0,100,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05077a121',55347.48881440,13.986,0.056,1.601,13.030,0.082,1.185,9.726,0.121,1.015,6.904,,0.975,1.0,84,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05073a173',55347.35651060,13.955,0.056,1.586,12.875,0.064,1.230,9.984,0.187,0.899,6.811,,0.955,1.0,118,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10824a081',55537.53414350,13.948,0.052,1.735,13.264,0.081,2.288,,,,,,,0.5,58,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10832a081',55537.79862480,14.015,0.053,1.597,13.104,0.067,1.299,,,,,,,1.0,125,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10828a080',55537.66632050,14.088,0.064,1.668,12.998,0.070,1.151,,,,,,,1.0,88,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10816a080',55537.26953490,14.073,0.060,1.655,12.968,0.066,1.142,,,,,,,1.0,46,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10814a018',55537.20344640,14.147,0.068,2.092,12.966,0.061,1.142,,,,,,,1.0,56,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10820a081',55537.40183920,14.065,0.057,1.635,13.015,0.065,1.170,,,,,,,1.0,42,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'10817b106',55537.33575070,13.942,0.054,1.605,13.162,0.076,1.295,,,,,,,1.0,41,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05054a198',55346.76120650,13.974,0.056,1.609,12.864,0.060,1.191,10.206,0.176,0.918,6.938,0.327,0.984,1.0,46,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05058a198',55346.89351040,13.882,0.052,1.666,12.964,0.067,1.181,10.139,0.195,0.950,6.987,,1.002,1.0,46,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05067a116',55347.15811860,13.966,0.055,1.580,12.826,0.055,1.256,9.981,0.152,0.899,7.472,0.526,0.960,1.0,95,b'0000',0.126017,70.994839
b'1782p318_ac51-045527',178.1144991,32.1664814,b'11h52m27.48s',b'32d09m59.33s',2,1,b'0000',b'05062a198',55347.02581430,13.960,0.053,1.580,12.869,0.058,1.185,9.823,0.139,0.923,7.577,,1.046,1.0,65,b'0000',0.126017,70.994839
b'1782p318_ac51-045528',178.1148139,32.1687924,b'11h52m27.56s',b'32d10m07.65s',2,1,b'0000',b'05089a173',55347.88572590,14.735,0.083,1.715,14.311,0.199,1.323,10.696,,0.897,7.565,,1.045,1.0,45,b'0000',8.429911,7.350095
b'1782p318_ac51-045528',178.1148139,32.1687924,b'11h52m27.56s',b'32d10m07.65s',2,1,b'0000',b'05085a173',55347.75342210,14.668,0.081,1.680,14.647,0.267,1.316,11.210,0.478,0.903,7.563,,0.985,1.0,47,b'0000',8.429911,7.350095
b'1782p318_ac51-045528',178.1148139,32.1687924,b'11h52m27.56s',b'32d10m07.65s',2,1,b'0000',b'10801b106',55536.80666070,14.663,0.081,1.743,14.960,0.346,1.288,,,,,,,1.0,127,b'0000',8.429911,7.350095
b'1782p318_ac51-045528',178.1148139,32.1687924,b'11h52m27.56s',b'32d10m07.65s',2,1,b'0000',b'10797b105',55536.67435640,14.867,0.096,1.588,15.155,0.407,1.214,,,,,,,1.0,90,b'0000',8.429911,7.350095
