ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
194.8197507,55.2519732,b'12h59m16.74s',b'55d15m07.10s',0.1281,0.1370,0.0132,13.972,0.048,22.4,1.231,13.759,0.178,6.1,1.374,1,0,b'0000',b'AB',10,57361.38560083,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.0115,7.106997
194.8197413,55.2519739,b'12h59m16.74s',b'55d15m07.11s',0.1259,0.1541,0.0536,14.174,0.052,20.8,1.580,13.624,0.096,11.3,0.646,1,0,b'0000',b'AA',10,58979.48605786,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.022794,308.184784
194.8197453,55.2519773,b'12h59m16.74s',b'55d15m07.12s',0.0998,0.1268,-0.0055,13.738,0.040,27.2,1.009,13.320,0.087,12.5,0.570,1,0,b'0000',b'AA',10,56995.34700934,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.028002,339.848582
194.8197602,55.2519755,b'12h59m16.74s',b'55d15m07.11s',0.1503,0.1647,0.0589,14.115,0.056,19.3,1.555,13.733,0.108,10.1,0.625,1,0,b'0000',b'AA',10,57725.45429834,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.028833,46.588148
194.8197316,55.2519753,b'12h59m16.74s',b'55d15m07.11s',0.1365,0.1488,-0.0269,14.030,0.049,22.1,1.287,13.436,0.121,9.0,0.508,1,0,b'0000',b'AB',10,57887.19705025,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.042255,296.810553
194.8197660,55.2519615,b'12h59m16.74s',b'55d15m07.06s',0.1266,0.1441,0.0364,14.065,0.049,22.2,1.227,13.439,0.085,12.7,0.813,1,0,b'0000',b'AA',10,57887.65533929,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.044857,132.986317
194.8197674,55.2519797,b'12h59m16.74s',b'55d15m07.13s',0.1047,0.1263,0.0353,13.810,0.042,25.8,1.311,13.201,0.079,13.8,0.655,1,0,b'0000',b'AA',10,56995.87278860,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.04994,45.635066
194.8197569,55.2519567,b'12h59m16.74s',b'55d15m07.04s',0.1528,0.1637,-0.0286,13.976,0.056,19.3,1.420,13.447,0.095,11.4,0.721,1,0,b'0000',b'AA',10,57358.23792049,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.04994,163.527154
194.8197318,55.2519793,b'12h59m16.74s',b'55d15m07.13s',0.1504,0.1788,0.0376,14.266,0.056,19.3,0.826,13.854,0.151,7.2,0.979,1,0,b'0000',b'AB',10,58088.91606140,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.050129,311.87692
194.8197613,55.2519566,b'12h59m16.74s',b'55d15m07.04s',0.1161,0.1259,0.0490,13.963,0.046,23.6,1.091,13.295,0.098,11.1,0.872,1,0,b'0000',b'AA',10,57358.10688934,1940154501351056369,14.414,0.027,13.987,0.035,11.782,0.178,9.298,,677147306,16.465,0.1496,15.785,0.2021,14.764,0.1365,0.053502,154.328954
