ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
244.4401511,6.0648694,b'16h17m45.64s',b'06d03m53.53s',0.0404,0.0425,-0.0079,11.775,0.020,55.2,5.823,11.070,0.024,45.6,2.411,1,0,b'0000',b'AA',10,58696.78425153,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.004347,118.745855
244.4401477,6.0648709,b'16h17m45.64s',b'06d03m53.54s',0.0430,0.0475,-0.0211,11.700,0.023,48.1,3.980,11.001,0.027,39.6,0.955,1,0,b'0000',b'AA',10,57249.53886376,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.008693,291.479977
244.4401516,6.0648723,b'16h17m45.64s',b'06d03m53.54s',0.0399,0.0394,-0.0033,11.549,0.022,49.7,3.789,10.829,0.020,54.4,1.129,1,0,b'0000',b'AA',10,57972.10667397,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.010194,34.673879
244.4401525,6.0648714,b'16h17m45.64s',b'06d03m53.54s',0.0358,0.0359,-0.0156,11.400,0.017,65.0,3.615,10.625,0.018,58.8,1.702,1,0,b'0000',b'AA',10,56711.79464990,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.010194,60.613876
244.4401470,6.0648707,b'16h17m45.64s',b'06d03m53.53s',0.0422,0.0482,-0.0054,11.758,0.023,47.2,3.966,10.988,0.024,46.0,0.944,1,0,b'0000',b'AA',10,57249.07968340,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.011082,283.205365
244.4401539,6.0648718,b'16h17m45.64s',b'06d03m53.54s',0.0426,0.0495,-0.0218,11.761,0.020,54.8,4.067,11.066,0.023,47.7,1.388,1,0,b'0000',b'AA',10,57608.63671167,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.015368,65.102275
244.4401543,6.0648693,b'16h17m45.64s',b'06d03m53.53s',0.0409,0.0442,-0.0102,11.537,0.022,49.0,3.656,10.817,0.022,49.4,1.171,1,0,b'0000',b'AA',10,58331.76774481,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.015672,99.297249
244.4401543,6.0648684,b'16h17m45.64s',b'06d03m53.53s',0.0386,0.0389,-0.0107,11.695,0.020,55.5,6.982,11.002,0.022,50.1,2.089,1,0,b'0000',b'AA',10,57437.90097596,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.016552,110.515215
244.4401454,6.0648701,b'16h17m45.63s',b'06d03m53.53s',0.0422,0.0442,0.0058,11.565,0.021,51.0,3.862,10.872,0.027,39.9,1.577,1,0,b'0000',b'AA',10,57971.64851255,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.016552,271.252372
244.4401531,6.0648665,b'16h17m45.64s',b'06d03m53.52s',0.0381,0.0416,-0.0108,11.360,0.022,49.1,12.200,10.647,0.021,52.0,7.546,1,0,b'0000',b'AA',5,56709.62124707,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.016835,138.627792
244.4401468,6.0648738,b'16h17m45.64s',b'06d03m53.55s',0.0416,0.0431,-0.0093,11.839,0.019,57.5,4.813,11.071,0.023,47.4,1.958,1,0,b'0000',b'AA',10,57073.67095273,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.017922,320.057466
244.4401457,6.0648673,b'16h17m45.63s',b'06d03m53.52s',0.0394,0.0382,-0.0121,11.581,0.018,59.3,4.310,10.860,0.021,51.1,2.400,1,0,b'0000',b'AA',10,57972.23770453,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.018184,237.729998
244.4401448,6.0648703,b'16h17m45.63s',b'06d03m53.53s',0.0381,0.0412,-0.0062,11.550,0.021,52.8,2.522,10.739,0.020,54.2,1.392,1,0,b'0000',b'AA',10,56890.31272427,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.018696,273.320409
244.4401469,6.0648750,b'16h17m45.64s',b'06d03m53.55s',0.0408,0.0421,-0.0148,11.522,0.019,56.8,3.958,10.826,0.024,45.7,1.285,1,0,b'0000',b'AA',10,57805.03634684,2445106001351030298,11.549,0.023,10.817,0.020,8.141,0.022,5.875,0.037,1030917207,13.852,0.0457,13.114,0.0468,12.501,0.0403,0.021071,328.344931
