source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'06577b167',55397.12933660,11.247,0.028,3.004,10.395,0.024,2.597,8.418,0.054,0.930,6.232,0.131,0.993,1.0,32,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'11989a115',55576.05955750,11.483,0.030,3.179,10.570,0.029,2.674,,,,,,,1.0,42,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00953a112',55211.05978650,11.334,0.023,2.113,10.513,0.026,2.085,8.423,0.050,0.921,6.328,0.151,0.966,1.0,41,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00937a112',55210.53044030,11.346,0.024,2.088,10.482,0.024,1.974,,,,,,,1.0,54,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00945a113',55210.79517700,11.317,0.026,2.183,10.458,0.022,2.001,8.541,0.055,0.999,6.606,0.176,1.072,1.0,8,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00949a112',55210.92748180,11.321,0.024,2.162,10.467,0.027,1.977,8.447,0.051,0.896,6.296,0.134,0.970,1.0,12,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00938a137',55210.59665630,11.324,0.025,2.150,10.463,0.026,1.986,8.529,0.053,0.969,6.202,0.124,1.010,1.0,36,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00941a112',55210.66274500,11.345,0.027,2.089,10.470,0.028,1.974,8.485,0.050,0.901,6.287,0.150,0.972,1.0,25,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00934b137',55210.46435160,11.387,0.031,2.162,10.480,0.027,1.972,8.474,0.049,0.894,6.564,0.186,1.044,1.0,74,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'06573b167',55396.99703290,11.278,0.029,2.537,10.418,0.024,2.277,8.472,0.049,0.893,6.439,0.166,0.982,1.0,65,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00933a113',55210.39813560,11.348,0.025,2.086,10.461,0.025,1.991,8.416,0.048,0.934,5.951,0.148,1.407,1.0,95,b'0000',0.859961,68.589914
b'0287p030_ac51-005363',28.8539726,2.4712572,b'01h55m24.95s',b'02d28m16.53s',1,0,b'0000',b'00934b136',55210.46422430,11.318,0.031,2.181,10.491,0.026,1.990,8.499,0.048,0.916,6.242,0.125,0.988,1.0,74,b'0000',0.859961,68.589914
