source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'12118a191',55580.36397070,10.738,0.026,2.026,9.765,0.020,2.130,,,,,,,1.0,115,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'12123a120',55580.49627510,10.716,0.021,2.011,9.700,0.023,1.830,,,,,,,1.0,80,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'06776a090',55403.67181720,10.764,0.025,2.138,9.708,0.020,1.827,7.450,0.026,1.138,5.055,0.047,0.997,1.0,90,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'12149a167',55581.35593520,10.735,0.023,2.020,9.701,0.020,1.829,,,,,,,1.0,117,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'06765b115',55403.34112140,10.792,0.026,2.357,9.661,0.021,2.028,7.431,0.025,1.219,5.023,0.074,1.049,1.0,43,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'01066a189',55214.83753840,10.694,0.024,2.072,9.651,0.022,2.134,7.409,0.025,1.373,5.088,0.061,0.975,1.0,40,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'06761b115',55403.20881760,10.728,0.029,2.010,9.637,0.029,2.317,7.442,0.025,1.166,5.038,0.058,1.020,1.0,57,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'06764a090',55403.27490580,10.731,0.028,2.013,9.698,0.023,1.834,7.441,0.028,1.171,5.045,0.047,1.010,1.0,47,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'06757b115',55403.07651380,10.727,0.021,2.009,9.683,0.022,1.881,7.455,0.028,1.124,5.081,0.045,0.977,1.0,73,b'0000',0.300285,50.550309
b'0219p348_ac51-039943',21.4830788,35.1769130,b'01h25m55.94s',b'35d10m36.89s',1,0,b'0000',b'06760a089',55403.14260210,10.717,0.032,2.010,9.690,0.023,1.854,7.508,0.025,1.184,5.085,0.054,0.976,1.0,65,b'0000',0.300285,50.550309
