source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07904a174',55440.98793290,11.700,0.030,2.714,10.920,0.034,1.822,,,,,,,1.0,62,b'0011',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07908a174',55441.12023710,11.749,0.035,3.338,10.921,0.041,1.827,,,,,,,1.0,24,b'0011',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07824a176',55438.34223100,11.717,0.027,2.900,10.922,0.030,1.844,,,,,,,1.0,-1,b'0011',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07828a176',55438.47453520,11.739,0.035,3.197,10.939,0.038,2.026,,,,,,,1.0,16,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07818a165',55438.14383850,11.720,0.038,2.935,10.912,0.035,1.742,,,,,,,1.0,20,b'0011',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07820a176',55438.20992690,11.654,0.030,2.348,10.922,0.030,1.840,,,,,,,1.0,13,b'0011',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02061a078',55247.71269820,11.515,0.021,2.915,10.740,0.025,1.837,7.901,0.029,0.773,5.337,0.071,0.872,1.0,11,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02065a078',55247.84500240,11.537,0.023,2.629,10.733,0.023,1.919,7.886,0.030,0.761,5.416,0.060,0.891,1.0,-5,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02053a079',55247.44809000,11.542,0.026,2.581,10.813,0.025,1.348,7.897,0.034,0.768,5.400,0.080,0.877,1.0,76,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02057a078',55247.58039410,11.512,0.024,2.966,10.811,0.029,1.353,,,,,,,1.0,34,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02049a078',55247.31565850,11.524,0.028,2.787,10.754,0.025,1.685,7.841,0.033,0.849,5.291,0.054,0.921,1.0,112,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02050a102',55247.38187430,11.513,0.024,2.950,10.763,0.024,1.601,7.893,0.038,0.764,5.307,0.083,0.898,1.0,97,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02045a078',55247.18335440,11.520,0.025,2.846,10.738,0.023,1.862,7.904,0.036,0.778,5.339,0.066,0.871,1.0,75,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02046a102',55247.24957010,11.509,0.021,3.006,10.758,0.025,1.638,7.878,0.029,0.763,5.449,0.068,0.931,1.0,96,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02038a102',55246.98483460,11.503,0.025,3.105,10.732,0.025,1.931,,,,,,,1.0,14,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02042b103',55247.11726600,11.567,0.027,2.373,10.743,0.023,1.796,7.862,0.032,0.784,5.345,0.069,0.868,1.0,54,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02034a102',55246.85253040,11.485,0.027,3.441,10.764,0.031,1.590,7.866,0.030,0.776,5.402,0.075,0.879,1.0,-5,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'02030a102',55246.72022630,11.580,0.023,2.305,10.766,0.022,1.576,7.909,0.029,0.789,5.341,0.071,0.870,1.0,10,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07809b201',55437.87923000,11.713,0.026,2.849,10.912,0.036,1.742,,,,,,,1.0,97,b'0000',0.189917,322.587995
b'0704m091_ac51-054412',70.4752976,-8.4427681,b'04h41m54.07s',b'-08d26m33.97s',1,0,b'0000',b'07812a177',55437.94544580,11.849,0.041,5.248,10.965,0.034,2.360,,,,,,,1.0,75,b'0011',0.189917,322.587995
