ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
188.0499804,-42.2974114,b'12h32m12.00s',b'-42d17m50.68s',0.0217,0.0263,0.0032,9.679,0.016,66.7,3.472,8.771,0.012,91.0,8.504,1,0,b'hh00',b'AA',5,58659.94493564,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.377092,50.657987
188.0500631,-42.2974869,b'12h32m12.02s',b'-42d17m50.95s',0.0248,0.0280,-0.0080,9.720,0.016,68.2,26.080,8.808,0.013,81.6,35.530,1,0,b'hh00',b'AA',0,58660.20610524,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.40071,59.036359
188.0499827,-42.2973681,b'12h32m12.00s',b'-42d17m50.53s',0.0299,0.0284,-0.0074,9.799,0.018,60.4,2.600,8.939,0.016,68.3,4.507,1,0,b'hh00',b'AA',10,56854.38385463,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.48339,47.965224
188.0500490,-42.2974286,b'12h32m12.01s',b'-42d17m50.74s',0.0307,0.0346,-0.0133,9.728,0.021,52.6,43.150,8.822,0.015,72.2,42.370,1,0,b'hh00',b'AA',0,58660.53310905,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.484505,54.43561
188.0499998,-42.2973812,b'12h32m12.00s',b'-42d17m50.57s',0.0248,0.0244,-0.0108,9.756,0.016,67.7,1.975,8.911,0.013,84.5,3.640,1,0,b'hh00',b'AA',10,56854.84430799,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.486496,49.47507
188.0500368,-42.2974098,b'12h32m12.01s',b'-42d17m50.68s',0.0281,0.0273,-0.0121,9.796,0.018,61.3,3.426,8.890,0.014,74.9,2.589,1,0,b'hh00',b'AA',5,57572.13431709,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.498537,52.739574
188.0501130,-42.2974947,b'12h32m12.03s',b'-42d17m50.98s',0.0251,0.0283,-0.0101,9.661,0.015,72.0,47.700,8.873,0.014,77.5,29.300,1,0,b'hh00',b'AA',0,58660.46778476,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.501908,61.15383
188.0499922,-42.2973634,b'12h32m12.00s',b'-42d17m50.51s',0.0231,0.0246,-0.0061,9.738,0.015,74.3,6.197,8.823,0.012,90.5,5.744,1,0,b'hh00',b'AA',10,58295.76642281,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.513512,48.064865
188.0499979,-42.2973670,b'12h32m12.00s',b'-42d17m50.52s',0.0287,0.0306,-0.0115,9.722,0.019,58.5,10.950,8.819,0.014,75.5,12.720,1,0,b'hh00',b'AA',5,57936.80737291,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.516219,48.515367
188.0502356,-42.2978242,b'12h32m12.06s',b'-42d17m52.17s',0.0237,0.0288,-0.0077,9.643,0.015,72.2,191.800,9.073,0.013,83.9,177.800,1,0,b'hh00',b'AA',0,56855.10738756,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.517996,89.525198
188.0500223,-42.2973833,b'12h32m12.01s',b'-42d17m50.58s',0.0252,0.0275,-0.0088,9.794,0.015,70.3,2.480,8.833,0.013,83.7,2.404,1,0,b'hh00',b'AA',10,59024.78724708,1880042501351032322,10.092,0.023,9.173,0.020,6.551,0.016,4.053,0.019,425151842,13.241,0.0342,12.311,0.0359,11.275,0.0242,2.527519,50.487892
