ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
281.7093296,84.4181746,b'18h46m50.24s',b'84d25m05.43s',0.0604,0.0701,-0.0094,12.566,0.029,37.3,7.311,11.405,0.031,34.6,2.837,2,0,b'0000',b'AA',0,58745.40182687,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.265992,258.212474
281.7085188,84.4182144,b'18h46m50.04s',b'84d25m05.57s',0.0520,0.0492,0.0039,11.984,0.026,41.5,19.510,11.025,0.025,43.9,12.280,1,0,b'0000',b'AA',0,58017.36012351,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.520202,261.441731
281.7081134,84.4181680,b'18h46m49.95s',b'84d25m05.40s',0.0549,0.0507,-0.0104,12.216,0.024,45.3,19.680,11.287,0.026,42.4,11.010,1,0,b'0000',b'AA',0,58381.12196689,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.688274,259.203781
281.7078740,84.4181999,b'18h46m49.89s',b'84d25m05.52s',0.0451,0.0464,-0.0106,12.012,0.024,45.5,14.810,11.097,0.021,51.1,8.570,1,0,b'0000',b'AA',0,56730.81204448,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.751286,261.167146
281.7077971,84.4182001,b'18h46m49.87s',b'84d25m05.52s',0.0421,0.0493,-0.0084,12.227,0.022,49.4,45.030,11.317,0.026,41.3,20.590,1,0,b'0000',b'AA',0,56730.54870993,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.777785,261.240721
281.7077896,84.4181822,b'18h46m49.87s',b'84d25m05.46s',0.0466,0.0461,0.0133,11.954,0.024,45.4,18.560,10.982,0.022,49.2,11.510,1,0,b'0000',b'AA',0,58016.83638218,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.790734,260.284125
281.7077894,84.4181561,b'18h46m49.87s',b'84d25m05.36s',0.0515,0.0513,-0.0144,12.321,0.022,49.2,33.520,11.120,0.030,35.9,15.060,1,0,b'0000',b'AA',0,56731.20717383,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.807804,258.890678
281.7076562,84.4182262,b'18h46m49.84s',b'84d25m05.61s',0.0498,0.0495,0.0047,12.344,0.025,43.7,46.700,11.237,0.026,42.5,35.360,1,0,b'0000',b'AA',0,56732.19493336,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.813541,262.749091
281.7074780,84.4181740,b'18h46m49.79s',b'84d25m05.43s',0.0443,0.0450,0.0163,11.854,0.023,47.0,4.467,10.912,0.023,47.6,2.305,1,0,b'0000',b'AA',5,58016.24718970,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.903278,260.127623
281.7075058,84.4181444,b'18h46m49.80s',b'84d25m05.32s',0.0414,0.0452,-0.0088,11.936,0.024,46.0,1.965,10.950,0.021,51.7,0.765,1,0,b'0000',b'AA',10,57449.61902112,2880184801351012199,11.974,0.024,10.911,0.021,7.836,0.017,5.314,0.033,1092791371,14.658,0.0427,14.186,0.0458,13.375,0.0366,3.913432,258.565996
