ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
103.6407494,7.0508536,b'06h54m33.78s',b'07d03m03.07s',0.0875,0.0968,-0.0073,13.238,0.036,30.3,23.610,13.392,0.087,12.5,6.313,1,0,b'0000',b'AA',10,57468.34782088,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.092676,191.344062
103.6407067,7.0508541,b'06h54m33.77s',b'07d03m03.07s',0.0984,0.1201,0.0474,13.266,0.044,24.7,16.450,12.854,0.070,15.5,2.126,1,0,b'0000',b'AA',5,59127.69256273,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.122152,192.285815
103.6405908,7.0508771,b'06h54m33.74s',b'07d03m03.16s',0.1066,0.1088,-0.0251,13.269,0.041,26.3,17.700,13.030,0.092,11.8,3.474,1,0,b'0000',b'AA',10,58399.39558322,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.139118,194.933779
103.6406812,7.0508255,b'06h54m33.76s',b'07d03m02.97s',0.0939,0.1158,-0.0568,13.168,0.036,30.1,24.130,13.002,0.069,15.7,3.863,1,0,b'0000',b'AA',10,57829.56313013,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.242383,192.701854
103.6405745,7.0508483,b'06h54m33.74s',b'07d03m03.05s',0.0801,0.1087,-0.0233,13.248,0.035,30.8,26.210,13.262,0.081,13.3,3.499,1,0,b'0000',b'AA',10,57468.08563124,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.254351,195.116735
103.6407654,7.0508046,b'06h54m33.78s',b'07d03m02.90s',0.0949,0.1131,0.0185,13.170,0.039,28.0,16.340,13.104,0.077,14.2,3.480,1,0,b'0000',b'AA',10,59128.15021479,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.254831,190.782257
103.6405944,7.0508306,b'06h54m33.74s',b'07d03m02.99s',0.1060,0.1121,-0.0482,13.273,0.041,26.8,16.030,13.056,0.075,14.4,2.336,1,0,b'0000',b'AA',5,59128.54266983,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.297716,194.591355
103.6406188,7.0508224,b'06h54m33.75s',b'07d03m02.96s',0.0930,0.1032,-0.0357,13.235,0.035,30.6,22.410,12.991,0.075,14.5,2.614,1,0,b'0000',b'AA',5,59127.56165948,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.304775,194.026066
103.6406048,7.0508093,b'06h54m33.75s',b'07d03m02.91s',0.0877,0.0935,-0.0184,13.134,0.034,31.8,17.040,13.118,0.077,14.1,1.464,1,0,b'0000',b'AA',10,57668.28193737,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.362725,194.253089
103.6406113,7.0508059,b'06h54m33.75s',b'07d03m02.90s',0.0949,0.1078,-0.0294,13.170,0.035,30.7,15.750,13.029,0.069,15.7,3.377,1,0,b'0000',b'AA',5,57829.03925984,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.368906,194.09701
103.6407753,7.0507703,b'06h54m33.79s',b'07d03m02.77s',0.1241,0.1204,-0.0574,13.298,0.042,25.6,18.110,13.090,0.063,17.2,4.915,1,0,b'0000',b'AA',10,58554.23510718,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.369693,190.428525
103.6407241,7.0507786,b'06h54m33.77s',b'07d03m02.80s',0.0947,0.1096,0.0183,13.240,0.039,28.1,20.900,12.981,0.080,13.5,2.975,1,0,b'0000',b'AA',5,58032.23714657,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.375249,191.561118
103.6405941,7.0507991,b'06h54m33.74s',b'07d03m02.88s',0.1004,0.1079,-0.0179,13.273,0.040,27.4,14.220,12.835,0.084,13.0,2.906,1,0,b'0000',b'AA',10,57668.74048321,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.407769,194.423686
103.6406729,7.0507779,b'06h54m33.76s',b'07d03m02.80s',0.1042,0.1166,-0.0522,13.169,0.038,28.5,17.240,13.129,0.081,13.5,3.018,1,0,b'0000',b'AA',10,58189.82221332,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.416074,192.648613
103.6406122,7.0507919,b'06h54m33.75s',b'07d03m02.85s',0.1016,0.1043,-0.0278,13.208,0.039,27.9,14.630,12.967,0.070,15.5,1.716,1,0,b'0000',b'AA',10,58032.43362895,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.417017,194.003347
103.6405283,7.0508135,b'06h54m33.73s',b'07d03m02.93s',0.0895,0.1034,-0.0362,13.249,0.035,30.9,18.780,13.121,0.075,14.4,2.574,1,0,b'0000',b'AA',5,58763.79971863,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.419194,195.887333
103.6405740,7.0508000,b'06h54m33.74s',b'07d03m02.88s',0.1091,0.1173,-0.0031,13.339,0.039,27.5,16.270,13.071,0.087,12.5,1.878,1,0,b'0000',b'AA',5,58763.86517024,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.422781,194.851495
103.6407688,7.0507553,b'06h54m33.78s',b'07d03m02.72s',0.0948,0.0957,-0.0360,13.162,0.032,34.0,22.950,13.148,0.092,11.8,5.447,1,0,b'0000',b'AA',10,58189.88766542,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.427013,190.507932
103.6405560,7.0507999,b'06h54m33.73s',b'07d03m02.88s',0.0941,0.1016,-0.0270,13.179,0.038,28.9,16.520,13.015,0.083,13.1,3.018,1,0,b'0000',b'AA',5,59127.95411456,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.439817,195.228233
103.6406466,7.0507742,b'06h54m33.76s',b'07d03m02.79s',0.0885,0.1045,-0.0381,13.258,0.035,31.0,23.600,13.095,0.086,12.6,4.636,1,0,b'0000',b'AA',10,58399.65726252,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.450063,193.186816
103.6406830,7.0507660,b'06h54m33.76s',b'07d03m02.76s',0.0975,0.1066,0.0165,13.276,0.037,29.4,18.650,12.988,0.090,12.0,2.654,1,0,b'0000',b'AA',10,58032.36817723,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.450078,192.378263
103.6406281,7.0507761,b'06h54m33.75s',b'07d03m02.79s',0.0982,0.1204,-0.0413,13.244,0.039,27.6,20.270,13.244,0.095,11.5,3.180,1,0,b'0000',b'AA',10,58032.69543573,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.458711,193.58609
103.6407088,7.0507579,b'06h54m33.77s',b'07d03m02.73s',0.0920,0.1073,-0.0068,13.236,0.036,29.9,24.600,13.052,0.089,12.1,1.856,1,0,b'0000',b'AA',10,57106.73821186,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.459291,191.795042
103.6406136,7.0507793,b'06h54m33.75s',b'07d03m02.81s',0.0928,0.1157,-0.0128,13.139,0.044,24.6,23.330,12.993,0.070,15.4,5.842,1,0,b'0000',b'AA',10,57303.88231515,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.459832,193.907473
103.6404616,7.0508200,b'06h54m33.71s',b'07d03m02.95s',0.1051,0.1061,-0.0453,13.296,0.040,27.5,16.580,12.969,0.065,16.6,2.786,1,0,b'0000',b'AA',10,58921.07334119,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.464855,197.313735
103.6407474,7.0507474,b'06h54m33.78s',b'07d03m02.69s',0.1066,0.1240,0.0352,13.147,0.041,26.4,16.060,12.869,0.066,16.4,2.159,1,0,b'0000',b'AA',10,57304.60381238,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.469179,190.93142
103.6404749,7.0508144,b'06h54m33.71s',b'07d03m02.93s',0.0945,0.0996,0.0017,13.190,0.036,30.4,20.760,13.043,0.075,14.4,2.005,1,0,b'0000',b'AA',5,59128.08489056,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.470099,197.002969
103.6407800,7.0507400,b'06h54m33.79s',b'07d03m02.66s',0.0989,0.0991,-0.0446,13.146,0.033,33.1,21.770,13.093,0.079,13.8,3.012,1,0,b'0000',b'AA',10,58399.00287338,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.474,190.209241
103.6407999,7.0507343,b'06h54m33.79s',b'07d03m02.64s',0.1025,0.1014,-0.0438,13.179,0.033,32.7,22.440,13.132,0.084,12.9,2.351,1,0,b'0000',b'AA',5,59127.88866292,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.48188,189.764439
103.6407057,7.0507521,b'06h54m33.77s',b'07d03m02.71s',0.1071,0.1053,-0.0066,13.254,0.036,30.1,23.430,12.995,0.074,14.7,4.099,1,0,b'0000',b'AA',10,58399.13326734,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.481996,191.834764
103.6406703,7.0507593,b'06h54m33.76s',b'07d03m02.73s',0.1091,0.1292,0.0458,13.215,0.043,25.2,17.190,13.111,0.088,12.4,3.315,1,0,b'0000',b'AA',10,58399.39545590,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.483445,192.614789
103.6406583,7.0507566,b'06h54m33.76s',b'07d03m02.72s',0.0921,0.1053,-0.0416,13.243,0.038,28.7,20.030,13.010,0.072,15.2,5.100,1,0,b'0000',b'AA',10,57106.14723634,1037107501351005597,13.144,0.024,12.932,0.028,9.999,0.061,5.711,0.054,692910503,15.908,0.1041,14.951,0.0984,14.197,0.0898,9.502377,192.85426
