source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02792a109',55271.89898890,9.918,0.024,6.183,8.935,0.025,2.142,6.107,0.018,1.112,3.752,0.024,0.785,1.0,88,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02793b133',55271.96507720,9.906,0.024,6.122,8.909,0.018,2.214,6.111,0.017,1.086,3.805,0.027,0.775,1.0,67,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02788a109',55271.76668480,9.862,0.020,6.105,8.868,0.023,2.634,6.123,0.024,1.034,3.717,0.037,0.960,1.0,102,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02789b133',55271.83277320,9.927,0.021,6.245,8.897,0.020,2.299,6.092,0.021,1.257,3.788,0.037,0.747,1.0,108,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02781b133',55271.56816520,9.854,0.022,6.139,8.930,0.025,2.145,6.102,0.014,1.151,3.803,0.030,0.770,1.0,40,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02785b133',55271.70046910,9.907,0.021,6.124,8.890,0.024,2.363,6.128,0.017,1.023,3.777,0.021,0.745,1.0,83,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08229a144',55451.73219460,9.707,0.022,9.301,8.860,0.021,2.773,,,,,,,1.0,7,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02778a055',55271.43586130,9.837,0.022,6.258,8.922,0.018,2.159,6.119,0.017,1.046,3.811,0.037,0.791,1.0,4,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08233a144',55451.86449880,9.714,0.021,9.018,8.903,0.020,2.250,,,,,,,1.0,-6,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08237a144',55451.99680290,9.716,0.020,8.950,8.843,0.026,3.102,,,,,,,1.0,16,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08223a137',55451.53380220,9.690,0.017,10.020,8.848,0.018,3.002,,,,,,,1.0,48,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08225a143',55451.59989050,9.739,0.023,8.158,8.848,0.022,2.995,,,,,,,1.0,27,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08218a167',55451.40149800,9.752,0.018,7.772,8.869,0.019,2.621,,,,,,,1.0,90,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08221a130',55451.46771380,9.679,0.026,10.510,8.840,0.020,3.171,,,,,,,1.0,69,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08214a167',55451.26919390,9.792,0.024,6.853,8.848,0.018,2.984,,,,,,,1.0,100,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08217a144',55451.33540960,9.634,0.019,13.040,8.879,0.021,2.488,,,,,,,0.5,110,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08206a168',55451.00471310,9.616,0.028,14.200,8.878,0.034,2.496,,,,,,,1.0,18,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'08211a116',55451.13701720,9.598,0.018,15.490,8.892,0.018,2.337,,,,,,,0.5,60,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02804a108',55272.29590080,9.877,0.020,6.072,8.916,0.021,2.179,6.103,0.021,1.145,3.819,0.040,0.817,1.0,-3,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02808a054',55272.42820480,9.848,0.023,6.179,8.980,0.016,2.344,6.112,0.017,1.082,3.751,0.023,0.787,1.0,3,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02796a108',55272.03129290,9.809,0.025,6.572,8.884,0.024,2.423,6.123,0.015,1.033,3.778,0.033,0.744,1.0,46,b'0000',0.406295,307.17777
b'2657m122_ac51-035030',265.4802380,-12.1990418,b'17h41m55.26s',b'-12d11m56.55s',1,0,b'h000',b'02800a082',55272.16359690,9.884,0.020,6.070,8.916,0.021,2.179,6.110,0.018,1.097,3.793,0.027,0.752,1.0,14,b'0000',0.406295,307.17777
