source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'00718a160',55203.32100780,10.677,0.024,1.306,9.615,0.021,1.392,,,,,,,1.0,125,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'00714a167',55203.18870340,10.707,0.022,1.441,9.691,0.023,2.011,6.937,0.026,0.794,4.652,0.052,0.955,1.0,90,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06333b138',55389.05625990,10.653,0.022,1.293,9.597,0.021,1.403,6.949,0.022,0.777,4.711,0.044,0.854,1.0,58,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06336a113',55389.12234810,10.675,0.032,1.301,9.578,0.022,1.488,6.960,0.021,0.783,4.674,0.036,0.898,1.0,46,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06332a113',55388.99004430,10.668,0.028,1.291,9.616,0.025,1.393,6.951,0.021,0.776,4.791,0.052,0.954,1.0,76,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06332a114',55388.99017160,10.673,0.030,1.298,9.604,0.019,1.392,6.969,0.021,0.804,4.765,0.056,0.895,1.0,76,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06325b138',55388.79165230,10.630,0.022,1.366,9.565,0.020,1.590,6.963,0.021,0.789,4.671,0.046,0.905,1.0,121,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06329b138',55388.92395610,10.640,0.020,1.326,9.588,0.022,1.434,6.932,0.023,0.809,4.685,0.043,0.878,1.0,96,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06317b138',55388.52704490,10.670,0.023,1.293,9.606,0.022,1.390,6.960,0.022,0.784,4.797,0.042,0.974,1.0,44,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06321b138',55388.65934860,10.664,0.020,1.288,9.613,0.021,1.390,6.992,0.021,0.922,4.729,0.042,0.855,1.0,79,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'00733a139',55203.78430150,10.670,0.026,1.294,9.599,0.019,1.400,,,,,,,1.0,22,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'00737a139',55203.91660630,10.670,0.025,1.294,9.615,0.023,1.392,6.970,0.025,0.808,4.714,0.066,0.853,1.0,24,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'00725a139',55203.51956490,10.699,0.025,1.395,9.624,0.022,1.409,6.946,0.021,0.779,4.702,0.040,0.859,1.0,64,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11646a163',55564.75421570,10.616,0.022,1.454,9.657,0.022,1.610,,,,,,,1.0,24,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11661a138',55565.21709000,10.722,0.030,1.558,9.559,0.026,1.655,,,,,,,1.0,99,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11654a162',55565.01869710,10.620,0.025,1.432,9.582,0.022,1.465,,,,,,,1.0,41,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11650a163',55564.88652000,10.625,0.024,1.394,9.634,0.021,1.450,,,,,,,1.0,19,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11658b163',55565.15100150,10.635,0.023,1.343,9.596,0.020,1.408,,,,,,,1.0,78,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11657a139',55565.08491290,10.640,0.025,1.326,9.614,0.024,1.391,,,,,,,1.0,58,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11662a163',55565.28330590,10.659,0.032,1.288,9.608,0.024,1.389,,,,,,,1.0,121,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06336a114',55389.12247540,10.724,0.030,1.582,9.614,0.024,1.391,6.927,0.026,0.828,4.733,0.052,0.857,1.0,46,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11669a111',55565.48169870,10.659,0.030,1.288,9.673,0.025,1.772,,,,,,,1.0,73,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11665a139',55565.34939430,10.632,0.021,1.358,9.659,0.026,1.631,,,,,,,1.0,115,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06337b138',55389.18856360,10.712,0.022,1.482,9.621,0.018,1.402,6.941,0.021,0.785,4.702,0.051,0.859,1.0,39,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11673a138',55565.61387570,10.627,0.024,1.382,9.592,0.021,1.420,,,,,,,1.0,42,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06344a113',55389.38695550,10.670,0.027,1.294,9.621,0.025,1.403,6.933,0.026,0.804,4.743,0.047,0.864,1.0,23,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06340a113',55389.25465170,10.701,0.024,1.403,9.633,0.020,1.446,6.933,0.021,0.803,4.680,0.046,0.886,1.0,30,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'11642a162',55564.62191120,10.646,0.023,1.307,9.574,0.016,1.518,,,,,,,1.0,41,b'0000',0.092514,274.240612
b'0140p151_ac51-020595',14.2913935,14.7694919,b'00h57m09.93s',b'14d46m10.17s',1,0,b'0000',b'06348a113',55389.51925920,10.643,0.025,1.314,9.569,0.019,1.560,6.922,0.023,0.848,4.757,0.044,0.882,1.0,43,b'0000',0.092514,274.240612
