source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02083a203',55248.46119090,8.414,0.022,1.464,7.455,0.019,1.366,5.297,0.014,0.841,3.655,0.034,0.751,1.0,82,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'07965b019',55443.01756940,8.384,0.022,1.489,7.428,0.024,1.395,,,,,,,1.0,91,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08033b019',55445.26635760,8.365,0.021,1.589,7.453,0.020,1.362,,,,,,,1.0,114,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08037b019',55445.39866180,8.452,0.027,1.635,7.522,0.021,1.913,,,,,,,1.0,106,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02266b283',55254.54832210,8.391,0.024,1.469,7.422,0.019,1.422,5.351,0.015,1.064,3.651,0.025,0.754,1.0,84,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02270a284',55254.68075360,8.443,0.030,1.576,7.476,0.023,1.447,5.334,0.018,0.888,3.693,0.034,0.809,1.0,93,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02170a284',55251.37251790,8.427,0.022,1.498,7.464,0.031,1.391,5.280,0.013,0.993,3.620,0.030,0.834,1.0,81,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02178a283',55251.63712600,8.384,0.022,1.489,7.428,0.018,1.393,5.312,0.016,0.802,3.656,0.028,0.751,1.0,89,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08105b020',55447.64745000,8.411,0.021,1.460,7.464,0.014,1.389,,,,,,,1.0,82,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08025b020',55445.00187680,8.405,0.026,1.456,7.453,0.020,1.363,,,,,,,1.0,90,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02250a284',55254.01910590,8.421,0.025,1.478,7.474,0.018,1.435,5.348,0.019,1.021,3.695,0.033,0.815,1.0,107,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02258a283',55254.28371400,8.398,0.022,1.459,7.436,0.022,1.370,5.329,0.015,0.854,3.651,0.037,0.754,1.0,84,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02166b283',55251.24008650,8.402,0.024,1.456,7.418,0.026,1.444,5.270,0.017,1.130,3.608,0.022,0.894,1.0,88,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02166b284',55251.24021380,8.438,0.027,1.548,7.425,0.023,1.407,5.315,0.015,0.804,3.621,0.036,0.832,1.0,88,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'07969b020',55443.14987360,8.411,0.023,1.460,7.453,0.020,1.362,,,,,,,1.0,105,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08017b020',55444.73726840,8.398,0.019,1.459,7.436,0.024,1.369,,,,,,,1.0,79,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02242a283',55253.75437040,8.375,0.025,1.529,7.488,0.023,1.534,5.330,0.013,0.861,3.645,0.029,0.762,1.0,100,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02246a283',55253.88667450,8.392,0.026,1.469,7.432,0.022,1.379,5.329,0.018,0.851,3.655,0.025,0.751,1.0,110,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02158a283',55250.97547830,8.432,0.020,1.516,7.470,0.016,1.413,5.335,0.015,0.897,3.667,0.038,0.754,1.0,109,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02163a224',55251.10778240,8.406,0.023,1.456,7.432,0.020,1.379,5.330,0.012,0.858,3.654,0.022,0.752,1.0,100,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08005b020',55444.34048340,8.426,0.028,1.495,7.428,0.031,1.393,,,,,,,1.0,110,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08009b019',55444.47266020,8.470,0.033,1.790,7.436,0.021,1.368,,,,,,,1.0,98,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02230a284',55253.35745820,8.391,0.025,1.469,7.446,0.019,1.358,5.333,0.017,0.877,3.678,0.043,0.769,1.0,81,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02238a283',55253.62206630,8.396,0.021,1.461,7.464,0.024,1.389,,,,,,,1.0,88,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02150a284',55250.71087000,8.413,0.028,1.462,7.472,0.023,1.424,5.310,0.018,0.803,3.628,0.032,0.804,1.0,96,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02154a284',55250.84317410,8.423,0.024,1.485,7.442,0.020,1.359,5.286,0.017,0.929,3.688,0.046,0.792,1.0,107,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08001b020',55444.20817930,8.400,0.023,1.457,7.426,0.017,1.402,,,,,,,1.0,110,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'08005b019',55444.34035610,8.376,0.023,1.522,7.474,0.018,1.434,,,,,,,1.0,110,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02218a283',55252.96041860,8.400,0.020,1.457,7.444,0.020,1.358,5.306,0.019,0.807,3.671,0.023,0.757,1.0,110,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02226b283',55253.22502680,8.380,0.025,1.503,7.468,0.021,1.407,5.328,0.018,0.848,3.667,0.025,0.753,1.0,89,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02146b283',55250.57843850,8.426,0.035,1.496,7.436,0.019,1.369,5.245,0.019,1.648,3.649,0.020,0.756,1.0,86,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02146b284',55250.57856590,8.448,0.024,1.610,7.433,0.027,1.376,5.266,0.012,1.198,3.621,0.042,0.829,1.0,85,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'07993b020',55443.94357100,8.392,0.021,1.467,7.440,0.022,1.362,,,,,,,1.0,85,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'07997b020',55444.07587520,8.396,0.024,1.461,7.480,0.026,1.472,,,,,,,1.0,98,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02210a284',55252.69581050,8.392,0.023,1.468,7.414,0.017,1.471,5.327,0.016,0.840,3.692,0.034,0.806,1.0,95,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02214a284',55252.82811460,8.416,0.022,1.467,7.484,0.022,1.503,5.295,0.016,0.855,3.618,0.019,0.844,1.0,106,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02106a281',55249.25527020,8.369,0.023,1.562,7.450,0.019,1.359,5.306,0.020,0.809,3.629,0.031,0.800,1.0,87,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02110a279',55249.38757430,8.376,0.022,1.524,7.404,0.023,1.551,5.332,0.017,0.869,3.659,0.030,0.751,1.0,81,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'07957b020',55442.75308850,8.416,0.024,1.468,7.455,0.018,1.366,,,,,,,1.0,79,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'07961b019',55442.88526530,8.425,0.025,1.491,7.434,0.020,1.373,,,,,,,1.0,81,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02206a283',55252.56337910,8.398,0.025,1.459,7.461,0.021,1.380,5.280,0.017,0.992,3.658,0.028,0.751,1.0,85,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02198a283',55252.29877390,8.388,0.019,1.479,7.420,0.019,1.435,5.309,0.020,0.804,3.668,0.037,0.755,1.0,84,b'0000',0.743877,20.299034
b'2773p726_ac51-054272',277.5964983,73.2196338,b'18h30m23.16s',b'73d13m10.68s',1,0,b'0000',b'02098a281',55248.99053470,8.385,0.023,1.487,7.460,0.020,1.378,5.290,0.016,0.890,3.670,0.029,0.757,1.0,108,b'0000',0.743877,20.299034
