ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
277.5964934,73.2195886,b'18h30m23.16s',b'73d13m10.52s',0.0268,0.0246,-0.0105,8.559,0.016,66.4,2.572,7.517,0.013,86.6,4.499,1,0,b'0000',b'AA',10,56908.15138256,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.591759,25.308731
277.5964554,73.2195978,b'18h30m23.15s',b'73d13m10.55s',0.0265,0.0302,-0.0124,8.836,0.018,58.8,2.270,7.723,0.016,69.8,1.970,1,0,b'0000',b'AA',10,58369.40726352,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.606868,20.595772
277.5964246,73.2196042,b'18h30m23.14s',b'73d13m10.58s',0.0244,0.0258,-0.0076,8.813,0.017,64.9,2.881,7.702,0.013,81.2,4.324,1,0,b'0000',b'AA',10,58368.22938841,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.618348,17.065955
277.5964656,73.2196033,b'18h30m23.15s',b'73d13m10.57s',0.0272,0.0256,-0.0125,8.953,0.015,70.7,2.815,7.826,0.013,84.9,2.424,1,0,b'0000',b'AA',10,58728.06529719,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.62914,20.865202
277.5963972,73.2196115,b'18h30m23.14s',b'73d13m10.60s',0.0263,0.0267,-0.0016,8.737,0.020,55.0,1.339,7.631,0.014,77.0,2.280,1,0,b'0000',b'AA',10,57636.55747422,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.636076,13.917399
277.5964491,73.2196086,b'18h30m23.15s',b'73d13m10.59s',0.0268,0.0236,-0.0064,9.144,0.015,72.9,6.440,7.915,0.012,88.3,7.115,1,0,b'0000',b'AA',5,59095.10834940,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.641268,18.825834
277.5964552,73.2196083,b'18h30m23.15s',b'73d13m10.59s',0.0231,0.0264,-0.0046,9.133,0.019,57.8,2.056,7.928,0.012,88.3,2.679,1,0,b'0000',b'AA',10,59097.07024611,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.64232,19.392207
277.5964658,73.2196073,b'18h30m23.15s',b'73d13m10.59s',0.0284,0.0305,-0.0145,8.612,0.018,60.2,1.375,7.582,0.015,70.6,1.624,1,0,b'0000',b'AA',10,56909.33537128,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.642688,20.42527
277.5963111,73.2196183,b'18h30m23.11s',b'73d13m10.63s',0.0289,0.0259,0.0070,8.666,0.020,54.0,3.123,7.587,0.013,80.5,11.340,1,0,b'0000',b'AA',10,57269.49338922,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.645014,5.650076
277.5965248,73.2196022,b'18h30m23.17s',b'73d13m10.57s',0.0242,0.0252,-0.0082,9.105,0.016,68.6,2.811,7.835,0.012,92.8,2.206,1,0,b'0000',b'AA',10,59096.54701557,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.650025,26.064346
277.5964009,73.2196166,b'18h30m23.14s',b'73d13m10.62s',0.0235,0.0268,-0.0095,8.629,0.017,62.1,1.677,7.596,0.013,84.7,1.888,1,0,b'0000',b'AA',10,56906.57277321,2773172601351054272,8.404,0.023,7.446,0.020,5.312,0.015,3.659,0.022,677588010,12.677,0.0236,11.490,0.0211,10.189,0.0172,0.654818,13.857602
