source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04166a062',55317.37406300,9.823,0.030,2.984,8.878,0.025,3.154,6.266,0.019,1.077,4.085,0.035,0.790,1.0,89,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09957b241',55508.91401200,9.661,0.029,3.216,8.788,0.021,2.596,,,,,,,0.5,69,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09992a217',55510.03840570,9.704,0.024,2.687,8.749,0.022,2.900,,,,,,,1.0,35,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09961b241',55509.04631610,9.697,0.020,2.749,8.942,0.024,4.441,,,,,,,1.0,33,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09988a217',55509.90610170,9.719,0.023,2.592,8.896,0.024,3.444,,,,,,,1.0,70,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09992a216',55510.03827840,9.711,0.024,2.637,8.749,0.026,2.895,,,,,,,1.0,35,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09984a216',55509.77379750,9.688,0.023,2.841,8.829,0.020,2.647,,,,,,,1.0,82,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09985b241',55509.83988590,9.715,0.021,2.615,8.728,0.018,3.210,,,,,,,1.0,87,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09980a216',55509.64149350,9.713,0.023,2.628,8.758,0.018,2.796,,,,,,,1.0,58,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09981b242',55509.70770920,9.643,0.019,3.545,8.790,0.030,2.589,,,,,,,0.5,72,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09976a165',55509.50931680,9.757,0.026,2.531,8.793,0.017,2.583,,,,,,,1.0,22,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09977b241',55509.57540510,9.717,0.022,2.605,8.748,0.025,2.911,,,,,,,1.0,40,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09972a217',55509.37701270,9.683,0.019,2.905,7.395,,7.217,,,,,,,1.0,-10,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09974a203',55509.44310100,9.746,0.028,2.523,8.799,0.026,2.575,,,,,,,1.0,5,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09968a216',55509.24470860,9.698,0.019,2.737,8.795,0.019,2.580,,,,,,,1.0,-3,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09969b242',55509.31092430,9.687,0.022,2.858,8.768,0.017,2.709,,,,,,,0.5,-9,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09953b242',55508.78183530,9.706,0.024,2.676,8.773,0.021,2.669,,,,,,,1.0,83,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04174a062',55317.63867160,9.814,0.023,2.880,8.914,0.032,3.786,6.278,0.015,1.036,4.092,0.031,0.765,1.0,16,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09964a164',55509.11253180,9.731,0.029,2.546,8.770,0.016,2.691,,,,,,,1.0,17,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09965b241',55509.17862020,9.754,0.025,2.526,8.798,0.022,2.576,,,,,,,1.0,6,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04217a038',55319.02792990,9.816,0.029,2.899,8.840,0.022,2.720,6.325,0.019,1.304,4.196,0.039,0.762,1.0,17,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09949b241',55508.64953120,9.724,0.018,2.572,8.763,0.018,2.748,,,,,,,0.5,60,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09996a216',55510.17058250,9.628,0.021,3.897,8.714,0.014,3.485,,,,,,,0.5,7,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09964a163',55509.11240450,9.817,0.028,2.916,8.795,0.024,2.580,,,,,,,1.0,16,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04209a038',55318.76332140,9.813,0.029,2.866,8.868,0.027,3.016,6.295,0.021,1.055,4.180,0.043,0.720,1.0,-4,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04213a038',55318.89562560,9.778,0.048,2.601,8.703,0.016,3.740,6.313,0.018,1.174,4.190,0.047,0.745,1.0,-14,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'09960a217',55508.98022770,9.686,0.020,2.861,8.752,0.026,2.868,,,,,,,1.0,51,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04205a038',55318.63101710,9.808,0.029,2.825,8.824,0.030,2.623,6.290,0.015,1.040,4.195,0.046,0.758,1.0,18,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04206a062',55318.69710560,9.801,0.020,2.762,8.830,0.020,2.656,6.262,0.015,1.102,4.166,0.048,0.693,1.0,6,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04202a062',55318.56480130,9.815,0.025,2.894,8.848,0.023,2.794,6.302,0.022,1.088,4.194,0.048,0.755,1.0,37,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04205a037',55318.63088980,9.821,0.024,2.962,8.880,0.020,3.185,6.291,0.015,1.042,4.120,0.031,0.694,1.0,19,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04194a062',55318.30019290,9.792,0.023,2.688,8.823,0.024,2.621,6.305,0.017,1.107,4.192,0.047,0.751,1.0,84,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04197a037',55318.36628130,9.777,0.026,2.599,8.802,0.022,2.574,6.272,0.019,1.049,4.134,0.030,0.679,1.0,90,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04186a062',55318.03558440,9.796,0.025,2.718,8.827,0.025,2.640,6.282,0.015,1.033,4.138,0.049,0.677,1.0,19,b'0000',2.30065,54.819976
b'1200m394_ac51-059692',119.9242496,-38.7322318,b'07h59m41.82s',b'-38d43m56.03s',1,0,b'0h00',b'04193a037',55318.23397700,9.809,0.027,2.828,8.843,0.023,2.743,6.270,0.018,1.058,4.162,0.033,0.687,1.0,72,b'0000',2.30065,54.819976
