ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
119.9242266,-38.7322612,b'07h59m41.81s',b'-38d43m56.14s',0.0254,0.0301,-0.0116,10.195,0.016,66.8,8.347,9.226,0.014,75.3,5.062,1,0,b'0000',b'AA',5,58585.95666931,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.187432,56.111236
119.9242121,-38.7322433,b'07h59m41.81s',b'-38d43m56.08s',0.0284,0.0251,-0.0034,10.229,0.019,56.5,1.712,9.146,0.013,84.5,2.211,1,0,b'0000',b'AA',10,57501.36882860,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.190886,54.118118
119.9242252,-38.7322510,b'07h59m41.81s',b'-38d43m56.10s',0.0242,0.0265,-0.0064,10.185,0.017,64.2,2.405,9.228,0.013,85.3,1.638,1,0,b'0000',b'AA',5,58588.83463576,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.204886,55.262141
119.9242213,-38.7322436,b'07h59m41.81s',b'-38d43m56.08s',0.0267,0.0248,-0.0065,9.950,0.019,57.8,2.475,8.907,0.012,88.6,1.462,1,0,b'0000',b'AA',10,57142.50879170,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.211245,54.533171
119.9242331,-38.7322554,b'07h59m41.82s',b'-38d43m56.12s',0.0267,0.0309,-0.0062,10.270,0.017,65.2,13.740,9.258,0.016,70.0,10.960,1,0,b'0000',b'AA',0,57700.38726421,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.214238,55.9261
119.9242324,-38.7322533,b'07h59m41.82s',b'-38d43m56.11s',0.0258,0.0297,-0.0017,10.184,0.018,61.7,2.797,9.108,0.013,81.9,1.928,1,0,b'0000',b'AA',10,57500.58238793,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.216858,55.735788
119.9242207,-38.7322398,b'07h59m41.81s',b'-38d43m56.06s',0.0285,0.0341,-0.0027,10.387,0.017,62.1,2.884,9.300,0.016,67.9,2.040,1,0,b'0000',b'AA',5,57861.37939829,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.217842,54.220079
119.9242352,-38.7322555,b'07h59m41.82s',b'-38d43m56.12s',0.0265,0.0295,-0.0083,10.210,0.019,58.1,2.365,9.116,0.015,74.8,0.900,1,0,b'0000',b'AA',10,57501.04118744,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.218926,56.019116
119.9242438,-38.7322643,b'07h59m41.82s',b'-38d43m56.15s',0.0277,0.0303,-0.0104,10.180,0.020,54.5,2.896,9.152,0.014,80.2,3.300,1,0,b'0000',b'AA',10,57500.91002912,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.2216,57.044809
119.9242321,-38.7322500,b'07h59m41.82s',b'-38d43m56.10s',0.0269,0.0307,-0.0076,9.953,0.018,59.2,2.064,8.925,0.015,70.3,1.181,1,0,b'0000',b'AA',10,57141.72107464,1200039401351059692,9.747,0.023,8.802,0.020,6.283,0.014,4.145,0.026,265864743,13.560,0.0386,12.465,0.0399,11.345,0.0242,2.222876,55.470492
