source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01570a039',55231.47050410,12.408,0.030,1.501,11.394,0.032,1.273,8.685,0.057,0.970,6.405,0.149,0.950,1.0,24,b'0011',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01573b119',55231.60279870,12.404,0.033,1.489,11.387,0.033,1.301,8.703,0.054,0.960,6.491,0.154,0.956,1.0,57,b'0011',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07045a159',55412.57691760,12.344,0.031,1.571,11.447,0.032,1.253,8.764,0.056,0.996,6.602,0.199,0.995,1.0,43,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01596a094',55232.33066270,12.412,0.030,1.515,11.345,0.029,1.591,8.778,0.058,1.019,6.330,0.130,0.968,1.0,12,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01565b120',55231.33819980,12.402,0.029,1.486,11.393,0.037,1.276,8.732,0.057,0.965,6.583,0.220,0.987,1.0,12,b'0011',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07041a116',55412.44461390,12.308,0.029,1.854,11.414,0.035,1.229,8.650,0.051,1.018,6.370,0.147,0.956,1.0,82,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07038a184',55412.37852560,12.392,0.029,1.469,11.461,0.031,1.301,8.637,0.048,1.047,6.434,0.165,0.950,1.0,103,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01600a038',55232.46296700,12.429,0.031,1.589,11.421,0.031,1.225,8.730,0.073,0.964,6.602,0.230,0.996,1.0,23,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07043a144',55412.51082940,12.378,0.031,1.467,11.362,0.027,1.442,8.819,0.062,1.109,6.362,0.142,0.957,1.0,61,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07041a117',55412.44474120,12.417,0.033,1.533,11.477,0.034,1.373,8.723,0.053,0.961,6.303,0.135,0.980,1.0,82,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07045a161',55412.57704500,12.356,0.031,1.515,11.418,0.029,1.226,8.654,0.057,1.011,6.478,0.160,0.954,1.0,43,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07037a160',55412.31243740,12.481,0.038,2.017,11.430,0.038,1.227,8.687,0.052,0.968,6.684,0.210,1.042,1.0,124,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07049a159',55412.70922140,12.387,0.029,1.465,11.373,0.027,1.371,8.698,0.050,0.962,6.452,0.141,0.951,1.0,24,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07046a184',55412.64313320,12.370,0.031,1.478,11.400,0.030,1.254,8.828,0.063,1.135,6.370,0.127,0.956,1.0,32,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07057a160',55412.97382910,12.360,0.028,1.502,11.401,0.033,1.252,8.732,0.054,0.965,6.447,0.137,0.950,1.0,25,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07053a160',55412.84152530,12.367,0.025,1.483,11.444,0.029,1.246,8.760,0.052,0.991,6.316,0.126,0.974,1.0,10,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01592a095',55232.19835860,12.377,0.031,1.468,11.478,0.036,1.381,8.586,0.049,1.219,6.372,0.178,0.955,1.0,27,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01633b117',55233.58787070,12.364,0.031,1.491,11.489,0.035,1.447,8.670,0.051,0.987,6.396,0.146,0.951,1.0,52,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07031a116',55412.11391800,12.372,0.027,1.475,11.424,0.030,1.224,8.642,0.047,1.037,6.150,0.126,1.126,1.0,61,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07034a184',55412.24622180,12.351,0.028,1.537,11.427,0.036,1.225,8.664,0.054,0.994,6.422,0.153,0.950,1.0,104,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01664a092',55234.58034300,12.335,0.028,1.626,11.476,0.030,1.368,8.668,0.064,0.989,6.610,0.171,1.000,1.0,50,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'07026a184',55411.98161420,12.376,0.031,1.469,11.426,0.029,1.225,8.843,0.065,1.181,6.716,0.254,1.063,1.0,27,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01656a093',55234.31573470,12.363,0.028,1.493,11.403,0.032,1.248,8.796,0.057,1.054,6.437,0.146,0.950,1.0,11,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01660a045',55234.44803880,12.386,0.032,1.465,11.438,0.032,1.236,8.564,0.056,1.327,6.412,0.163,0.950,1.0,19,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01652a041',55234.18343050,12.410,0.034,1.506,11.414,0.033,1.229,8.730,0.062,0.964,6.201,0.120,1.062,1.0,28,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01653b117',55234.24951890,12.354,0.027,1.522,11.393,0.028,1.278,8.732,0.060,0.964,6.335,0.143,0.966,1.0,20,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01650a039',55234.11721480,12.375,0.028,1.470,11.390,0.031,1.289,,,,,,,1.0,36,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01652a040',55234.18330320,12.386,0.037,1.465,11.505,0.034,1.560,8.694,0.049,0.964,6.561,0.159,0.977,1.0,29,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01645b117',55233.98491060,12.382,0.029,1.465,11.461,0.033,1.299,8.727,0.055,0.962,6.378,0.146,0.954,1.0,71,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01648a092',55234.05099900,12.369,0.030,1.478,11.414,0.035,1.229,8.610,0.050,1.128,6.410,0.180,0.950,1.0,52,b'0000',0.046613,156.842923
b'2299p030_ac51-045409',230.4152851,3.6247881,b'15h21m39.67s',b'03d37m29.24s',1,0,b'0000',b'01637b117',55233.72017490,12.362,0.028,1.495,11.450,0.032,1.262,8.639,0.049,1.043,6.519,0.171,0.963,1.0,95,b'0000',0.046613,156.842923
