ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
293.4465012,32.9072196,b'19h33m47.16s',b'32d54m25.99s',0.0278,0.0246,-0.0080,9.972,0.014,76.0,3.159,8.965,0.013,83.1,1.239,1,0,b'0000',b'AA',10,57136.76621622,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.004347,111.65493
293.4464979,32.9072201,b'19h33m47.16s',b'32d54m25.99s',0.0285,0.0242,0.0050,10.025,0.018,60.6,6.404,8.942,0.013,86.0,4.549,1,0,b'0000',b'AA',5,57501.33673968,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.006147,273.246318
293.4465001,32.9072235,b'19h33m47.16s',b'32d54m26.00s',0.0281,0.0241,-0.0078,10.009,0.014,77.3,3.141,8.949,0.014,78.1,2.736,1,0,b'0000',b'AA',5,58963.15089565,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.012673,1.3741
293.4465029,32.9072237,b'19h33m47.16s',b'32d54m26.01s',0.0284,0.0256,-0.0067,9.953,0.015,72.2,26.480,8.955,0.014,76.6,16.590,1,0,b'0000',b'AA',0,58964.19723125,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.015971,33.345986
293.4464946,32.9072189,b'19h33m47.16s',b'32d54m25.99s',0.0298,0.0267,0.0064,9.915,0.017,65.7,4.147,8.927,0.014,78.1,2.334,1,0,b'0000',b'AA',5,58232.51742895,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.016835,256.361657
293.4464945,32.9072186,b'19h33m47.16s',b'32d54m25.99s',0.0289,0.0263,-0.0102,10.001,0.016,67.0,4.574,8.982,0.014,75.7,2.021,1,0,b'0000',b'AA',5,58963.93567918,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.017387,253.133106
293.4465012,32.9072151,b'19h33m47.16s',b'32d54m25.97s',0.0305,0.0258,-0.0092,9.945,0.016,69.4,3.000,8.945,0.014,76.8,1.211,1,0,b'0000',b'AA',10,57868.09151775,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.017922,168.381643
293.4464950,32.9072239,b'19h33m47.16s',b'32d54m26.01s',0.0325,0.0310,-0.0020,9.926,0.019,56.2,7.251,8.951,0.015,70.2,7.659,1,0,b'0000',b'AA',5,58760.04567209,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.020618,312.894167
293.4464927,32.9072185,b'19h33m47.16s',b'32d54m25.99s',0.0273,0.0253,-0.0059,9.950,0.016,70.0,2.859,8.941,0.013,83.3,1.645,1,0,b'0000',b'AA',10,57867.76413150,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.022794,256.247264
293.4465068,32.9072234,b'19h33m47.16s',b'32d54m26.00s',0.0264,0.0248,-0.0067,9.868,0.015,73.8,4.034,8.857,0.013,85.3,1.163,1,0,b'0000',b'AA',10,56774.59978522,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.024005,59.223825
293.4464918,32.9072201,b'19h33m47.16s',b'32d54m25.99s',0.0288,0.0280,0.0048,9.945,0.017,65.2,3.766,8.948,0.014,77.1,2.398,1,0,b'0000',b'AA',10,57501.40219153,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.02478,270.832208
293.4464994,32.9072128,b'19h33m47.16s',b'32d54m25.97s',0.0273,0.0249,-0.0051,9.976,0.017,63.9,6.666,8.979,0.013,86.4,3.516,1,0,b'0000',b'AA',5,58596.45645139,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.025898,184.002042
293.4465084,32.9072218,b'19h33m47.16s',b'32d54m26.00s',0.0286,0.0236,-0.0072,9.986,0.014,78.3,1.432,8.957,0.013,82.8,1.964,1,0,b'0000',b'AA',10,57136.89750200,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.026261,75.681624
293.4464929,32.9072151,b'19h33m47.16s',b'32d54m25.97s',0.0278,0.0295,-0.0015,9.977,0.017,62.5,5.957,8.945,0.015,74.2,3.499,1,0,b'0000',b'AA',5,57501.07455037,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.027832,230.578593
293.4464998,32.9072121,b'19h33m47.16s',b'32d54m25.96s',0.0280,0.0251,-0.0119,9.945,0.015,70.3,19.830,8.966,0.014,77.4,11.510,1,0,b'0000',b'AA',0,58760.17606601,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.028503,181.217608
293.4465059,32.9072262,b'19h33m47.16s',b'32d54m26.01s',0.0284,0.0245,-0.0066,9.961,0.014,75.5,2.608,8.967,0.013,84.7,1.145,1,0,b'0000',b'AA',10,57501.14012953,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.028503,38.622333
293.4464915,32.9072165,b'19h33m47.16s',b'32d54m25.98s',0.0262,0.0245,-0.0054,9.962,0.017,65.1,7.619,8.926,0.014,80.3,5.337,1,0,b'0000',b'AA',5,57675.33088607,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.028668,243.873992
293.4465023,32.9072120,b'19h33m47.16s',b'32d54m25.96s',0.0274,0.0256,0.0031,9.827,0.017,64.6,3.285,8.907,0.013,84.8,2.134,1,0,b'0000',b'AA',5,56775.71870529,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.029641,166.430013
293.4465034,32.9072277,b'19h33m47.16s',b'32d54m26.02s',0.0308,0.0286,0.0054,9.918,0.018,58.9,6.637,8.952,0.015,72.6,4.528,1,0,b'0000',b'AA',5,58231.99445117,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.029641,20.340296
293.4465007,32.9072290,b'19h33m47.16s',b'32d54m26.02s',0.0278,0.0277,0.0047,9.932,0.018,60.6,4.163,8.927,0.014,80.3,3.338,1,0,b'0000',b'AA',10,57868.74629021,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.032528,3.736021
293.4464896,32.9072226,b'19h33m47.16s',b'32d54m26.00s',0.0331,0.0274,-0.0128,10.008,0.019,56.3,7.027,8.968,0.016,69.8,9.276,1,0,b'0000',b'AA',5,58600.44747843,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.032817,286.58238
293.4465036,32.9072111,b'19h33m47.16s',b'32d54m25.96s',0.0317,0.0257,-0.0118,9.860,0.019,57.8,3.875,8.862,0.014,76.0,3.856,1,0,b'0000',b'AA',10,56775.52133127,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.033809,161.242828
293.4464886,32.9072201,b'19h33m47.16s',b'32d54m25.99s',0.0288,0.0260,0.0026,9.961,0.017,62.6,3.327,8.908,0.014,78.7,3.122,1,0,b'0000',b'AA',5,57868.87732116,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.034501,270.598628
293.4464884,32.9072178,b'19h33m47.16s',b'32d54m25.98s',0.0289,0.0253,-0.0089,9.955,0.016,66.3,5.526,8.936,0.015,74.5,3.117,1,0,b'0000',b'AA',5,58760.63448200,2933133301351019715,10.099,0.022,9.016,0.019,5.950,0.016,3.462,0.019,226651432,13.182,0.0327,12.293,0.0321,11.341,0.0212,0.035975,257.270515
