source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10833b185',55537.87400910,9.882,0.024,2.271,8.805,0.017,3.407,,,,,,,1.0,94,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10837b185',55538.00618600,9.963,0.031,2.524,8.848,0.023,3.604,,,,,,,1.0,52,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05099a047',55348.20725340,9.935,0.023,2.321,8.796,0.018,3.421,6.252,0.015,1.170,4.050,0.026,0.795,1.0,82,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05102a118',55348.33955710,9.889,0.019,2.250,8.789,0.020,3.442,6.261,0.016,1.212,4.068,0.029,0.773,1.0,109,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05090a118',55347.94264570,9.905,0.029,2.237,8.754,0.020,3.745,6.243,0.028,1.151,4.068,0.039,0.773,1.0,4,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05095a030',55348.07494960,9.907,0.022,2.238,8.780,0.019,3.490,,,,,,,1.0,40,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10829b185',55537.74170470,9.861,0.022,2.380,8.814,0.020,3.413,,,,,,,1.0,94,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05086a118',55347.81034190,9.914,0.028,2.248,8.788,0.021,3.449,6.212,0.014,1.287,4.054,0.027,0.787,1.0,-4,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05121a095',55348.93498800,9.974,0.031,2.638,8.808,0.022,3.407,6.227,0.020,1.184,4.073,0.038,0.773,1.0,3,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10825b185',55537.60940040,9.856,0.019,2.426,8.799,0.021,3.413,,,,,,,1.0,54,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05113a094',55348.67038040,9.905,0.024,2.237,8.811,0.018,3.410,6.260,0.017,1.211,4.090,0.031,0.788,1.0,14,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05117a095',55348.80268420,9.893,0.024,2.244,8.824,0.018,3.443,6.244,0.019,1.152,4.077,0.040,0.774,1.0,-3,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05107a040',55348.47186090,9.905,0.021,2.237,8.817,0.021,3.420,6.249,0.019,1.161,4.126,0.031,0.902,1.0,68,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05109a094',55348.53807650,9.916,0.023,2.252,8.840,0.022,3.537,6.248,0.015,1.159,4.075,0.026,0.773,1.0,47,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05099a048',55348.20738070,9.933,0.028,2.314,8.807,0.022,3.407,6.228,0.015,1.180,4.110,0.038,0.840,1.0,83,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05105a094',55348.40577270,9.904,0.024,2.236,8.784,0.018,3.470,6.227,0.017,1.185,4.060,0.026,0.779,1.0,89,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'05101a094',55348.27346890,9.933,0.023,2.314,8.796,0.029,3.421,6.229,0.016,1.175,4.033,0.029,0.844,1.0,102,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10856a160',55538.60136450,9.908,0.024,2.239,8.772,0.025,3.548,,,,,,,0.5,51,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10844a117',55538.20457890,9.872,0.024,2.313,8.815,0.020,3.415,,,,,,,1.0,7,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10848a160',55538.33688320,9.948,0.026,2.407,8.656,0.017,6.467,,,,,,,1.0,-9,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10852a093',55538.46918750,9.890,0.024,2.249,8.842,0.019,3.549,,,,,,,1.0,10,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10856a161',55538.60149180,9.860,0.024,2.387,8.878,0.027,3.978,,,,,,,1.0,51,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10845b185',55538.27079470,9.867,0.028,2.345,8.823,0.024,3.439,,,,,,,1.0,-2,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10840a161',55538.07240180,9.836,0.023,2.625,8.824,0.018,3.442,,,,,,,1.0,31,b'0000',0.461642,144.73379
b'1582m137_ac51-008183',157.9763264,-14.2809347,b'10h31m54.32s',b'-14d16m51.36s',1,0,b'0000',b'10842a093',55538.13849040,9.938,0.022,2.342,8.899,0.021,4.339,,,,,,,1.0,14,b'0000',0.461642,144.73379
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05107a040',55348.47186090,11.801,0.211,0.860,10.074,0.159,1.874,7.991,0.158,1.280,5.779,0.173,3.473,1.0,68,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05109a094',55348.53807650,11.954,0.274,0.806,10.307,0.271,1.409,8.620,0.412,1.019,5.906,0.189,3.615,1.0,47,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05102a118',55348.33955710,11.836,0.250,0.844,9.824,0.158,2.806,8.328,0.253,1.049,5.752,0.146,3.450,1.0,109,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05105a094',55348.40577270,12.457,,1.158,10.455,,1.119,9.001,,1.457,6.352,,5.782,1.0,89,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05099a048',55348.20738070,11.332,0.184,1.431,10.406,0.302,1.289,8.267,0.231,1.071,5.387,0.080,3.659,1.0,83,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05101a094',55348.27346890,12.804,,1.283,10.879,,2.047,8.318,0.238,1.052,5.159,0.162,4.619,1.0,102,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05095a030',55348.07494960,11.851,0.345,0.838,10.536,0.291,1.179,,,,,,,1.0,40,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05099a047',55348.20725340,11.511,0.180,1.115,10.520,0.297,1.191,8.903,0.432,1.059,5.736,0.126,3.439,1.0,82,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05086a118',55347.81034190,12.151,0.327,0.785,10.145,0.235,1.700,8.799,0.362,1.039,5.175,0.079,4.523,1.0,-4,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05090a118',55347.94264570,11.461,0.214,1.188,11.016,0.408,1.069,8.207,0.232,1.099,5.596,0.121,3.404,1.0,4,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10848a160',55538.33688320,11.307,0.171,1.489,9.748,0.187,3.221,,,,,,,1.0,-9,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10852a093',55538.46918750,11.484,0.205,1.152,10.792,0.242,1.079,,,,,,,1.0,10,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10844a117',55538.20457890,12.208,,1.052,11.116,,1.240,,,,,,,1.0,7,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10845b185',55538.27079470,12.178,0.348,0.785,10.626,0.349,1.130,,,,,,,1.0,-2,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10833b185',55537.87400910,12.379,,1.247,11.299,0.505,1.107,,,,,,,1.0,94,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10842a093',55538.13849040,11.879,0.221,0.828,10.772,0.265,1.083,,,,,,,1.0,14,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10837b185',55538.00618600,11.295,0.337,1.517,10.958,0.356,1.067,,,,,,,1.0,52,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10856a160',55538.60136450,11.162,0.194,1.907,10.099,0.248,1.809,,,,,,,0.5,51,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10856a161',55538.60149180,12.946,0.501,0.917,11.731,,1.995,,,,,,,1.0,51,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10829b185',55537.74170470,12.450,,1.651,10.863,,1.233,,,,,,,1.0,94,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10840a161',55538.07240180,12.442,,1.413,11.675,,1.429,,,,,,,1.0,31,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05121a095',55348.93498800,12.156,0.511,0.785,10.363,0.261,1.336,8.516,0.507,1.019,5.731,0.177,3.436,1.0,3,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'10825b185',55537.60940040,12.038,0.275,0.792,11.467,0.375,1.143,,,,,,,1.0,54,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05113a094',55348.67038040,11.892,0.275,0.823,10.212,0.237,1.564,8.271,,1.114,5.508,0.093,3.458,1.0,14,b'0000',7.221388,114.078743
b'1582m137_ac51-009436',157.9781398,-14.2816484,b'10h31m54.75s',b'-14d16m53.93s',3,0,b'dd00',b'05117a095',55348.80268420,12.116,0.483,0.786,10.133,0.219,1.727,8.395,0.274,1.032,5.605,0.166,3.403,1.0,-3,b'0000',7.221388,114.078743
