source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04121a237',55315.87554800,12.009,0.035,1.493,10.931,0.025,1.614,8.818,0.053,1.050,6.533,0.174,1.114,1.0,95,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04122a261',55315.94163650,11.990,0.027,1.674,10.974,0.026,1.262,8.870,0.058,1.030,6.293,0.138,1.147,1.0,98,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04165a237',55317.33089500,12.013,0.025,1.458,11.013,0.026,1.173,8.916,0.062,1.089,6.666,0.202,1.110,1.0,97,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09881b042',55506.37795010,12.129,0.027,1.422,11.073,0.026,1.414,,,,,,,1.0,89,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04117a237',55315.74324370,12.042,0.032,1.296,11.009,0.031,1.173,8.888,0.056,1.050,6.761,0.237,1.110,1.0,90,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04118a261',55315.80933210,12.016,0.029,1.440,10.979,0.027,1.242,8.946,0.063,1.162,6.655,0.179,1.107,1.0,92,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04157a237',55317.06628650,12.005,0.030,1.522,10.970,0.026,1.283,8.786,0.057,1.124,6.501,0.165,1.120,1.0,103,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04161a188',55317.19859080,12.012,0.024,1.466,10.985,0.025,1.217,8.809,0.048,1.066,6.529,0.186,1.113,1.0,102,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04113a237',55315.61093940,12.061,0.033,1.246,10.935,0.028,1.564,,,,,,,1.0,88,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04114a261',55315.67702790,12.011,0.028,1.474,10.951,0.026,1.418,8.877,0.058,1.033,6.455,0.143,1.118,1.0,89,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04150a260',55316.86776640,12.034,0.036,1.332,10.996,0.029,1.189,8.847,0.057,1.028,7.166,0.379,1.160,1.0,94,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04153a237',55316.93398230,11.999,0.025,1.578,10.969,0.027,1.292,8.896,0.054,1.063,6.554,0.185,1.112,1.0,97,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04111a199',55315.54472360,11.996,0.028,1.607,10.990,0.027,1.200,8.761,0.051,1.177,7.077,0.274,1.187,1.0,89,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09948a018',55508.56039450,12.061,0.029,1.244,11.053,0.030,1.282,,,,,,,1.0,88,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09925b043',55507.83291300,12.125,0.036,1.404,11.030,0.034,1.199,,,,,,,0.5,99,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04149a237',55316.80167800,12.008,0.025,1.500,11.095,0.030,1.594,8.902,0.068,1.056,7.066,0.313,1.131,1.0,91,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04113a236',55315.61081200,12.071,0.031,1.245,10.967,0.032,1.300,,,,,,,1.0,88,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04145a237',55316.66937370,12.024,0.035,1.383,10.989,0.030,1.204,8.856,0.053,1.031,6.355,0.154,1.129,1.0,89,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09940a017',55508.29578630,12.145,0.034,1.539,11.060,0.034,1.321,,,,,,,1.0,92,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09940a018',55508.29591360,12.092,0.033,1.259,11.067,0.031,1.377,,,,,,,1.0,91,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09932a018',55508.03130550,12.130,0.031,1.456,11.034,0.026,1.223,,,,,,,1.0,104,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09936a018',55508.16360960,12.086,0.031,1.259,11.095,0.028,1.596,,,,,,,1.0,99,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04146a260',55316.73546220,12.032,0.028,1.340,10.998,0.026,1.184,8.792,0.053,1.082,6.693,0.177,1.107,1.0,90,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09928a017',55507.89900140,12.098,0.029,1.276,11.083,0.035,1.496,,,,,,,1.0,102,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09929b043',55507.96521710,12.105,0.033,1.305,11.038,0.030,1.223,,,,,,,1.0,105,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09920a018',55507.63452060,12.087,0.030,1.248,11.061,0.029,1.328,,,,,,,1.0,89,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09921b042',55507.70060900,12.172,0.041,1.779,11.068,0.035,1.379,,,,,,,0.5,92,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04109a179',55315.47850600,11.992,0.039,1.647,10.967,0.025,1.301,8.883,0.061,1.043,6.392,0.129,1.134,1.0,91,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04109a180',55315.47863340,12.070,0.030,1.247,10.986,0.033,1.211,8.924,0.054,1.108,6.791,0.223,1.120,1.0,90,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09917b042',55507.56830480,12.109,0.034,1.338,11.105,0.031,1.704,,,,,,,1.0,88,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09917b043',55507.56843220,12.098,0.033,1.277,11.035,0.027,1.214,,,,,,,1.0,88,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04102a261',55315.28011340,12.016,0.028,1.435,11.017,0.032,1.174,8.853,0.052,1.028,6.429,0.171,1.121,1.0,99,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04106a261',55315.41241760,12.004,0.028,1.532,10.997,0.026,1.187,8.757,0.053,1.205,6.581,0.173,1.112,1.0,93,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09912a017',55507.36991240,12.156,0.035,1.639,11.072,0.031,1.407,,,,,,,1.0,89,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09916a018',55507.50221650,12.114,0.029,1.362,11.145,0.030,2.187,,,,,,,1.0,87,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04094a261',55315.01550480,12.046,0.028,1.285,11.012,0.028,1.172,8.814,0.052,1.052,6.741,0.251,1.124,1.0,101,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04098a261',55315.14780910,12.058,0.028,1.252,10.940,0.025,1.512,8.845,0.054,1.028,6.436,0.167,1.121,1.0,103,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09908a018',55507.23773570,12.152,0.038,1.617,11.070,0.030,1.391,,,,,,,1.0,95,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09909b042',55507.30382400,12.238,0.032,2.658,11.118,0.035,1.860,,,,,,,1.0,92,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04141a191',55316.53706940,12.027,0.029,1.367,10.971,0.024,1.278,8.860,0.055,1.030,6.465,0.151,1.117,1.0,89,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04142a260',55316.60315790,12.005,0.027,1.526,10.941,0.031,1.507,,,,,,,1.0,88,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09901b043',55507.03934320,12.143,0.035,1.535,11.037,0.025,1.217,,,,,,,1.0,104,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09905b042',55507.17152000,12.197,0.033,2.107,11.092,0.027,1.580,,,,,,,0.5,99,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04137a237',55316.40476510,12.002,0.027,1.549,10.935,0.027,1.581,8.872,0.057,1.034,6.907,0.312,1.118,1.0,93,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04139a178',55316.47085360,12.027,0.025,1.368,11.017,0.026,1.175,8.908,0.055,1.072,6.910,0.220,1.118,1.0,91,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09897b043',55506.90703910,12.090,0.028,1.268,11.081,0.030,1.475,,,,,,,1.0,102,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09900a017',55506.97312750,12.247,0.035,2.795,11.030,0.032,1.196,,,,,,,1.0,105,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04133a237',55316.27246090,11.996,0.027,1.608,10.989,0.028,1.202,8.795,0.055,1.088,6.536,0.166,1.113,1.0,100,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04134a260',55316.33854930,12.009,0.024,1.493,10.923,0.025,1.721,8.901,0.055,1.065,6.489,0.166,1.116,1.0,97,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09896a017',55506.84082340,12.130,0.042,1.438,11.051,0.029,1.271,,,,,,,1.0,99,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09896a018',55506.84095070,12.140,0.030,1.537,11.071,0.032,1.400,,,,,,,1.0,99,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04129a180',55316.14015650,12.055,0.031,1.254,10.975,0.024,1.257,8.805,0.053,1.063,6.621,0.246,1.109,1.0,104,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04131a196',55316.20624500,12.016,0.027,1.435,10.974,0.026,1.264,8.816,0.055,1.057,6.853,0.225,1.108,1.0,102,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09889b043',55506.64255830,12.150,0.042,1.623,11.063,0.025,1.347,,,,,,,1.0,90,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09893b042',55506.77473510,12.105,0.028,1.308,11.059,0.027,1.320,,,,,,,1.0,95,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04125a237',55316.00785220,12.052,0.036,1.264,10.971,0.024,1.275,8.925,0.057,1.100,6.681,0.218,1.107,1.0,101,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04126a260',55316.07394070,12.024,0.027,1.387,10.983,0.027,1.223,8.939,0.062,1.124,7.084,0.323,1.165,1.0,103,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09885b043',55506.51025420,12.168,0.031,1.766,11.048,0.032,1.256,,,,,,,1.0,87,b'0000',0.330707,341.277147
b'2091p726_ac51-062996',206.5353171,73.3481470,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09889b042',55506.64243090,12.090,0.034,1.260,11.050,0.031,1.269,,,,,,,1.0,90,b'0000',0.330707,341.277147
b'2043p726_ac51-049722',206.5353221,73.3481476,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04146a260',55316.73546220,12.032,0.028,1.355,10.998,0.026,1.180,8.785,0.053,1.097,6.650,0.170,1.115,1.0,90,b'0000',0.331135,342.242408
b'2043p726_ac51-049722',206.5353221,73.3481476,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04149a237',55316.80167800,12.009,0.025,1.504,11.095,0.030,1.596,8.906,0.056,1.061,7.120,0.318,1.146,1.0,91,b'0000',0.331135,342.242408
b'2043p726_ac51-049722',206.5353221,73.3481476,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09889b043',55506.64255830,12.153,0.042,1.670,11.063,0.025,1.346,,,,,,,1.0,90,b'0000',0.331135,342.242408
b'2043p726_ac51-049722',206.5353221,73.3481476,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'09893b042',55506.77473510,12.094,0.028,1.295,11.059,0.027,1.317,,,,,,,1.0,95,b'0000',0.331135,342.242408
b'2043p726_ac51-049722',206.5353221,73.3481476,b'13h46m08.48s',b'73d20m53.33s',2,0,b'0000',b'04145a237',55316.66937370,12.016,0.034,1.451,10.989,0.030,1.204,8.854,0.053,1.036,6.346,0.155,1.142,1.0,89,b'0000',0.331135,342.242408
