ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
8.5696283,-79.0890024,b'00h34m16.71s',b'-79d05m20.41s',0.0282,0.0305,0.0034,10.280,0.019,58.5,6.524,9.244,0.014,75.8,8.796,1,0,b'0000',b'AA',0,57859.60137545,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.176216,92.810392
8.5697336,-79.0889910,b'00h34m16.74s',b'-79d05m20.37s',0.0299,0.0276,0.0138,10.342,0.015,70.5,4.002,9.243,0.014,77.2,3.022,1,0,b'0000',b'AA',10,58225.40661638,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.249869,82.549945
8.5696920,-79.0889579,b'00h34m16.73s',b'-79d05m20.25s',0.0283,0.0267,0.0070,10.314,0.015,70.5,5.755,9.179,0.015,73.3,3.208,1,0,b'0000',b'AA',10,58225.93010317,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.266677,55.365956
8.5697523,-79.0889811,b'00h34m16.74s',b'-79d05m20.33s',0.0285,0.0272,0.0136,10.275,0.015,71.3,1.212,9.229,0.014,80.3,1.072,1,0,b'0000',b'AA',10,57857.83341281,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.26925,75.362552
8.5697304,-79.0889614,b'00h34m16.74s',b'-79d05m20.26s',0.0287,0.0290,0.0055,10.325,0.017,63.7,2.180,9.232,0.015,74.0,3.027,1,0,b'0000',b'AA',5,57130.35511198,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.282168,60.497582
8.5697881,-79.0889716,b'00h34m16.75s',b'-79d05m20.30s',0.0292,0.0304,0.0022,10.382,0.018,58.8,7.230,9.276,0.014,79.1,7.386,1,0,b'0000',b'AA',5,57495.39539693,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.302697,70.259226
8.5697536,-79.0889576,b'00h34m16.74s',b'-79d05m20.25s',0.0300,0.0307,0.0139,10.318,0.017,64.4,5.813,9.227,0.016,69.0,6.043,1,0,b'0000',b'AA',5,57858.75012005,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.302697,59.717572
8.5697741,-79.0889650,b'00h34m16.75s',b'-79d05m20.27s',0.0298,0.0296,0.0132,10.265,0.016,69.0,2.315,9.227,0.015,70.3,4.304,1,0,b'0000',b'AA',10,58953.36281019,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.302822,65.412431
8.5697572,-79.0889569,b'00h34m16.74s',b'-79d05m20.24s',0.0291,0.0296,0.0142,10.290,0.016,69.2,1.935,9.227,0.015,72.4,1.358,1,0,b'0000',b'AA',10,57858.29170279,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.306096,59.541784
8.5698266,-79.0889909,b'00h34m16.76s',b'-79d05m20.37s',0.0322,0.0292,0.0159,10.336,0.016,70.0,2.165,9.225,0.017,65.8,2.680,1,0,b'0000',b'AA',10,58589.60948726,72078801351020729,10.395,0.023,9.282,0.020,6.465,0.015,4.353,0.028,718346490,13.542,0.0480,12.763,0.0438,11.889,0.0343,0.312857,83.989637
