ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
29.2957031,47.2663837,b'01h57m10.97s',b'47d15m58.98s',0.0419,0.0405,-0.0148,11.318,0.024,45.6,37.330,10.847,0.024,45.8,2.412,1,0,b'0000',b'AA',10,58862.74067108,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.19405,355.016799
29.2956353,47.2663762,b'01h57m10.95s',b'47d15m58.95s',0.0415,0.0367,-0.0121,11.531,0.018,59.9,66.380,10.742,0.020,55.6,16.100,1,0,b'0000',b'AA',0,56689.50898747,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.246903,312.346344
29.2956360,47.2664058,b'01h57m10.95s',b'47d15m59.06s',0.0540,0.0525,-0.0249,11.785,0.022,48.7,10.070,11.102,0.029,36.8,3.588,1,0,b'0000',b'AA',10,59067.84840441,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.327333,326.476484
29.2956062,47.2663919,b'01h57m10.95s',b'47d15m59.01s',0.0442,0.0417,-0.0057,11.584,0.020,54.3,55.540,11.038,0.026,41.0,21.360,1,0,b'0000',b'AA',0,58496.07900306,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.337577,311.308726
29.2956642,47.2664298,b'01h57m10.96s',b'47d15m59.15s',0.0429,0.0376,-0.0124,11.631,0.017,62.9,19.870,11.022,0.023,47.2,1.987,1,0,b'0000',b'AA',10,57052.36639895,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.376298,342.702519
29.2956592,47.2664295,b'01h57m10.96s',b'47d15m59.15s',0.0383,0.0348,-0.0122,11.465,0.017,63.1,17.430,10.899,0.022,49.3,3.160,1,0,b'0000',b'AA',10,57243.52558453,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.379087,340.891048
29.2955983,47.2664033,b'01h57m10.94s',b'47d15m59.05s',0.0451,0.0390,-0.0123,11.430,0.023,47.5,14.360,10.805,0.022,48.8,3.292,1,0,b'0000',b'AA',10,58496.20939715,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.379597,314.039962
29.2955900,47.2663980,b'01h57m10.94s',b'47d15m59.03s',0.0407,0.0354,0.0071,11.271,0.020,53.5,11.700,10.656,0.019,57.1,3.000,1,0,b'0000',b'AA',10,57412.37891611,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.381917,309.864074
29.2956268,47.2664200,b'01h57m10.95s',b'47d15m59.11s',0.0472,0.0474,-0.0154,11.500,0.024,45.3,9.229,10.871,0.024,45.6,2.182,1,0,b'0000',b'AA',10,58703.54372067,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.382473,327.899178
29.2956559,47.2664302,b'01h57m10.96s',b'47d15m59.15s',0.0482,0.0407,0.0038,11.676,0.019,56.1,15.320,10.992,0.028,38.9,2.292,1,0,b'0000',b'AA',10,57049.47582183,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.384174,339.877951
29.2956625,47.2664327,b'01h57m10.96s',b'47d15m59.16s',0.0540,0.0424,-0.0162,11.571,0.024,44.5,12.490,10.874,0.023,48.1,3.121,1,0,b'0000',b'AA',10,58862.80599550,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.387503,342.575214
29.2957401,47.2664360,b'01h57m10.98s',b'47d15m59.17s',0.0411,0.0394,-0.0101,11.511,0.022,49.8,13.990,10.855,0.021,52.0,1.923,1,0,b'0000',b'AA',10,58862.74054370,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.388623,10.906868
29.2956475,47.2664307,b'01h57m10.96s',b'47d15m59.15s',0.0420,0.0418,-0.0086,11.488,0.022,48.5,14.930,10.857,0.022,50.1,2.233,1,0,b'0000',b'AA',10,58862.93677167,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.393359,337.160606
29.2956471,47.2664312,b'01h57m10.96s',b'47d15m59.15s',0.0437,0.0419,-0.0159,11.686,0.020,54.7,19.270,11.041,0.025,42.7,5.409,1,0,b'0000',b'AA',5,58339.77334534,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.395395,337.131352
29.2956814,47.2664392,b'01h57m10.96s',b'47d15m59.18s',0.0443,0.0410,-0.0146,11.510,0.021,52.1,10.900,10.852,0.023,47.1,2.614,1,0,b'0000',b'AA',10,57774.23328507,283146901351050121,10.813,0.025,10.057,0.025,7.598,0.021,5.734,0.045,459180062,13.665,0.0446,12.938,0.0565,12.072,0.0347,0.399282,349.92228
