source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03767a037',55304.14974460,12.547,0.032,14.390,11.898,0.040,3.222,9.340,0.089,1.187,6.833,0.226,0.994,1.0,71,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03767a036',55304.14961730,12.581,0.034,14.140,11.936,0.036,3.159,9.139,0.070,1.170,7.029,0.235,0.976,1.0,71,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03770a117',55304.28204890,12.625,0.032,14.010,11.856,0.033,3.437,9.090,0.070,1.268,6.697,0.180,1.054,1.0,113,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03769a093',55304.21583310,12.717,0.031,14.350,11.989,0.034,3.254,9.309,0.076,1.148,7.079,0.251,0.981,1.0,93,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03775a040',55304.41435310,12.668,0.033,14.070,11.939,0.034,3.159,9.324,0.081,1.166,6.721,0.185,1.039,1.0,91,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03773a093',55304.34813730,12.672,0.029,14.090,11.969,0.037,3.195,9.229,0.084,1.105,7.267,0.314,1.021,1.0,112,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03781a093',55304.61274570,12.613,0.032,14.030,11.884,0.037,3.277,9.258,0.075,1.111,7.107,0.303,0.984,1.0,33,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03777a037',55304.48044150,12.643,0.029,14.020,11.910,0.041,3.190,9.304,0.085,1.143,7.003,0.250,0.975,1.0,70,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03789a093',55304.87735410,12.540,0.035,14.470,11.921,0.038,3.169,,,,6.744,0.219,1.028,1.0,8,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03785a093',55304.74505000,12.602,0.029,14.050,11.914,0.035,3.181,9.124,0.069,1.195,6.908,0.207,0.979,1.0,17,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'09537b186',55495.01928310,12.604,0.028,14.050,11.979,0.039,3.221,,,,,,,1.0,56,b'0000',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03890a122',55308.25130230,12.564,0.030,14.250,,,,9.219,0.078,1.106,6.657,0.183,1.082,1.0,103,b'0111',0.283254,194.422035
b'1210m016_ac51-046113',121.2207704,-1.1466362,b'08h04m52.98s',b'-01d08m47.89s',1,0,b'0000',b'03750a117',55303.62040050,12.640,0.033,14.010,11.921,0.036,3.170,9.243,0.078,1.106,7.203,0.284,1.004,1.0,32,b'0000',0.283254,194.422035
