source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01746a206',55237.33670110,11.886,0.023,5.813,10.912,0.024,1.449,8.052,0.032,1.313,5.497,0.085,0.921,1.0,122,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01749a183',55237.40291690,11.853,0.029,5.789,10.911,0.026,1.455,8.012,0.035,1.237,5.457,0.085,0.940,1.0,108,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01742a207',55237.20439700,11.839,0.023,5.822,10.967,0.027,1.269,8.064,0.037,1.357,5.485,0.065,0.924,1.0,113,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01745a182',55237.27048540,11.796,0.027,6.099,10.881,0.026,1.730,7.974,0.036,1.278,5.450,0.063,0.947,1.0,127,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01738a207',55237.07209280,11.810,0.027,5.979,10.930,0.024,1.343,7.966,0.036,1.302,5.531,0.075,0.925,1.0,84,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01741a129',55237.13818120,11.878,0.033,5.795,10.936,0.034,1.318,8.037,0.031,1.272,5.450,0.071,0.947,1.0,98,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01734a206',55236.93966130,11.815,0.025,5.946,10.936,0.023,1.321,8.028,0.037,1.254,5.610,0.087,0.998,1.0,63,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'01737a183',55237.00587700,11.865,0.025,5.782,10.930,0.023,1.345,8.008,0.031,1.235,5.574,0.073,0.955,1.0,73,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'07508a072',55427.87950570,11.924,0.036,5.999,11.034,0.027,1.552,,,,,,,1.0,125,b'0000',0.083384,49.966993
b'0419p530_ac51-058716',41.0124898,53.4745149,b'02h44m03.00s',b'53d28m28.25s',1,0,b'0000',b'07512a072',55428.01180990,11.898,0.033,5.856,10.994,0.037,1.322,,,,,,,1.0,99,b'0000',0.083384,49.966993
