source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04610a259',55332.08311880,11.066,0.032,3.078,10.067,0.023,1.791,7.348,0.024,1.360,5.489,0.061,1.014,1.0,102,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04610a260',55332.08324620,11.113,0.029,2.915,10.065,0.025,1.806,7.337,0.026,1.356,5.374,0.064,0.972,1.0,102,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04586a259',55331.28929480,11.121,0.027,2.921,10.105,0.024,1.598,7.303,0.026,1.468,5.366,0.055,0.979,1.0,102,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04586a260',55331.28942210,11.132,0.026,2.945,10.058,0.023,1.872,7.323,0.028,1.378,5.395,0.071,0.959,1.0,101,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10396a019',55523.37414240,11.088,0.022,2.961,10.070,0.018,1.763,,,,,,,1.0,85,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10557b037',55528.73087410,11.064,0.027,3.095,10.178,0.028,1.917,,,,,,,1.0,96,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04583a184',55331.15711820,11.087,0.027,2.961,10.066,0.026,1.800,7.324,0.022,1.375,5.495,0.070,1.023,1.0,105,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04585a196',55331.22320650,11.106,0.024,2.918,10.102,0.028,1.604,7.331,0.021,1.361,5.437,0.063,0.962,1.0,104,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10373b044',55522.64666010,11.100,0.021,2.927,10.171,0.024,1.853,,,,,,,1.0,90,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10376a018',55522.71274850,11.186,0.032,3.286,10.120,0.024,1.594,,,,,,,1.0,94,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10385b043',55523.04344540,11.136,0.025,2.956,10.161,0.018,1.768,,,,,,,1.0,104,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10392a018',55523.24183810,11.175,0.028,3.186,10.123,0.021,1.597,,,,,,,1.0,91,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04581a171',55331.09090260,11.103,0.022,2.921,10.088,0.018,1.653,7.365,0.023,1.402,5.546,0.091,1.124,1.0,103,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04583a183',55331.15699080,11.112,0.028,2.915,10.059,0.023,1.861,7.325,0.023,1.374,5.411,0.057,0.956,1.0,105,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10365b044',55522.38217900,11.111,0.025,2.915,10.248,0.025,2.940,,,,,,,1.0,85,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10372a019',55522.58057160,11.135,0.025,2.952,10.191,0.025,2.057,,,,,,,1.0,87,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10381b044',55522.91126860,11.155,0.026,3.043,10.131,0.029,1.613,,,,,,,1.0,107,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10384a019',55522.97735700,11.123,0.023,2.924,10.172,0.025,1.862,,,,,,,1.0,107,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04629a236',55332.67855030,11.080,0.023,2.993,10.154,0.023,1.720,7.369,0.027,1.417,5.385,0.071,0.964,1.0,87,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'04633a236',55332.81085430,11.136,0.021,2.956,10.124,0.022,1.598,7.365,0.022,1.403,5.292,0.071,1.127,1.0,89,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10361b044',55522.24987470,11.110,0.022,2.916,10.151,0.027,1.702,,,,,,,1.0,91,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10364a018',55522.31596320,11.135,0.027,2.951,10.110,0.023,1.592,,,,,,,1.0,88,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10380a019',55522.84505280,11.125,0.026,2.928,10.095,0.022,1.622,,,,,,,1.0,103,b'0000',0.316997,152.352793
b'2136p681_ac51-029091',214.7079994,68.0692920,b'14h18m49.92s',b'68d04m09.45s',1,0,b'0000',b'10381b043',55522.91114120,11.098,0.036,2.929,10.141,0.023,1.652,,,,,,,1.0,106,b'0000',0.316997,152.352793
