ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
214.7079310,68.0693506,b'14h18m49.90s',b'68d04m09.66s',0.0320,0.0327,0.0075,11.197,0.016,65.9,38.240,10.253,0.016,66.4,12.240,1,0,b'0000',b'AA',0,56797.35939105,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.088975,141.715185
214.7079566,68.0693356,b'14h18m49.91s',b'68d04m09.61s',0.0326,0.0353,0.0095,11.190,0.018,61.1,9.166,10.245,0.018,60.4,3.986,1,0,b'0000',b'AA',5,56796.10918847,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.152816,144.129938
214.7079479,68.0693314,b'14h18m49.91s',b'68d04m09.59s',0.0307,0.0330,0.0101,11.189,0.018,60.9,22.790,10.249,0.016,70.0,8.936,1,0,b'0000',b'AA',5,56796.56976903,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.159294,150.741286
214.7079686,68.0693300,b'14h18m49.91s',b'68d04m09.59s',0.0344,0.0344,0.0103,11.292,0.018,61.9,5.783,10.301,0.020,54.4,1.553,1,0,b'0000',b'AA',5,57155.00216565,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.178612,143.72516
214.7080090,68.0693434,b'14h18m49.92s',b'68d04m09.64s',0.0355,0.0332,0.0073,11.083,0.021,52.4,14.560,10.015,0.017,64.1,6.009,1,0,b'0000',b'AA',5,58966.80281988,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.186478,120.900382
214.7079895,68.0693302,b'14h18m49.92s',b'68d04m09.59s',0.0323,0.0357,0.0111,11.333,0.017,62.2,24.280,10.322,0.017,65.0,5.043,1,0,b'0000',b'AA',5,57156.24905807,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.196036,136.963351
214.7080361,68.0693582,b'14h18m49.93s',b'68d04m09.69s',0.0333,0.0394,0.0068,11.197,0.021,50.8,3.039,10.215,0.018,61.8,1.948,1,0,b'0000',b'AA',10,57349.38242983,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.200985,102.202355
214.7080000,68.0693317,b'14h18m49.92s',b'68d04m09.59s',0.0336,0.0338,0.0034,11.303,0.019,58.3,6.501,10.302,0.017,63.0,1.640,1,0,b'0000',b'AA',10,57155.59275866,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.202204,132.991931
214.7080358,68.0693556,b'14h18m49.93s',b'68d04m09.68s',0.0319,0.0350,0.0101,11.109,0.019,56.1,88.840,10.205,0.015,70.3,53.910,1,0,b'0000',b'AA',0,58811.53716398,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.202763,104.81237
214.7079443,68.0693148,b'14h18m49.91s',b'68d04m09.53s',0.0345,0.0363,-0.0010,11.074,0.023,48.1,3.815,10.191,0.018,59.2,1.675,1,0,b'0000',b'AA',10,57514.16973919,2136168101351029091,11.112,0.023,10.114,0.020,7.340,0.016,5.412,0.030,687603055,14.730,0.0565,13.582,0.0520,12.599,0.0400,0.211698,159.826906
