source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'08834a185',55471.77338530,10.506,0.033,6.399,9.605,0.026,1.709,,,,,,,1.0,10,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'08833a160',55471.70716960,10.500,0.028,6.373,9.561,0.022,1.670,,,,,,,0.5,19,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'08849a160',55472.23625820,10.487,0.025,6.326,9.629,0.025,1.856,,,,,,,0.5,97,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'08837a160',55471.83947360,10.533,0.032,6.568,9.606,0.024,1.716,,,,,,,1.0,4,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'08841a161',55471.97177760,10.458,0.025,6.306,9.545,0.019,1.736,,,,,,,0.5,19,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'08845a121',55472.10395430,10.415,0.026,6.478,9.587,0.029,1.657,,,,,,,1.0,54,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'08838a184',55471.90556190,10.567,0.031,6.889,9.573,0.023,1.650,,,,,,,1.0,7,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'03336a094',55289.89259770,10.379,0.025,6.835,9.561,0.025,1.669,7.405,0.032,0.599,5.108,0.072,0.965,1.0,96,b'0011',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'03329b119',55289.69407790,10.588,0.032,7.151,9.600,0.018,1.690,7.394,0.027,0.605,5.221,0.051,0.947,1.0,84,b'0000',0.663311,80.030031
b'2828m016_ac51-050530',283.4520115,-1.0415881,b'18h53m48.48s',b'-01d02m29.72s',1,0,b'dd00',b'03420a091',55292.67123760,10.446,0.028,6.327,9.608,0.023,1.723,7.422,0.035,0.608,5.175,0.056,0.919,1.0,77,b'0111',0.663311,80.030031
