ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
283.4519344,-1.0416201,b'18h53m48.46s',b'-01d02m29.83s',0.0406,0.0374,-0.0060,10.631,0.021,51.7,6.146,9.786,0.017,64.0,3.785,1,0,b'hh00',b'AA',5,57846.81675269,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.375783,90.054891
283.4519466,-1.0415966,b'18h53m48.47s',b'-01d02m29.75s',0.0378,0.0367,-0.0170,10.607,0.019,55.8,7.248,9.607,0.017,64.2,5.513,1,0,b'hh00',b'AA',0,59107.38931395,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.428057,78.650448
283.4519467,-1.0415909,b'18h53m48.47s',b'-01d02m29.73s',0.0350,0.0323,-0.0074,10.623,0.022,49.5,5.716,9.611,0.016,66.5,3.453,1,0,b'hh00',b'AA',5,58376.06830832,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.432917,75.996196
283.4519504,-1.0416303,b'18h53m48.47s',b'-01d02m29.87s',0.0400,0.0370,-0.0150,10.574,0.021,50.6,2.253,9.649,0.016,67.6,1.883,1,0,b'hh00',b'AA',5,58375.61014667,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.434953,94.890449
283.4519515,-1.0415971,b'18h53m48.47s',b'-01d02m29.75s',0.0369,0.0326,-0.0125,10.549,0.020,53.1,4.983,9.626,0.016,68.3,0.998,1,0,b'hh00',b'AA',5,58376.06818101,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.445033,79.324535
283.4519548,-1.0415854,b'18h53m48.47s',b'-01d02m29.71s',0.0409,0.0390,-0.0119,10.606,0.023,47.0,5.224,9.674,0.017,63.2,5.039,1,0,b'hh00',b'AA',0,58216.42495201,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.466153,74.50187
283.4519637,-1.0416137,b'18h53m48.47s',b'-01d02m29.81s',0.0381,0.0356,-0.0164,10.592,0.019,56.1,6.875,9.676,0.016,66.7,2.681,1,0,b'hh00',b'AA',5,58015.11872123,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.481779,87.30175
283.4519654,-1.0416140,b'18h53m48.47s',b'-01d02m29.81s',0.0393,0.0351,-0.0115,10.549,0.019,56.3,3.341,9.632,0.016,66.9,3.036,1,0,b'hh00',b'AA',5,59106.93153484,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.487839,87.462286
283.4519274,-1.0417253,b'18h53m48.46s',b'-01d02m30.21s',0.0385,0.0391,-0.0086,10.646,0.025,43.9,23.570,9.646,0.017,63.3,37.740,1,0,b'hh00',b'AA',0,58943.34106289,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.516344,137.236629
283.4519728,-1.0416001,b'18h53m48.47s',b'-01d02m29.76s',0.0367,0.0349,-0.0073,10.533,0.021,51.6,3.237,9.633,0.015,71.4,1.707,1,0,b'hh00',b'AA',5,58375.67559825,2828001601351050530,10.460,0.025,9.577,0.022,7.403,0.030,5.168,0.036,418018381,14.166,,14.002,0.0506,12.502,0.0519,0.518963,82.065303
