ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
115.7556962,80.4405611,b'07h43m01.37s',b'80d26m26.02s',0.0467,0.0527,-0.0115,12.445,0.027,39.9,1.769,11.336,0.026,41.9,0.714,1,0,b'0000',b'AA',10,58548.22958402,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.009221,295.639949
115.7556934,80.4405605,b'07h43m01.37s',b'80d26m26.02s',0.0444,0.0489,-0.0167,12.184,0.023,48.0,0.981,11.163,0.023,46.9,0.847,1,0,b'0000',b'AA',10,57101.30164329,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.010194,280.280075
115.7557330,80.4405586,b'07h43m01.38s',b'80d26m26.01s',0.0486,0.0506,-0.0045,12.138,0.031,35.4,0.601,11.175,0.023,47.4,0.925,1,0,b'0000',b'AA',10,57100.90765965,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.01474,110.129287
115.7556942,80.4405634,b'07h43m01.37s',b'80d26m26.03s',0.0450,0.0486,-0.0169,12.220,0.022,49.7,1.284,11.188,0.022,48.5,1.007,1,0,b'0000',b'AA',10,57460.36548660,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.015368,322.341194
115.7557421,80.4405594,b'07h43m01.38s',b'80d26m26.01s',0.0435,0.0524,-0.0156,12.206,0.023,47.4,1.874,11.190,0.022,50.1,1.694,1,0,b'0000',b'AA',10,57460.69312795,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.019195,96.421713
115.7557114,80.4405543,b'07h43m01.37s',b'80d26m26.00s',0.0446,0.0453,-0.0158,12.165,0.021,51.3,1.605,11.149,0.023,47.3,1.017,1,0,b'0000',b'AA',5,57101.03907249,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.020618,177.664239
115.7556877,80.4405548,b'07h43m01.37s',b'80d26m26.00s',0.0538,0.0594,0.0019,12.609,0.029,37.7,1.257,11.442,0.031,35.4,1.134,1,0,b'0000',b'AA',10,58912.38888947,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.023001,215.458026
115.7557495,80.4405580,b'07h43m01.38s',b'80d26m26.01s',0.0489,0.0515,0.0076,12.192,0.026,42.1,0.899,11.200,0.023,47.3,0.801,1,0,b'0000',b'AA',10,57459.77552811,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.02478,106.955796
115.7557429,80.4405547,b'07h43m01.38s',b'80d26m26.00s',0.0498,0.0535,0.0143,12.323,0.027,40.9,1.529,11.256,0.025,43.5,1.034,1,0,b'0000',b'AA',10,58183.74841270,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.027319,134.12852
115.7556817,80.4405665,b'07h43m01.36s',b'80d26m26.04s',0.0498,0.0550,-0.0222,12.423,0.023,46.7,1.872,11.303,0.028,38.7,0.623,1,0,b'0000',b'AA',10,58548.94917203,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.028833,324.131351
115.7557396,80.4405666,b'07h43m01.38s',b'80d26m26.04s',0.0477,0.0536,-0.0106,12.416,0.025,42.6,1.688,11.339,0.024,44.4,0.428,1,0,b'0000',b'AA',10,58547.70609061,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.029641,36.67879
115.7557529,80.4405542,b'07h43m01.38s',b'80d26m26.00s',0.0438,0.0496,-0.0108,12.369,0.023,48.2,1.434,11.268,0.023,47.4,0.995,1,0,b'0000',b'AA',10,58184.14112556,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.033104,129.148999
115.7556534,80.4405600,b'07h43m01.36s',b'80d26m26.02s',0.0512,0.0552,-0.0220,12.428,0.023,46.4,1.952,11.365,0.028,38.2,0.789,1,0,b'0000',b'AA',10,58548.75294382,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.033809,270.000028
115.7557504,80.4405667,b'07h43m01.38s',b'80d26m26.04s',0.0525,0.0562,-0.0161,12.586,0.024,45.4,1.936,11.454,0.028,38.2,0.807,1,0,b'0000',b'AA',10,58915.85464934,1171180201351042782,12.382,0.023,11.335,0.020,8.378,0.020,6.013,0.038,568194122,15.529,0.0656,14.732,0.0688,13.704,0.0542,0.034088,45.039523
