source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04505a117',55328.56338140,11.154,0.024,1.811,10.211,0.022,1.532,7.642,0.030,0.756,5.483,0.083,0.823,1.0,51,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04497a117',55328.29877320,11.135,0.027,1.751,10.236,0.025,1.561,7.622,0.033,0.802,5.345,0.062,0.788,1.0,125,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10241b161',55518.29551250,11.078,0.033,1.885,10.135,0.022,2.113,,,,,,,0.5,16,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04509a117',55328.69568550,11.173,0.033,1.920,10.237,0.025,1.561,7.645,0.029,0.752,5.328,0.057,0.809,1.0,32,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10246a118',55518.42781660,11.080,0.022,1.872,10.219,0.025,1.530,,,,,,,1.0,19,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10241b163',55518.29563980,11.115,0.023,1.742,10.160,0.025,1.806,,,,,,,1.0,16,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10253b162',55518.69243120,11.081,0.024,1.866,10.185,0.020,1.612,,,,,,,1.0,87,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10249b162',55518.56012700,11.097,0.024,1.786,10.179,0.024,1.649,,,,,,,1.0,46,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10257b162',55518.82460810,11.096,0.026,1.788,10.213,0.021,1.531,,,,,,,1.0,123,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10256a137',55518.75851970,11.086,0.025,1.836,10.208,0.023,1.536,,,,,,,1.0,109,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10264a137',55519.02300080,11.088,0.023,1.826,10.203,0.022,1.545,,,,,,,1.0,61,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10260a137',55518.89082390,11.119,0.026,1.740,10.250,0.022,1.615,,,,,,,1.0,102,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10272a137',55519.28760930,11.101,0.029,1.772,10.257,0.029,1.654,,,,,,,1.0,17,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'10268a083',55519.15530500,11.055,0.022,2.083,10.276,0.024,1.800,,,,,,,1.0,34,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04478a142',55327.70346760,11.166,0.026,1.871,10.226,0.032,1.537,7.667,0.026,0.757,5.431,0.070,0.771,1.0,32,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04474a142',55327.57116350,11.161,0.030,1.843,10.223,0.026,1.532,7.632,0.030,0.774,5.284,0.073,0.895,1.0,50,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04486a142',55327.96807650,11.157,0.025,1.822,10.227,0.021,1.538,7.666,0.028,0.755,5.364,0.074,0.773,1.0,30,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04482a142',55327.83577240,11.139,0.026,1.759,10.212,0.022,1.532,7.604,0.032,0.879,5.318,0.065,0.824,1.0,18,b'0000',0.397836,309.976706
b'1464p075_ac51-026144',146.9380946,7.4223910,b'09h47m45.14s',b'07d25m20.61s',1,0,b'0000',b'04491a065',55328.10038070,11.158,0.025,1.829,10.238,0.027,1.566,7.662,0.032,0.752,5.422,0.072,0.767,1.0,62,b'0000',0.397836,309.976706
