source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07085a189',55413.90327020,11.517,0.025,1.022,10.417,0.030,1.210,8.117,0.033,1.060,5.844,0.082,0.938,1.0,30,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07086a212',55413.96935850,11.491,0.033,0.977,10.402,0.024,1.317,8.142,0.036,1.026,5.849,0.080,0.939,1.0,39,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07081a189',55413.77096630,11.562,0.024,1.317,10.471,0.021,1.145,8.114,0.035,1.068,5.599,0.076,1.289,1.0,31,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07082a213',55413.83718190,11.513,0.027,1.010,10.428,0.021,1.157,8.148,0.040,1.024,5.792,0.086,0.945,1.0,29,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07074a213',55413.57257420,11.523,0.027,1.044,10.453,0.025,1.114,8.185,0.036,1.071,5.753,0.085,0.971,1.0,57,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07078a213',55413.70487800,11.485,0.026,0.981,10.522,0.025,1.495,8.124,0.036,1.045,5.650,0.079,1.141,1.0,41,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07066a213',55413.30796310,11.531,0.026,1.086,10.513,0.026,1.407,8.125,0.034,1.044,5.740,0.112,0.984,1.0,130,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'07071a145',55413.44026690,11.495,0.025,0.977,10.469,0.033,1.141,8.129,0.039,1.037,5.730,0.075,0.995,1.0,90,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'01708a064',55236.03276020,11.481,0.028,0.985,10.442,0.028,1.121,8.156,0.039,1.027,5.758,0.102,0.966,1.0,69,b'0000',0.046104,10.091703
b'2373p212_ac51-015428',236.9314124,20.8712926,b'15h47m43.54s',b'20d52m16.65s',1,0,b'0000',b'01712a064',55236.16506440,11.492,0.029,0.977,10.447,0.028,1.115,8.170,0.037,1.040,5.776,0.096,0.953,1.0,48,b'0000',0.046104,10.091703
