ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
298.0658550,2.5067174,b'19h52m15.81s',b'02d30m24.18s',0.0375,0.0394,-0.0114,11.287,0.021,52.8,20.960,10.250,0.019,55.8,2.277,1,0,b'0000',b'AA',10,56771.90695924,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.054724,260.157202
298.0658529,2.5067297,b'19h52m15.80s',b'02d30m24.23s',0.0331,0.0362,-0.0066,11.263,0.020,53.5,16.990,10.252,0.017,64.7,2.309,1,0,b'0000',b'AA',10,56951.67500670,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.070692,299.587685
298.0658495,2.5067107,b'19h52m15.80s',b'02d30m24.16s',0.0377,0.0345,-0.0080,11.172,0.017,65.1,20.070,10.141,0.020,55.2,1.590,1,0,b'0000',b'AA',10,57310.34434705,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.08097,245.577531
298.0658467,2.5067153,b'19h52m15.80s',b'02d30m24.18s',0.0385,0.0348,-0.0051,11.151,0.021,51.3,11.830,10.169,0.017,63.5,3.084,1,0,b'0000',b'AA',10,57309.95074487,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.08551,258.584884
298.0658519,2.5067356,b'19h52m15.80s',b'02d30m24.25s',0.0359,0.0359,-0.0087,11.031,0.023,47.5,16.660,10.031,0.017,65.0,5.440,1,0,b'0000',b'AA',10,57865.47803016,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.085951,310.784471
298.0658553,2.5067397,b'19h52m15.81s',b'02d30m24.26s',0.0356,0.0366,-0.0134,11.083,0.019,56.1,13.420,10.053,0.019,56.4,3.631,1,0,b'0000',b'AA',10,57669.36405999,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.088442,323.29625
298.0658562,2.5066996,b'19h52m15.81s',b'02d30m24.12s',0.0366,0.0336,-0.0190,11.041,0.018,60.1,22.180,9.944,0.017,62.6,4.935,1,0,b'0000',b'AA',5,58032.40217677,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.088656,214.051744
298.0658426,2.5067332,b'19h52m15.80s',b'02d30m24.24s',0.0393,0.0346,-0.0173,11.065,0.017,62.4,21.060,10.029,0.018,58.9,3.476,1,0,b'0000',b'AA',5,57862.07326344,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.109404,295.743982
298.0658507,2.5067440,b'19h52m15.80s',b'02d30m24.28s',0.0346,0.0343,0.0051,11.251,0.019,57.9,17.460,10.220,0.019,57.8,2.541,1,0,b'0000',b'AA',10,57134.01507256,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.11082,321.221704
298.0658391,2.5067265,b'19h52m15.80s',b'02d30m24.22s',0.0367,0.0363,-0.0131,11.285,0.021,52.8,18.840,10.233,0.017,62.0,1.477,1,0,b'0000',b'AA',10,56951.34622027,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.113556,281.890368
298.0658430,2.5067030,b'19h52m15.80s',b'02d30m24.13s',0.0348,0.0331,-0.0103,10.936,0.017,65.3,15.550,9.890,0.017,64.6,2.939,1,0,b'0000',b'AA',10,58757.88143810,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.114797,237.77953
298.0658397,2.5067385,b'19h52m15.80s',b'02d30m24.26s',0.0345,0.0361,-0.0082,11.087,0.019,58.4,13.690,10.094,0.018,61.0,1.651,1,0,b'0000',b'AA',10,57497.80374082,2979103001351005723,11.198,0.034,10.053,0.022,6.467,0.015,3.957,0.029,1159938377,14.210,0.0933,13.371,0.1024,12.705,0.0664,0.12773,301.431016
