ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
265.5290213,18.4558210,b'17h42m06.97s',b'18d27m20.96s',0.0519,0.0544,-0.0105,12.460,0.024,44.6,1.460,11.481,0.027,40.3,0.927,1,0,b'0000',b'AA',10,56733.19466280,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.320155,335.619743
265.5289949,18.4558054,b'17h42m06.96s',b'18d27m20.90s',0.0499,0.0488,-0.0109,12.379,0.023,48.0,0.485,11.398,0.025,43.2,1.000,1,0,b'0000',b'AA',10,57273.87827800,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.323808,316.643474
265.5289835,18.4558120,b'17h42m06.96s',b'18d27m20.92s',0.0501,0.0629,-0.0176,12.199,0.025,43.4,2.016,11.342,0.034,31.8,0.893,1,0,b'0000',b'AA',5,58557.53367571,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.36801,314.775898
265.5289785,18.4558073,b'17h42m06.95s',b'18d27m20.91s',0.0491,0.0479,-0.0204,12.188,0.022,49.2,1.701,11.240,0.024,45.6,1.247,1,0,b'0000',b'AA',10,59085.35529999,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.368997,311.040895
265.5289993,18.4558272,b'17h42m06.96s',b'18d27m20.98s',0.0512,0.0530,-0.0206,12.261,0.024,45.5,6.838,11.289,0.027,39.7,2.569,1,0,b'0000',b'AA',5,59085.02829687,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.376185,326.563258
265.5290028,18.4558303,b'17h42m06.96s',b'18d27m20.99s',0.0474,0.0515,-0.0139,12.366,0.025,43.9,3.845,11.392,0.028,39.4,1.809,1,0,b'0000',b'AA',5,57826.12053532,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.379249,328.999828
265.5289988,18.4558280,b'17h42m06.96s',b'18d27m20.98s',0.0536,0.0531,0.0014,12.143,0.026,41.9,1.193,11.228,0.027,40.6,0.590,1,0,b'0000',b'AA',10,58721.05586201,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.379522,326.587728
265.5289934,18.4558248,b'17h42m06.96s',b'18d27m20.97s',0.0479,0.0523,-0.0153,12.478,0.024,44.9,1.068,11.437,0.030,36.6,1.194,1,0,b'0000',b'AA',10,56914.85024880,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.380678,323.314488
265.5290061,18.4558342,b'17h42m06.96s',b'18d27m21.00s',0.0477,0.0534,-0.0128,12.360,0.025,44.2,3.368,11.293,0.026,42.0,1.511,1,0,b'0000',b'AA',10,57461.36305491,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.385854,331.508746
265.5290166,18.4558395,b'17h42m06.96s',b'18d27m21.02s',0.0519,0.0502,0.0089,12.262,0.026,42.2,1.450,11.337,0.027,39.6,1.942,1,0,b'0000',b'AA',5,58356.37488037,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.38765,337.522811
265.5290026,18.4558336,b'17h42m06.96s',b'18d27m21.00s',0.0507,0.0490,-0.0231,12.318,0.023,47.7,1.548,11.312,0.024,45.2,1.248,1,0,b'0000',b'AA',10,57633.53395818,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.389825,329.813127
265.5289678,18.4558056,b'17h42m06.95s',b'18d27m20.90s',0.0562,0.0635,-0.0305,12.358,0.028,38.4,0.894,11.372,0.034,31.5,0.826,1,0,b'0000',b'AA',10,57993.32153145,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.393575,306.872638
265.5289851,18.4558234,b'17h42m06.96s',b'18d27m20.96s',0.0524,0.0533,-0.0193,12.304,0.026,41.2,1.919,11.386,0.025,42.7,1.527,1,0,b'0000',b'AA',10,57632.74777284,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.394414,319.572612
265.5289871,18.4558273,b'17h42m06.96s',b'18d27m20.98s',0.0424,0.0488,-0.0144,12.149,0.025,44.1,1.075,11.204,0.024,45.7,1.609,1,0,b'0000',b'AA',5,59084.70142095,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.400935,321.617148
265.5290163,18.4558439,b'17h42m06.96s',b'18d27m21.04s',0.0513,0.0507,-0.0139,12.461,0.023,47.5,1.432,11.472,0.026,41.6,1.684,1,0,b'0000',b'AA',10,56915.37640922,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.40271,338.249753
265.5289948,18.4558334,b'17h42m06.96s',b'18d27m21.00s',0.0503,0.0560,-0.0228,12.290,0.027,40.5,2.917,11.484,0.028,38.7,2.438,1,0,b'0000',b'AA',5,57462.21520278,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.403273,326.488692
265.5289923,18.4558326,b'17h42m06.96s',b'18d27m21.00s',0.0533,0.0574,-0.0142,12.320,0.025,42.6,1.928,11.293,0.029,37.6,2.010,1,0,b'0000',b'AA',10,57461.62524443,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.405678,325.258715
265.5289883,18.4558302,b'17h42m06.96s',b'18d27m20.99s',0.0480,0.0533,-0.0076,12.318,0.026,42.1,1.238,11.322,0.025,43.0,0.737,1,0,b'0000',b'AA',10,57641.52622647,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.406678,322.983093
265.5289926,18.4558347,b'17h42m06.96s',b'18d27m21.00s',0.0565,0.0561,-0.0285,12.303,0.028,39.4,0.505,11.313,0.028,38.5,0.903,1,0,b'0000',b'AA',10,57632.87880372,2648118101351052781,12.186,0.023,11.186,0.020,8.645,0.025,6.538,0.068,745899553,15.039,0.0506,14.297,0.0513,13.732,0.0690,0.411344,325.97609
