source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07957a216',55442.74557550,11.592,0.026,1.053,10.525,0.026,1.296,,,,,,,1.0,44,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07958a241',55442.81179130,11.701,0.042,1.572,10.452,0.023,1.419,,,,,,,1.0,40,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07945a217',55442.34879050,11.641,0.035,1.100,10.522,0.024,1.287,,,,,,,1.0,119,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07946a241',55442.41487890,11.606,0.026,1.031,10.516,0.028,1.265,,,,,,,1.0,101,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07953a216',55442.61327140,11.616,0.029,1.033,10.524,0.027,1.294,,,,,,,1.0,61,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07954a241',55442.67948710,11.616,0.027,1.033,10.476,0.028,1.279,,,,,,,1.0,54,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07941a217',55442.21648630,11.607,0.032,1.031,10.608,0.038,2.137,,,,,,,1.0,109,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07942a240',55442.28257470,11.586,0.029,1.070,10.529,0.024,1.314,,,,,,,1.0,128,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07951a163',55442.54718300,11.649,0.025,1.138,10.479,0.026,1.268,,,,,,,1.0,70,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07937a162',55442.08418230,11.657,0.026,1.180,10.547,0.023,1.428,,,,,,,1.0,74,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07939a186',55442.15027060,11.674,0.035,1.304,10.508,0.027,1.247,,,,,,,1.0,90,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07930a241',55441.88578970,11.571,0.026,1.138,10.474,0.034,1.286,,,,,,,1.0,41,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07934a241',55442.01809380,11.632,0.034,1.066,10.490,0.024,1.243,,,,,,,1.0,60,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02548a036',55263.81876680,11.626,0.033,1.049,10.508,0.031,1.246,7.700,0.027,0.908,5.342,0.070,1.008,1.0,130,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'07926a241',55441.75348550,11.644,0.028,1.110,10.589,0.030,1.861,,,,,,,1.0,43,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02540a035',55263.55403150,11.605,0.031,1.032,10.461,0.030,1.353,7.712,0.027,0.913,5.257,0.065,1.018,1.0,62,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02544a035',55263.68633550,11.585,0.027,1.073,10.475,0.029,1.280,7.696,0.031,0.910,5.290,0.052,0.992,1.0,93,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02533b060',55263.35551190,11.638,0.037,1.087,10.459,0.023,1.363,7.708,0.032,0.909,5.301,0.049,0.990,1.0,41,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02533b061',55263.35563920,11.668,0.028,1.255,10.489,0.030,1.244,7.722,0.024,0.929,5.286,0.069,0.994,1.0,40,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02529b060',55263.22320790,11.576,0.030,1.110,10.485,0.024,1.251,7.694,0.024,0.912,5.293,0.063,0.992,1.0,53,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02532a036',55263.28942360,11.574,0.024,1.120,10.467,0.024,1.320,7.651,0.027,1.067,5.364,0.056,1.035,1.0,43,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02524a036',55263.02481560,11.586,0.027,1.069,10.480,0.022,1.263,7.713,0.034,0.913,5.327,0.064,0.998,1.0,81,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02528a016',55263.15711960,11.591,0.025,1.056,10.471,0.026,1.296,7.721,0.028,0.926,5.325,0.054,0.996,1.0,60,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02472a038',55261.30460900,11.614,0.027,1.032,10.469,0.025,1.306,7.686,0.027,0.925,5.232,0.052,1.058,1.0,41,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02521b060',55262.95859990,11.583,0.027,1.081,10.461,0.024,1.350,7.692,0.026,0.914,5.278,0.057,0.999,1.0,97,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02445b063',55260.44444210,11.581,0.022,1.087,10.460,0.027,1.360,7.706,0.028,0.908,5.363,0.060,1.034,1.0,44,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02457b063',55260.84148140,11.606,0.029,1.031,10.454,0.027,1.398,7.717,0.026,0.919,5.242,0.063,1.040,1.0,130,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02464a037',55261.03987370,11.611,0.023,1.030,10.548,0.031,1.437,7.682,0.025,0.934,5.307,0.058,0.990,1.0,78,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02468a014',55261.17217770,11.572,0.030,1.131,10.476,0.023,1.278,7.729,0.039,0.947,5.301,0.062,0.990,1.0,59,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02441b063',55260.31213810,11.594,0.025,1.048,10.479,0.022,1.268,7.703,0.028,0.908,5.212,0.049,1.104,1.0,41,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02444a037',55260.37822640,11.612,0.033,1.031,10.543,0.027,1.402,7.734,0.030,0.963,5.319,0.061,0.993,1.0,41,b'0000',0.058479,355.916486
b'2613p348_ac51-008047',260.8366486,34.2994462,b'17h23m20.80s',b'34d17m58.01s',1,0,b'0000',b'02460a038',55260.90756980,11.595,0.025,1.045,10.469,0.024,1.306,7.720,0.033,0.924,5.286,0.078,0.994,1.0,111,b'0000',0.058479,355.916486
