source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01774a178',55238.23176020,9.216,0.021,4.048,8.166,0.020,1.480,5.221,0.014,1.694,2.691,0.014,0.952,1.0,15,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01776a197',55238.29784860,9.145,0.027,5.142,8.161,0.022,1.511,5.228,0.015,1.719,2.705,0.016,0.935,1.0,11,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01769b223',55238.09945600,9.231,0.023,3.939,8.069,0.017,3.168,5.183,0.015,1.859,2.729,0.025,0.993,1.0,30,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01772a197',55238.16554440,9.247,0.022,3.864,8.157,0.024,1.536,5.229,0.018,1.721,2.763,0.020,1.270,1.0,22,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01761b222',55237.83472030,9.270,0.022,3.835,8.113,0.018,2.108,5.196,0.014,1.745,2.777,0.029,1.443,1.0,67,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01765b222',55237.96702440,9.203,0.023,4.176,8.191,0.021,1.404,5.235,0.014,1.760,2.730,0.020,1.002,1.0,51,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01613b223',55232.93831960,9.122,0.023,5.711,8.118,0.023,2.013,5.208,0.014,1.694,2.756,0.028,1.199,1.0,56,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01757b222',55237.70241610,9.226,0.024,3.966,8.156,0.021,1.546,5.203,0.015,1.707,2.712,0.014,0.940,1.0,59,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07174a079',55416.86438120,9.259,0.019,3.839,8.161,0.022,1.513,,,,,,,1.0,12,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07177a054',55416.93046960,9.219,0.024,4.020,8.182,0.026,1.417,,,,,,,1.0,11,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07170a079',55416.73207730,9.267,0.022,3.834,8.134,0.019,1.772,,,,,,,0.5,24,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07173a054',55416.79816560,9.225,0.025,3.975,8.151,0.021,1.591,,,,,,,1.0,17,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07169a054',55416.66586170,9.167,0.023,4.690,8.150,0.026,1.602,,,,,,,1.0,32,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07169a055',55416.66598900,9.176,0.022,4.538,8.176,0.023,1.434,,,,,,,1.0,32,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07165a055',55416.53368510,9.246,0.028,3.868,8.157,0.028,1.538,,,,,,,1.0,53,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07166a078',55416.59977340,9.216,0.023,4.046,8.185,0.020,1.409,,,,,,,1.0,42,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07158a078',55416.33516570,9.236,0.018,3.910,8.188,0.020,1.406,,,,,,,1.0,63,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07163a001',55416.46746950,9.220,0.022,4.009,8.194,0.019,1.404,,,,,,,0.5,63,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01796a198',55238.95962410,9.209,0.027,4.111,8.114,0.026,2.079,5.198,0.015,1.732,2.749,0.020,1.128,1.0,52,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07154a078',55416.20286180,9.199,0.023,4.216,8.158,0.017,1.532,,,,,,,1.0,48,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07178a079',55416.99668520,9.226,0.024,3.972,8.165,0.020,1.483,,,,,,,1.0,15,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01792a197',55238.82719260,9.220,0.025,4.012,8.097,0.018,2.432,5.199,0.022,1.728,2.733,0.027,1.014,1.0,67,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07189a055',55417.32738120,9.246,0.022,3.869,8.154,0.019,1.561,,,,,,,1.0,62,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07193a009',55417.45968520,9.236,0.024,3.912,8.119,0.021,2.000,,,,,,,1.0,64,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07183a009',55417.12898900,9.296,0.030,3.902,8.177,0.021,1.428,,,,,,,1.0,36,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07185a055',55417.19507730,9.232,0.020,3.931,8.183,0.019,1.413,,,,,,,1.0,47,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01788a197',55238.69488840,9.276,0.024,3.841,8.137,0.019,1.744,5.204,0.015,1.705,2.679,0.017,1.005,1.0,58,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'07181a054',55417.06277340,9.255,0.022,3.845,8.156,0.021,1.545,,,,,,,1.0,25,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01785b222',55238.62867260,9.056,0.028,8.097,8.135,0.018,1.759,5.139,0.018,2.748,2.691,0.014,0.952,1.0,49,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01785b223',55238.62880000,9.213,0.022,4.071,8.163,0.026,1.495,5.158,0.011,2.262,2.711,0.035,0.939,1.0,49,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01782a144',55238.49636850,9.149,0.022,5.046,8.115,0.016,2.070,5.180,0.015,1.893,2.699,0.016,0.938,1.0,27,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01784a172',55238.56258430,9.169,0.022,4.662,8.170,0.021,1.459,5.211,0.012,1.688,2.778,0.032,1.453,1.0,38,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01777b222',55238.36406430,9.232,0.021,3.928,8.118,0.018,2.020,5.211,0.015,1.688,2.708,0.023,0.936,1.0,11,b'0000',0.394139,101.96633
b'2070m606_ac51-030112',206.9000283,-60.6177427,b'13h47m36.01s',b'-60d37m03.87s',1,0,b'0000',b'01780a164',55238.43028010,9.199,0.022,4.215,8.126,0.016,1.888,5.200,0.018,1.722,2.737,0.025,1.042,1.0,17,b'0000',0.394139,101.96633
