ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
206.8999152,-60.6177191,b'13h47m35.98s',b'-60d37m03.79s',0.0261,0.0284,-0.0109,8.795,0.015,70.3,4.206,7.772,0.014,76.9,2.696,1,0,b'0000',b'AA',5,58323.70586427,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.185844,89.001087
206.8999235,-60.6177472,b'13h47m35.98s',b'-60d37m03.89s',0.0256,0.0234,-0.0046,8.757,0.017,62.6,4.678,7.684,0.012,88.8,4.096,1,0,b'0000',b'AA',5,59051.66174593,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.223105,116.032997
206.8999263,-60.6177480,b'13h47m35.98s',b'-60d37m03.89s',0.0206,0.0232,-0.0074,8.848,0.014,76.2,11.490,7.792,0.010,105.2,9.999,1,0,b'0000',b'AA',5,58319.78016706,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.228812,116.137475
206.8999451,-60.6177410,b'13h47m35.99s',b'-60d37m03.87s',0.0235,0.0250,-0.0071,8.879,0.015,72.8,10.400,7.787,0.012,90.3,2.402,1,0,b'0000',b'AA',5,58687.87417689,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.250323,107.579059
206.8999436,-60.6177447,b'13h47m35.99s',b'-60d37m03.88s',0.0249,0.0295,-0.0108,9.113,0.018,59.0,7.749,8.119,0.014,79.4,4.498,1,0,b'0000',b'AA',5,56881.28763837,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.252165,110.647419
206.8999506,-60.6177349,b'13h47m35.99s',b'-60d37m03.85s',0.0267,0.0239,-0.0099,9.251,0.014,75.1,8.755,8.231,0.014,76.5,7.852,1,0,b'0000',b'AA',5,57062.25521845,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.254069,102.188406
206.8999171,-60.6176711,b'13h47m35.98s',b'-60d37m03.62s',0.0240,0.0272,-0.0118,8.789,0.015,74.4,33.610,7.724,0.013,82.5,21.260,1,0,b'0000',b'AA',0,58888.93856744,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.258401,47.058917
206.8999614,-60.6177199,b'13h47m35.99s',b'-60d37m03.79s',0.0295,0.0274,-0.0074,8.826,0.018,58.9,4.908,7.832,0.015,71.0,3.830,1,0,b'0000',b'AA',5,57599.05861668,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.26742,89.922933
206.8999590,-60.6177360,b'13h47m35.99s',b'-60d37m03.85s',0.0231,0.0245,-0.0095,8.884,0.015,71.2,5.302,7.767,0.012,92.1,2.660,1,0,b'0000',b'AA',5,58687.02381576,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.269408,102.345429
206.8999632,-60.6177232,b'13h47m35.99s',b'-60d37m03.80s',0.0270,0.0270,0.0025,8.851,0.018,60.1,7.061,7.823,0.013,82.7,3.460,1,0,b'0000',b'AA',5,57959.78521358,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.270842,92.437843
206.8999656,-60.6177223,b'13h47m35.99s',b'-60d37m03.80s',0.0294,0.0280,-0.0019,8.780,0.019,56.9,21.380,7.700,0.013,81.2,12.880,1,0,b'0000',b'AA',10,59050.94241535,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.274961,91.725714
206.8999652,-60.6177277,b'13h47m35.99s',b'-60d37m03.82s',0.0246,0.0259,-0.0055,8.835,0.017,62.7,7.076,7.790,0.012,87.4,3.044,1,0,b'0000',b'AA',5,58687.41627049,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.275528,95.774244
206.8999627,-60.6177366,b'13h47m35.99s',b'-60d37m03.85s',0.0230,0.0236,-0.0092,9.085,0.015,73.0,7.824,8.072,0.012,88.8,4.677,1,0,b'0000',b'AA',5,57240.60407383,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.276247,102.493267
206.8999649,-60.6177321,b'13h47m35.99s',b'-60d37m03.84s',0.0261,0.0265,-0.0111,8.833,0.017,64.0,5.219,7.834,0.013,85.5,2.088,1,0,b'0000',b'AA',5,57959.85066521,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.277049,99.046324
206.8999670,-60.6177294,b'13h47m35.99s',b'-60d37m03.83s',0.0254,0.0259,-0.0088,9.171,0.015,74.7,6.843,8.089,0.013,82.9,1.584,1,0,b'0000',b'AA',5,56881.74809188,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.279358,96.957533
206.8999682,-60.6177302,b'13h47m35.99s',b'-60d37m03.83s',0.0260,0.0281,-0.0095,8.854,0.017,65.7,19.460,7.860,0.015,73.8,14.850,1,0,b'0000',b'AA',0,57793.78523289,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.281833,97.486538
206.8999684,-60.6177368,b'13h47m35.99s',b'-60d37m03.85s',0.0255,0.0252,-0.0098,8.676,0.017,65.7,6.437,7.761,0.012,87.7,6.275,1,0,b'0000',b'AA',5,58160.67536963,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.28624,102.198032
206.8999668,-60.6177449,b'13h47m35.99s',b'-60d37m03.88s',0.0226,0.0244,-0.0081,8.829,0.014,79.8,6.593,7.793,0.012,88.7,2.787,1,0,b'0000',b'AA',5,58323.57496102,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.2911,107.935013
206.8999747,-60.6177270,b'13h47m35.99s',b'-60d37m03.82s',0.0258,0.0240,-0.0068,8.857,0.018,62.0,8.922,7.825,0.012,89.4,3.655,1,0,b'0000',b'AA',5,57959.32692507,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.291991,94.950998
206.8999741,-60.6177326,b'13h47m35.99s',b'-60d37m03.84s',0.0240,0.0233,-0.0066,8.868,0.017,65.5,6.349,7.833,0.012,90.0,2.181,1,0,b'0000',b'AA',5,57599.32067774,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.293378,98.894507
206.8999722,-60.6177376,b'13h47m35.99s',b'-60d37m03.86s',0.0265,0.0283,-0.0063,8.840,0.016,66.5,5.136,7.841,0.014,76.5,1.527,1,0,b'0000',b'AA',5,57599.71364213,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.293411,102.470798
206.8999765,-60.6177168,b'13h47m35.99s',b'-60d37m03.78s',0.0254,0.0250,-0.0040,9.273,0.017,65.0,8.300,8.153,0.012,88.1,3.572,1,0,b'0000',b'AA',5,57065.73651475,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.294311,87.756818
206.8999598,-60.6177558,b'13h47m35.99s',b'-60d37m03.92s',0.0266,0.0231,-0.0059,9.113,0.018,60.5,6.103,8.072,0.012,90.7,3.461,1,0,b'0000',b'AA',5,57240.86651698,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.294311,115.970541
206.8999759,-60.6177300,b'13h47m35.99s',b'-60d37m03.83s',0.0241,0.0240,-0.0065,8.849,0.016,68.9,11.510,7.780,0.012,90.1,4.613,1,0,b'0000',b'AA',5,58323.44405777,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.295224,97.004095
206.8999771,-60.6177301,b'13h47m35.99s',b'-60d37m03.83s',0.0234,0.0242,-0.0072,8.885,0.015,73.3,6.334,7.787,0.013,82.5,2.510,1,0,b'0000',b'AA',5,58686.89303991,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.297376,97.023143
206.8999782,-60.6177242,b'13h47m35.99s',b'-60d37m03.81s',0.0260,0.0258,-0.0112,8.828,0.014,78.2,8.285,7.784,0.013,81.1,1.907,1,0,b'0000',b'AA',5,58320.23820115,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.297472,92.913563
206.8999620,-60.6177556,b'13h47m35.99s',b'-60d37m03.92s',0.0251,0.0264,-0.0086,9.178,0.016,68.6,5.639,8.105,0.012,88.0,3.411,1,0,b'0000',b'AA',5,56881.35334464,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.297503,115.518149
206.8999748,-60.6177023,b'13h47m35.99s',b'-60d37m03.73s',0.0261,0.0256,-0.0029,9.050,0.019,56.0,8.137,8.084,0.013,82.7,9.877,1,0,b'0000',b'AA',5,56700.80820071,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.297979,77.652444
206.8999775,-60.6177315,b'13h47m35.99s',b'-60d37m03.83s',0.0237,0.0270,-0.0109,8.866,0.014,79.9,7.641,7.836,0.013,86.4,3.222,1,0,b'0000',b'AA',5,57599.38612938,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.298739,97.96601
206.8999787,-60.6177084,b'13h47m35.99s',b'-60d37m03.75s',0.0265,0.0226,-0.0104,8.927,0.016,67.9,14.650,7.968,0.012,93.4,8.198,1,0,b'0000',b'AA',0,57429.58934370,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.300882,82.022182
206.8999804,-60.6177278,b'13h47m36.00s',b'-60d37m03.82s',0.0256,0.0256,-0.0055,8.927,0.017,64.8,11.020,7.956,0.012,92.1,4.866,1,0,b'0000',b'AA',5,57429.52376439,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.302276,95.330163
206.8999743,-60.6177471,b'13h47m35.99s',b'-60d37m03.89s',0.0256,0.0267,-0.0125,8.864,0.017,64.4,5.908,7.841,0.012,87.0,2.806,1,0,b'0000',b'AA',5,57960.30895370,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.306157,108.581772
206.8999796,-60.6177411,b'13h47m36.00s',b'-60d37m03.87s',0.0243,0.0271,-0.0087,9.165,0.014,79.0,7.151,8.104,0.014,77.2,1.795,1,0,b'0000',b'AA',5,56881.81379821,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.309044,104.2287
206.8999760,-60.6177474,b'13h47m35.99s',b'-60d37m03.89s',0.0259,0.0258,-0.0122,8.778,0.015,71.7,5.042,7.711,0.013,85.8,3.870,1,0,b'0000',b'AA',5,59052.05420078,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.30935,108.594159
206.8999689,-60.6177571,b'13h47m35.99s',b'-60d37m03.93s',0.0234,0.0278,-0.0113,8.872,0.014,77.4,6.149,7.781,0.013,86.8,2.630,1,0,b'0000',b'AA',5,58687.54717369,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.310827,115.448651
206.8999825,-60.6177377,b'13h47m36.00s',b'-60d37m03.86s',0.0281,0.0264,-0.0114,9.072,0.018,60.3,17.050,8.059,0.013,84.4,15.830,1,0,b'0000',b'AA',5,56701.07153579,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.311283,101.81237
206.8999802,-60.6177431,b'13h47m36.00s',b'-60d37m03.88s',0.0263,0.0243,-0.0082,9.141,0.016,66.7,11.220,8.124,0.013,82.5,3.062,1,0,b'0000',b'AA',5,56881.61655190,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.311905,105.462959
206.8999713,-60.6177553,b'13h47m35.99s',b'-60d37m03.92s',0.0252,0.0250,-0.0103,8.909,0.016,66.8,6.022,7.800,0.012,89.6,2.128,1,0,b'0000',b'AA',5,57598.99303778,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.311965,114.039289
206.8999848,-60.6177331,b'13h47m36.00s',b'-60d37m03.84s',0.0247,0.0210,-0.0076,8.863,0.016,66.1,6.033,7.767,0.011,96.0,4.357,1,0,b'0000',b'AA',5,58687.41639785,2070060601351030112,9.219,0.022,8.147,0.019,5.200,0.014,2.716,0.015,944023363,14.027,0.0751,12.348,0.0613,11.140,0.0428,0.312328,98.684695
