source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'03117a033',55282.64108700,11.629,0.028,4.451,10.726,0.026,1.660,7.426,0.025,1.295,5.209,0.074,0.899,1.0,15,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'03118a058',55282.70730280,11.637,0.034,4.528,10.747,0.028,1.696,7.419,0.025,1.244,5.193,0.090,0.835,1.0,3,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'08897b246',55473.86363530,11.512,0.024,4.442,10.710,0.025,1.657,,,,,,,1.0,83,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'08928a221',55474.85559680,11.493,0.025,4.568,10.710,0.023,1.676,,,,,,,1.0,86,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'03114a057',55282.57487130,11.631,0.028,4.452,10.712,0.023,1.672,7.400,0.025,1.233,5.131,0.059,0.850,1.0,34,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'03114a058',55282.57499870,11.609,0.031,4.423,10.693,0.028,1.674,7.451,0.023,1.283,5.226,0.081,0.843,1.0,33,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'08940a220',55475.25238140,11.515,0.037,4.454,10.664,0.021,1.770,,,,,,,1.0,-7,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'08936a186',55475.12020480,11.583,0.023,4.394,10.717,0.031,1.704,,,,,,,1.0,13,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'03109a034',55282.37647890,11.596,0.026,4.390,10.726,0.033,1.716,7.422,0.025,1.235,5.104,0.062,0.856,1.0,88,b'0000',0.198026,284.743774
b'0969m364_ac51-007609',96.7441433,-37.0995960,b'06h26m58.59s',b'-37d05m58.55s',2,1,b'hhh0',b'03113a033',55282.50878300,11.655,0.026,4.530,10.769,0.026,1.975,7.322,0.023,1.450,5.195,0.069,0.835,1.0,53,b'0000',0.198026,284.743774
