ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
323.0090331,-33.7150090,b'21h32m02.17s',b'-33d42m54.03s',0.0365,0.0328,-0.0083,11.019,0.017,63.2,84.020,10.436,0.021,52.6,6.009,1,0,b'0000',b'AA',10,58609.48795315,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.05575,44.729691
323.0090515,-33.7149898,b'21h32m02.17s',b'-33d42m53.96s',0.0442,0.0395,-0.0082,11.542,0.020,55.4,25.460,10.937,0.027,41.0,5.307,1,0,b'0000',b'AA',10,57877.46754103,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.143934,40.945411
323.0091216,-33.7150554,b'21h32m02.19s',b'-33d42m54.20s',0.0380,0.0328,-0.0045,11.401,0.017,62.7,7.643,10.351,0.018,60.4,18.500,1,0,b'0000',b'AA',10,58772.98447172,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.329849,112.727703
323.0091157,-33.7149688,b'21h32m02.19s',b'-33d42m53.89s',0.0410,0.0453,0.0084,11.684,0.023,48.1,10.970,10.840,0.023,47.1,2.992,1,0,b'0000',b'AA',5,57877.33663753,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.340738,57.251597
323.0090662,-33.7151094,b'21h32m02.18s',b'-33d42m54.39s',0.0810,0.0791,0.0102,13.101,0.035,30.8,31.280,12.250,0.046,23.6,7.350,1,0,b'0000',b'AA',0,57153.38484675,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.350321,156.739048
323.0091173,-33.7149533,b'21h32m02.19s',b'-33d42m53.83s',0.0416,0.0379,-0.0081,11.281,0.021,52.3,4.198,10.412,0.021,51.7,1.293,1,0,b'0000',b'AA',10,58609.03004623,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.377563,50.507478
323.0091262,-33.7149555,b'21h32m02.19s',b'-33d42m53.84s',0.0387,0.0316,0.0075,11.055,0.018,59.6,7.656,10.269,0.018,60.0,4.536,1,0,b'0000',b'AA',10,58405.96583861,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.393767,53.865009
323.0091009,-33.7149322,b'21h32m02.18s',b'-33d42m53.76s',0.0473,0.0419,0.0036,11.700,0.027,40.9,6.022,10.833,0.021,50.9,1.922,1,0,b'0000',b'AA',10,57877.53312009,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.39824,37.467989
323.0091490,-33.7149814,b'21h32m02.20s',b'-33d42m53.93s',0.0414,0.0404,-0.0060,11.252,0.021,50.8,9.166,10.572,0.021,52.6,2.642,1,0,b'0000',b'AA',10,58241.82303137,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.410528,70.214964
323.0091317,-33.7149489,b'21h32m02.19s',b'-33d42m53.82s',0.0397,0.0390,-0.0056,11.481,0.020,55.3,5.067,10.621,0.022,49.5,1.067,1,0,b'0000',b'AA',10,58972.97285142,3221033401351021109,11.476,0.022,10.580,0.019,7.176,0.016,4.586,0.029,535681611,13.618,0.0449,12.873,0.0559,12.008,0.0313,0.421182,52.575677
