ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
36.6073014,-28.3497108,b'02h26m25.75s',b'-28d20m58.96s',0.0336,0.0316,-0.0063,11.053,0.018,59.5,5.629,9.706,0.019,56.1,9.606,1,0,b'0d00',b'AA',10,58111.99315442,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.330246,307.973961
36.6090202,-28.3497495,b'02h26m26.16s',b'-28d20m59.10s',0.0473,0.0299,0.0198,11.301,0.019,57.6,546.200,9.255,0.017,65.3,445.400,2,0,b'h000',b'AA',10,56668.94083808,,,,,,,,,,,,,,,,,3.406133,55.896375
36.6085706,-28.3511439,b'02h26m26.06s',b'-28d21m04.12s',0.0716,0.0523,-0.0433,11.043,0.028,39.0,385.400,9.133,0.029,38.1,233.500,1,0,b'0000',b'AA',10,57751.95134581,,,,,,,,,,,,,,,,,3.408947,155.827631
36.6072608,-28.3496949,b'02h26m25.74s',b'-28d20m58.90s',0.0352,0.0320,-0.0079,11.039,0.017,64.7,13.630,10.197,0.017,64.3,2.276,1,0,b'0000',b'AA',5,57583.44929947,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.46703,307.411643
36.6072104,-28.3497526,b'02h26m25.73s',b'-28d20m59.11s',0.0327,0.0314,-0.0114,11.297,0.018,59.8,3.798,10.218,0.018,59.7,9.183,1,0,b'0000',b'AA',10,57032.05200878,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.477547,303.090838
36.6072102,-28.3496979,b'02h26m25.73s',b'-28d20m58.91s',0.0365,0.0365,-0.0067,11.321,0.019,57.7,3.195,10.282,0.020,54.7,1.784,1,0,b'0000',b'AA',10,56857.39080355,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.589368,305.719753
36.6071787,-28.3497288,b'02h26m25.72s',b'-28d20m59.02s',0.0389,0.0373,-0.0152,11.329,0.019,57.8,10.810,10.370,0.020,53.9,4.600,1,0,b'0000',b'AA',5,56854.95674699,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.608508,303.359954
36.6071866,-28.3497069,b'02h26m25.72s',b'-28d20m58.94s',0.0331,0.0342,-0.0142,11.231,0.018,59.8,2.855,10.254,0.018,60.6,2.804,1,0,b'0000',b'AA',5,57392.17272825,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.631831,304.616029
36.6071756,-28.3497082,b'02h26m25.72s',b'-28d20m58.95s',0.0318,0.0307,-0.0112,11.005,0.019,58.1,3.028,10.044,0.017,63.3,3.167,1,0,b'0000',b'AA',10,58475.38860316,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.657929,304.245595
36.6071547,-28.3497331,b'02h26m25.72s',b'-28d20m59.04s',0.0334,0.0312,0.0075,11.221,0.017,63.8,2.398,10.150,0.019,58.0,0.817,1,0,b'0000',b'AA',10,56668.67737544,360028801351051163,11.177,0.023,10.130,0.020,7.060,0.017,4.327,0.023,167919712,14.190,0.0497,13.232,0.0591,12.447,0.0377,3.663913,302.503863
