ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
155.4176908,-3.4538571,b'10h21m40.25s',b'-03d27m13.89s',0.0360,0.0372,-0.0024,11.074,0.021,52.8,17.260,10.342,0.018,59.4,5.552,1,0,b'0000',b'AA',10,57884.69676963,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.140042,32.254815
155.4176949,-3.4538471,b'10h21m40.25s',b'-03d27m13.85s',0.0349,0.0392,0.0043,11.113,0.020,55.3,16.790,10.328,0.019,57.1,3.107,1,0,b'0000',b'AA',10,57885.08960711,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.17848,30.086516
155.4176972,-3.4538465,b'10h21m40.25s',b'-03d27m13.85s',0.0357,0.0378,-0.0082,11.113,0.020,54.7,10.110,10.279,0.020,55.0,3.382,1,0,b'0000',b'AA',10,57885.28608946,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.184594,31.970415
155.4176873,-3.4538366,b'10h21m40.24s',b'-03d27m13.81s',0.0316,0.0376,0.0030,10.995,0.017,62.9,10.460,10.268,0.020,53.3,2.425,1,0,b'0000',b'AA',10,57524.50729462,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.20204,17.920253
155.4177096,-3.4538443,b'10h21m40.25s',b'-03d27m13.84s',0.0364,0.0404,-0.0023,11.188,0.020,55.3,15.690,10.437,0.019,56.7,4.193,1,0,b'0000',b'AA',5,58245.25300624,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.217531,40.858065
155.4176938,-3.4538320,b'10h21m40.25s',b'-03d27m13.80s',0.0372,0.0400,-0.0060,11.193,0.022,50.3,20.200,10.439,0.019,57.9,6.963,1,0,b'0000',b'AA',10,58245.12210291,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.225631,22.273982
155.4176960,-3.4538308,b'10h21m40.25s',b'-03d27m13.79s',0.0372,0.0401,-0.0096,11.181,0.019,56.6,15.760,10.459,0.021,50.8,3.023,1,0,b'0000',b'AA',10,58609.77662778,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.232701,23.672236
155.4177145,-3.4538412,b'10h21m40.25s',b'-03d27m13.83s',0.0320,0.0346,-0.0067,10.991,0.018,59.8,12.000,10.262,0.019,57.1,4.247,1,0,b'0000',b'AA',10,57521.62436228,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.237562,42.30937
155.4176853,-3.4538256,b'10h21m40.24s',b'-03d27m13.77s',0.0326,0.0336,-0.0067,10.987,0.017,65.3,12.780,10.218,0.018,61.2,2.487,1,0,b'0000',b'AA',10,57521.42775248,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.238277,13.341024
155.4176827,-3.4538245,b'10h21m40.24s',b'-03d27m13.77s',0.0334,0.0359,0.0059,11.186,0.019,57.4,18.070,10.416,0.018,58.8,3.022,1,0,b'0000',b'AA',10,58245.84194409,1557003101351015817,10.729,0.022,10.006,0.020,7.265,0.017,5.024,0.040,179979774,13.534,0.0571,12.933,0.0589,12.350,0.0517,0.240173,10.953652
