source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05325a156',55355.68961070,10.410,0.021,11.530,9.688,0.021,3.890,6.505,0.019,1.640,4.013,0.037,0.801,1.0,46,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05329a156',55355.82191450,10.421,0.023,11.410,9.621,0.021,4.957,6.506,0.018,1.643,4.008,0.039,0.806,1.0,32,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05319a112',55355.49121870,10.396,0.022,11.690,9.692,0.019,3.850,6.493,0.019,1.618,4.070,0.041,0.919,1.0,77,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05321a156',55355.55730690,10.388,0.023,11.820,9.652,0.021,4.348,6.507,0.018,1.645,4.035,0.026,0.810,1.0,62,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05314a181',55355.35891500,10.418,0.022,11.440,9.624,0.023,4.903,6.495,0.020,1.619,4.002,0.029,0.815,1.0,115,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05317a099',55355.42500320,10.404,0.027,11.600,9.631,0.026,4.740,6.483,0.017,1.629,4.038,0.028,0.815,1.0,95,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05311a104',55355.22661120,10.401,0.022,11.630,9.629,0.021,4.782,6.492,0.016,1.618,4.003,0.024,0.814,1.0,108,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05313a156',55355.29269940,10.425,0.023,11.370,9.640,0.015,4.552,6.492,0.018,1.618,4.042,0.025,0.823,1.0,129,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11045b123',55544.87659550,10.555,0.023,11.640,9.777,0.029,3.829,,,,,,,1.0,114,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05306a180',55355.09430750,10.427,0.022,11.350,9.672,0.021,4.051,6.485,0.018,1.625,3.995,0.024,0.831,1.0,70,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11052a098',55545.07498840,10.569,0.022,11.810,9.967,0.027,7.532,,,,,,,0.5,60,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05298a180',55354.82969980,10.400,0.022,11.640,9.648,0.021,4.406,6.439,0.019,2.015,3.962,0.050,0.976,1.0,32,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11060a098',55545.33946980,10.502,0.023,11.220,9.792,0.021,3.954,,,,,,,1.0,29,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11056a033',55545.20729270,10.541,0.029,11.490,9.859,0.027,4.887,,,,,,,0.5,43,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11048a098',55544.94268400,10.539,0.027,11.470,9.851,0.026,4.746,,,,,,,0.5,94,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11044a099',55544.81050700,10.588,0.034,12.070,9.859,0.026,4.892,,,,,,,0.5,128,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05302a180',55354.96200360,10.388,0.027,11.820,9.673,0.030,4.041,6.487,0.021,1.623,4.007,0.025,0.807,1.0,42,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11040a098',55544.67820250,10.528,0.026,11.380,9.855,0.025,4.820,,,,,,,0.5,87,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11041b123',55544.74429110,10.638,0.033,12.980,9.841,0.030,4.575,,,,,,,0.5,107,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11034a065',55544.47980970,10.582,0.026,11.990,9.822,0.028,4.297,,,,,,,0.5,39,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11037b124',55544.61211400,10.518,0.028,11.310,9.808,0.022,4.114,,,,,,,0.5,68,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'05333a156',55355.95421830,10.420,0.018,11.420,9.673,0.019,4.047,6.513,0.017,1.672,4.100,0.054,1.104,1.0,40,b'0000',0.37992,340.048317
b'1808p196_ac51-056138',181.1236216,20.3163092,b'12h04m29.67s',b'20d18m58.71s',1,0,b'0000',b'11029b123',55544.34750530,10.563,0.024,11.740,9.838,0.023,4.521,,,,,,,1.0,29,b'0000',0.37992,340.048317
