ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
171.4006799,54.3825067,b'11h25m36.16s',b'54d22m57.02s',0.0338,0.0340,-0.0087,11.053,0.020,53.1,8.186,10.349,0.018,58.7,2.550,1,0,b'0000',b'AA',5,58597.16152166,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.048598,299.785647
171.4006848,54.3825175,b'11h25m36.16s',b'54d22m57.06s',0.0366,0.0413,-0.0109,11.600,0.018,61.7,3.999,10.857,0.022,49.0,1.047,1,0,b'0000',b'AA',10,56981.87322788,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.070626,333.168308
171.4006767,54.3825142,b'11h25m36.16s',b'54d22m57.05s',0.0329,0.0411,0.0034,11.519,0.020,54.1,4.590,10.794,0.019,57.6,1.400,1,0,b'0000',b'AA',10,56982.66208768,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.070692,316.301203
171.4006974,54.3825198,b'11h25m36.17s',b'54d22m57.07s',0.0322,0.0387,-0.0136,11.205,0.017,62.9,3.086,10.393,0.018,60.9,1.037,1,0,b'0000',b'AA',10,57707.57385233,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.07149,355.626934
171.4006995,54.3825202,b'11h25m36.17s',b'54d22m57.07s',0.0355,0.0420,-0.0121,11.364,0.018,62.0,5.148,10.677,0.020,53.4,1.093,1,0,b'0000',b'AA',5,58230.08196098,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.072734,359.174131
171.4006642,54.3825062,b'11h25m36.16s',b'54d22m57.02s',0.0373,0.0447,0.0078,11.483,0.022,49.9,2.444,10.767,0.020,55.6,1.049,1,0,b'0000',b'AA',10,57150.20661995,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.078301,286.561331
171.4007023,54.3825218,b'11h25m36.17s',b'54d22m57.08s',0.0417,0.0518,0.0075,11.791,0.021,51.8,7.220,11.101,0.025,44.2,1.889,1,0,b'0000',b'AA',10,58960.97825308,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.078602,3.515994
171.4006627,54.3825022,b'11h25m36.16s',b'54d22m57.01s',0.0443,0.0536,-0.0059,11.853,0.020,53.1,5.615,11.355,0.029,36.8,2.568,1,0,b'0000',b'AA',5,59170.44867109,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.078602,275.783082
171.4006682,54.3825160,b'11h25m36.16s',b'54d22m57.06s',0.0414,0.0448,0.0079,11.811,0.023,47.4,8.224,11.120,0.024,45.4,1.686,1,0,b'0000',b'AA',10,58961.37070829,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.088121,310.825674
171.4006710,54.3825184,b'11h25m36.16s',b'54d22m57.07s',0.0322,0.0382,-0.0050,11.024,0.018,59.3,2.705,10.371,0.020,54.5,1.413,1,0,b'0000',b'AA',10,58596.63816251,1710154501351029679,10.806,0.023,10.006,0.021,7.552,0.017,5.469,0.034,1042886803,13.866,0.0524,13.256,0.0668,12.747,0.0486,0.089925,317.452197
