source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08206a140',55451.00152960,9.313,0.039,2.470,8.627,0.029,1.004,,,,,,,1.0,10,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08198a141',55450.73704870,9.712,0.052,5.373,8.532,0.026,1.823,,,,,,,0.5,-8,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08205a117',55450.93544130,9.414,0.025,2.103,8.619,0.022,1.019,,,,,,,1.0,-10,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08213a117',55451.20004940,9.413,0.041,2.101,8.616,0.026,1.027,,,,,,,1.0,70,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08209a063',55451.06774540,9.369,0.029,2.142,8.629,0.027,1.002,,,,,,,1.0,30,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08221a103',55451.46453030,9.359,0.028,2.176,8.628,0.033,1.003,,,,,,,1.0,66,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08217a116',55451.33222620,9.316,0.029,2.449,8.619,0.023,1.018,,,,,,,1.0,96,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08211a089',55451.13383370,9.384,0.029,2.108,8.648,0.025,1.012,,,,,,,1.0,50,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08206a141',55451.00165700,9.437,0.052,2.151,8.612,0.034,1.038,,,,,,,1.0,10,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02765b160',55271.04200540,9.332,0.038,2.323,8.599,0.022,1.097,6.008,0.018,1.471,3.411,0.031,1.466,0.5,35,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08202a141',55450.86935290,9.632,0.043,4.040,8.596,0.025,1.111,,,,,,,1.0,-22,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02773b160',55271.30661340,9.266,0.026,3.024,8.595,0.026,1.118,5.995,0.016,1.619,3.420,0.038,1.403,0.5,-20,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02770a101',55271.17430940,9.347,0.026,2.234,8.562,0.021,1.410,6.030,0.018,1.348,3.490,0.026,1.305,0.5,-2,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02778a082',55271.43891740,9.346,0.028,2.239,8.549,0.024,1.573,6.010,0.018,1.457,3.483,0.025,1.285,0.5,-3,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02776a135',55271.37270170,9.208,0.032,4.111,8.586,0.028,1.179,6.026,0.021,1.361,3.389,0.026,1.667,0.5,-20,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02781b160',55271.57122130,9.325,0.026,2.375,8.570,0.020,1.315,6.000,0.016,1.550,3.475,0.021,1.273,0.5,38,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02780a108',55271.50513310,9.295,0.033,2.655,8.569,0.027,1.331,6.049,0.018,1.352,3.445,0.029,1.294,0.5,18,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02788a135',55271.76974100,9.335,0.027,2.302,8.560,0.023,1.425,6.004,0.020,1.516,3.423,0.019,1.387,0.5,91,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02784a135',55271.63743700,9.382,0.027,2.111,8.538,0.020,1.735,6.064,0.018,1.425,3.473,0.023,1.270,0.5,58,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02796a135',55272.03434900,9.475,0.033,2.325,8.578,0.019,1.244,5.979,0.015,1.866,3.449,0.020,1.284,1.0,38,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'02792a135',55271.90204500,9.257,0.027,3.159,8.534,0.030,1.801,6.010,0.018,1.455,3.456,0.031,1.273,0.5,78,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08194a141',55450.60474460,9.285,0.027,2.766,8.590,0.025,1.150,,,,,,,1.0,23,b'0000',0.662869,50.347142
b'2640m288_ac51-022330',264.3682923,-29.1339125,b'17h37m28.39s',b'-29d08m02.09s',1,0,b'd000',b'08191a100',55450.47244050,9.481,0.048,2.364,8.634,0.026,1.000,,,,,,,0.5,64,b'0000',0.662869,50.347142
