ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
264.3681677,-29.1339496,b'17h37m28.36s',b'-29d08m02.22s',0.0473,0.0455,-0.0185,9.260,0.026,42.1,1.662,8.544,0.018,59.0,1.087,1,0,b'0000',b'AA',10,59086.19674727,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.312782,22.273094
264.3682104,-29.1339627,b'17h37m28.37s',b'-29d08m02.27s',0.0510,0.0521,-0.0236,9.226,0.021,52.2,1.828,8.527,0.028,38.4,0.632,1,0,b'0000',b'AA',0,59088.87733330,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.350173,46.219705
264.3681851,-29.1339320,b'17h37m28.36s',b'-29d08m02.16s',0.0507,0.0511,-0.0038,9.339,0.040,27.1,0.613,8.606,0.020,53.6,1.448,1,0,b'0000',b'AA',0,57633.32868909,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.393047,26.156209
264.3682109,-29.1339398,b'17h37m28.37s',b'-29d08m02.18s',0.0351,0.0389,-0.0070,9.376,0.025,44.1,3.797,8.619,0.018,60.2,2.210,1,0,b'gg00',b'AA',10,57633.65632991,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.412502,38.076012
264.3681720,-29.1339138,b'17h37m28.36s',b'-29d08m02.09s',0.0377,0.0367,-0.0061,9.452,0.025,43.2,2.311,8.593,0.015,71.5,2.150,1,0,b'0000',b'AA',10,58722.29014637,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.438673,17.521803
264.3681811,-29.1339154,b'17h37m28.36s',b'-29d08m02.10s',0.0429,0.0410,-0.0106,9.421,0.020,54.1,2.797,8.611,0.021,50.7,0.659,1,0,b'0000',b'AA',0,58721.83223959,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.442746,21.280196
264.3682545,-29.1339705,b'17h37m28.38s',b'-29d08m02.29s',0.0319,0.0354,-0.0091,9.332,0.025,43.4,2.503,8.466,0.017,65.4,4.248,1,0,b'gg00',b'AA',10,57826.78409587,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.446263,61.315505
264.3682145,-29.1339270,b'17h37m28.37s',b'-29d08m02.14s',0.0390,0.0334,-0.0097,9.411,0.023,47.8,3.066,8.605,0.017,62.9,3.673,1,0,b'0000',b'AA',10,58357.15138625,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.456176,35.625246
264.3681714,-29.1339066,b'17h37m28.36s',b'-29d08m02.06s',0.0332,0.0341,-0.0069,9.360,0.022,49.2,4.282,8.480,0.015,74.1,6.481,1,0,b'0000',b'AA',10,58193.91665271,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.462919,16.333172
264.3682054,-29.1339192,b'17h37m28.37s',b'-29d08m02.11s',0.0385,0.0363,-0.0139,9.326,0.020,55.3,3.401,8.565,0.015,71.0,0.955,1,0,b'0000',b'AA',10,57275.11587770,2640028801351022330,9.365,0.030,8.589,0.024,6.014,0.016,3.450,0.019,54793500,13.633,0.0928,12.257,0.0921,11.187,0.0520,0.46403,30.727708
