source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02398a116',55258.89589220,8.600,0.024,1.725,7.700,0.018,1.270,5.353,0.019,1.105,3.484,0.034,0.781,1.0,6,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'08188a163',55450.37859230,8.663,0.024,1.765,7.719,0.022,1.133,,,,,,,1.0,7,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'08181b188',55450.18019980,8.629,0.028,1.664,7.752,0.023,1.096,,,,,,,1.0,24,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'08185b187',55450.31237650,8.667,0.025,1.790,7.744,0.021,1.084,,,,,,,1.0,7,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02394a116',55258.76346070,8.589,0.027,1.786,7.720,0.020,1.127,5.359,0.012,1.072,3.468,0.022,0.795,1.0,12,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02398a115',55258.89576490,8.610,0.024,1.687,7.731,0.021,1.092,5.338,0.016,1.255,3.473,0.027,0.786,1.0,6,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'08177b187',55450.04789570,8.656,0.024,1.732,7.754,0.024,1.104,,,,,,,1.0,49,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02390a116',55258.63115670,8.625,0.019,1.664,7.733,0.016,1.087,5.357,0.015,1.080,3.482,0.041,0.781,1.0,28,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02425a092',55259.75592680,8.636,0.021,1.670,7.760,0.021,1.127,5.372,0.016,1.049,3.561,0.028,1.104,1.0,13,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'08173b187',55449.91559160,8.676,0.020,1.854,7.750,0.019,1.093,,,,,,,1.0,90,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02417a035',55259.49132470,8.628,0.023,1.663,7.734,0.025,1.085,5.387,0.014,1.109,3.453,0.033,0.834,1.0,65,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02421a092',55259.62362280,8.591,0.021,1.771,7.755,0.020,1.106,5.390,0.015,1.138,3.531,0.043,0.906,1.0,29,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02410a116',55259.29280500,8.604,0.024,1.708,7.750,0.020,1.093,5.420,0.022,1.547,3.492,0.043,0.785,1.0,115,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02413a092',55259.35902070,8.605,0.024,1.705,7.755,0.018,1.107,5.366,0.015,1.050,3.465,0.039,0.801,1.0,108,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02409a091',55259.22658930,8.591,0.026,1.775,7.705,0.021,1.231,5.371,0.016,1.049,3.459,0.022,0.815,1.0,94,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02409a093',55259.22671660,8.606,0.025,1.701,7.710,0.024,1.187,5.349,0.013,1.137,3.449,0.023,0.852,1.0,95,b'0000',0.347804,316.258222
b'0786p000_ac51-026740',79.0475232,-0.1497602,b'05h16m11.41s',b'-00d08m59.14s',1,0,b'0h00',b'02405a092',55259.09428470,8.607,0.022,1.696,7.692,0.013,1.356,5.363,0.013,1.055,3.498,0.024,0.794,1.0,52,b'0000',0.347804,316.258222
