ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
338.1284536,8.2071749,b'22h32m30.83s',b'08d12m25.83s',0.0337,0.0321,-0.0042,10.589,0.016,67.2,11.660,9.853,0.016,66.2,3.962,2,0,b'0000',b'AA',10,58074.36361505,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.332502,292.201111
338.1284571,8.2072065,b'22h32m30.83s',b'08d12m25.94s',0.0331,0.0345,0.0065,10.561,0.020,55.4,10.470,9.840,0.017,64.5,3.091,2,0,b'0000',b'AA',10,58073.51261509,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.380219,309.023799
338.1284599,8.2072129,b'22h32m30.83s',b'08d12m25.97s',0.0341,0.0354,-0.0190,10.618,0.020,54.7,11.390,9.838,0.017,65.1,4.104,2,0,b'0000',b'AA',10,56994.47257791,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.387723,312.599469
338.1284616,8.2072236,b'22h32m30.83s',b'08d12m26.00s',0.0422,0.0452,-0.0283,10.601,0.022,48.6,7.507,9.856,0.019,58.4,2.472,2,0,b'0000',b'AA',10,56994.60399093,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.41062,317.132703
338.1284383,8.2072030,b'22h32m30.83s',b'08d12m25.93s',0.0343,0.0372,-0.0150,10.649,0.019,55.8,11.320,9.907,0.018,59.3,4.350,2,0,b'0000',b'AA',10,57354.08681771,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.427494,302.041594
338.1284299,8.2071967,b'22h32m30.82s',b'08d12m25.91s',0.0357,0.0369,-0.0127,10.575,0.020,55.3,9.339,9.834,0.017,63.2,3.505,2,0,b'0000',b'AA',10,58073.64351855,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.442223,297.488656
338.1284196,8.2071922,b'22h32m30.82s',b'08d12m25.89s',0.0352,0.0317,-0.0096,10.624,0.017,64.3,15.930,9.900,0.017,65.3,3.299,2,0,b'0000',b'AA',10,57354.61145162,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.468356,293.655401
338.1284175,8.2071906,b'22h32m30.82s',b'08d12m25.89s',0.0338,0.0322,-0.0130,10.605,0.017,64.9,11.700,9.826,0.016,67.7,4.248,2,0,b'0000',b'AA',10,56995.19560406,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.472973,292.652514
338.1284662,8.2072545,b'22h32m30.83s',b'08d12m26.12s',0.0359,0.0330,-0.0076,10.516,0.019,56.7,9.097,9.843,0.017,63.4,3.052,2,0,b'0000',b'AA',10,57907.31682600,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.488932,327.464561
338.1284282,8.2072275,b'22h32m30.82s',b'08d12m26.02s',0.0329,0.0339,-0.0087,10.619,0.019,57.1,10.510,9.894,0.017,64.3,4.611,2,0,b'0000',b'AA',10,57354.21797616,3386107501351056798,10.281,0.029,9.442,0.023,6.362,0.016,3.735,0.025,1094445753,13.287,0.0712,12.447,0.0842,11.797,0.0485,0.507849,308.335057
