ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
181.8871397,33.8777980,b'12h07m32.91s',b'33d52m40.07s',0.0431,0.0466,-0.0038,11.729,0.023,47.2,7.762,11.014,0.023,46.8,1.773,1,0,b'0000',b'AA',10,56811.43376691,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.135203,61.360357
181.8871615,33.8777870,b'12h07m32.92s',b'33d52m40.03s',0.0458,0.0494,-0.0123,11.748,0.023,48.0,9.153,11.015,0.027,40.8,2.041,1,0,b'0000',b'AA',10,58253.31057255,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.185539,82.193617
181.8871468,33.8778219,b'12h07m32.92s',b'33d52m40.16s',0.0437,0.0482,-0.0111,11.921,0.023,48.0,15.290,11.174,0.025,44.3,3.379,1,0,b'0000',b'AA',5,58984.25613016,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.205724,42.840347
181.8871688,33.8777750,b'12h07m32.92s',b'33d52m39.99s',0.0429,0.0517,-0.0088,11.705,0.022,48.9,8.110,10.893,0.025,43.2,1.641,1,0,b'0000',b'AA',10,57892.29973602,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.206411,95.00264
181.8871654,33.8777988,b'12h07m32.92s',b'33d52m40.08s',0.0442,0.0450,0.0048,11.755,0.021,52.2,17.950,10.999,0.024,46.1,3.826,1,0,b'0000',b'AA',0,57173.69752447,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.206846,70.901867
181.8871681,33.8777938,b'12h07m32.92s',b'33d52m40.06s',0.0475,0.0509,-0.0125,11.812,0.024,44.4,15.290,11.077,0.023,46.4,7.638,1,0,b'0000',b'AA',5,58253.17966911,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.209523,76.283352
181.8871691,33.8777654,b'12h07m32.92s',b'33d52m39.96s',0.0415,0.0469,0.0089,11.725,0.022,48.6,10.520,10.985,0.025,43.1,2.422,1,0,b'g000',b'AA',10,57531.78821872,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.213122,104.278294
181.8871519,33.8778215,b'12h07m32.92s',b'33d52m40.16s',0.0386,0.0425,-0.0108,11.748,0.019,56.9,7.727,10.964,0.022,50.3,2.266,1,0,b'0000',b'AA',10,57173.95996770,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.21537,46.076057
181.8871736,33.8777787,b'12h07m32.92s',b'33d52m40.00s',0.0417,0.0488,0.0072,11.777,0.021,50.7,9.884,10.971,0.024,45.4,1.992,1,0,b'0000',b'AA',10,57893.01995917,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.220035,91.218759
181.8871536,33.8778220,b'12h07m32.92s',b'33d52m40.16s',0.0402,0.0419,-0.0118,11.667,0.020,54.4,8.638,10.838,0.023,46.6,2.339,1,0,b'0000',b'AA',5,57366.04542229,1817133301351059614,11.968,0.023,11.363,0.021,8.629,0.024,6.275,0.059,175700772,14.572,0.0583,13.890,0.0638,13.277,0.0573,0.220293,46.655624
