source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04936a051',55342.81106940,11.359,0.029,1.965,10.297,0.024,1.318,7.533,0.028,1.148,5.061,0.057,0.965,1.0,128,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04920a051',55342.28185380,11.291,0.028,2.054,10.287,0.025,1.372,7.583,0.026,1.138,5.092,0.079,0.949,1.0,45,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'10378a230',55522.83359230,11.319,0.022,2.019,10.352,0.019,1.224,,,,,,,1.0,42,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04924a051',55342.41415770,11.321,0.026,1.969,10.299,0.022,1.302,7.583,0.025,1.158,5.038,0.058,0.966,1.0,43,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04921b076',55342.34806940,11.296,0.024,2.008,10.343,0.024,1.224,7.527,0.026,1.177,5.013,0.056,0.961,1.0,42,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04928a051',55342.54646160,11.315,0.028,1.988,10.297,0.024,1.313,7.551,0.028,1.147,5.104,0.058,0.951,1.0,61,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04925b076',55342.48037330,11.297,0.023,2.013,10.356,0.025,1.243,7.545,0.024,1.221,5.154,0.094,0.952,1.0,50,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04932a051',55342.67876550,11.365,0.025,1.969,10.332,0.022,1.252,7.533,0.028,1.142,5.061,0.088,0.976,1.0,91,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04929b076',55342.61267720,11.289,0.028,2.045,10.272,0.028,1.416,,,,,,,1.0,75,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04916a052',55342.14967730,11.326,0.024,1.959,10.301,0.026,1.351,7.586,0.035,1.153,5.036,0.064,0.952,1.0,62,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04933b076',55342.74498110,11.341,0.026,1.968,10.325,0.023,1.263,7.534,0.028,1.142,4.946,0.080,1.017,1.0,109,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04913b076',55342.08346160,11.326,0.025,1.976,10.275,0.022,1.486,7.533,0.027,1.142,5.171,0.073,0.973,1.0,71,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04916a051',55342.14954990,11.334,0.035,1.954,10.287,0.023,1.350,7.595,0.027,1.181,5.070,0.066,0.940,1.0,63,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04905b076',55341.81885370,11.319,0.025,1.965,10.327,0.023,1.238,7.567,0.031,1.130,5.013,0.081,0.987,1.0,130,b'0000',0.072016,302.670447
b'3179p348_ac51-067504',317.3828093,35.5493408,b'21h09m31.87s',b'35d32m57.63s',2,1,b'0000',b'04909b076',55341.95115770,11.287,0.024,2.096,10.366,0.026,1.235,7.566,0.027,1.148,5.125,0.073,0.946,1.0,100,b'0000',0.072016,302.670447
