ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
317.3828259,35.5493299,b'21h09m31.88s',b'35d32m57.59s',0.0379,0.0412,-0.0097,11.588,0.024,45.9,20.430,10.550,0.018,60.4,5.197,1,0,b'0000',b'AA',10,57169.45029927,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.011904,268.282925
317.3828361,35.5493193,b'21h09m31.88s',b'35d32m57.55s',0.0365,0.0351,-0.0102,11.370,0.020,53.0,32.880,10.380,0.018,60.8,3.631,1,0,b'0000',b'AA',5,56807.04341878,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.042478,155.116394
317.3828423,35.5493409,b'21h09m31.88s',b'35d32m57.63s',0.0467,0.0421,0.0160,11.771,0.028,38.6,10.530,10.613,0.020,55.5,6.107,1,0,b'0000',b'AA',5,57706.83783727,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.053236,42.555542
317.3828070,35.5493368,b'21h09m31.87s',b'35d32m57.61s',0.0507,0.0456,-0.0217,11.663,0.024,44.5,23.940,10.669,0.024,46.2,2.928,1,0,b'0000',b'AA',5,58629.88506455,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.071688,289.970181
317.3827988,35.5493286,b'21h09m31.87s',b'35d32m57.58s',0.0369,0.0387,-0.0047,11.645,0.020,53.2,15.090,10.615,0.021,51.7,5.485,1,0,b'0000',b'AA',5,58428.03031569,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.091539,266.84328
317.3828079,35.5493116,b'21h09m31.87s',b'35d32m57.52s',0.0431,0.0386,-0.0152,11.668,0.021,51.1,17.970,10.678,0.020,54.1,2.518,1,0,b'0000',b'AA',5,58627.98747681,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.092616,224.339999
317.3827982,35.5493305,b'21h09m31.87s',b'35d32m57.59s',0.0386,0.0384,-0.0113,11.645,0.021,51.2,15.520,10.569,0.021,51.4,2.909,1,0,b'0000',b'AA',10,57705.92074687,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.093176,271.107123
317.3827977,35.5493382,b'21h09m31.87s',b'35d32m57.62s',0.0404,0.0362,0.0045,11.580,0.019,57.1,7.045,10.563,0.020,55.5,1.773,1,0,b'0000',b'AA',10,59159.44693168,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.09912,287.329345
317.3827921,35.5493188,b'21h09m31.87s',b'35d32m57.55s',0.0399,0.0317,-0.0066,11.492,0.020,55.2,13.250,10.463,0.018,61.1,1.715,1,0,b'0000',b'AA',10,57347.27281493,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.118123,250.038403
317.3827959,35.5493487,b'21h09m31.87s',b'35d32m57.66s',0.0342,0.0311,-0.0127,11.548,0.018,60.8,27.530,10.501,0.016,67.3,6.308,1,0,b'0000',b'AA',10,57169.38472030,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.120459,303.980488
317.3827871,35.5493261,b'21h09m31.87s',b'35d32m57.57s',0.0420,0.0372,-0.0110,11.607,0.019,55.8,15.780,10.587,0.023,47.7,4.917,1,0,b'0000',b'AA',10,57533.31321743,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.126429,263.624528
317.3827889,35.5493178,b'21h09m31.87s',b'35d32m57.54s',0.0401,0.0366,-0.0140,11.652,0.021,52.4,27.970,10.692,0.021,52.9,2.552,1,0,b'0000',b'AA',5,58791.31348271,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.128136,249.956171
317.3827853,35.5493287,b'21h09m31.87s',b'35d32m57.58s',0.0461,0.0425,-0.0171,11.671,0.022,49.3,21.210,10.609,0.022,50.5,2.387,1,0,b'0000',b'AA',10,58264.45251708,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.131016,267.95284
317.3827867,35.5493151,b'21h09m31.87s',b'35d32m57.53s',0.0452,0.0385,-0.0142,11.691,0.021,50.9,18.800,10.726,0.021,51.1,3.707,1,0,b'0000',b'AA',5,58995.71794064,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.137695,247.074543
317.3827856,35.5493435,b'21h09m31.87s',b'35d32m57.64s',0.0407,0.0378,-0.0181,11.661,0.020,54.3,26.790,10.613,0.024,45.3,4.911,1,0,b'0000',b'AA',10,57900.96011478,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.138823,290.491103
317.3827858,35.5493159,b'21h09m31.87s',b'35d32m57.54s',0.0440,0.0414,-0.0113,11.662,0.022,48.6,18.020,10.662,0.021,51.4,2.862,1,0,b'0000',b'AA',5,58631.71656470,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.139061,248.590724
317.3827859,35.5493451,b'21h09m31.87s',b'35d32m57.64s',0.0373,0.0404,-0.0105,11.616,0.021,51.5,41.910,10.581,0.019,57.9,10.600,1,0,b'0000',b'AA',5,57533.50969980,3179134801351067504,11.341,0.023,10.350,0.019,7.559,0.017,5.087,0.037,767668859,14.609,0.0512,14.048,0.0646,13.033,0.0497,0.140143,292.823427
